DateTime,AddedIPs,RemovedIPs
1533258366,8,3
1533261982,1,1
1533265588,3,1
1533269183,0,3
1533272775,2,2
1533276358,2,0
1533279983,1,1
1533283579,0,1
1533287169,3,1
1533290781,1,1
1533294397,1,2
1533297976,3,0
1533301584,1,1
1533305190,1,2
1533308781,1,2
1533312381,1,1
1533315984,2,1
1533319571,3,3
1533323196,2,1
1533326788,1,0
1533330381,1,2
1533334043,1,3
1533337580,0,2
1533341178,1,2
1533344796,1,2
1533348389,2,0
1533351993,1,0
1533355574,2,1
1533359182,1,1
1533362794,1,2
1533366383,3,1
1533369994,2,4
1533373578,1,4
1533377195,5,1
1533384387,1,1
1533387986,2,1
1533391592,1,6
1533395164,1,1
1533398796,1,1
1533405978,2,2
1533409595,3,0
1533413187,1,1
1533416779,4,1
1533423986,0,4
1533427618,3,2
1533431178,0,2
1533434791,2,0
1533438396,1,0
1533442002,1,1
1533445584,4,4
1533449193,2,3
1533452799,2,2
1533456381,4,1
1533459984,1,3
1533463576,2,1
1533467181,0,1
1533470798,0,3
1533474374,3,0
1533477987,1,3
1533481587,1,0
1533485172,1,3
1533488931,1,3
1533492386,1,0
1533495990,1,1
1533499593,2,0
1533503190,1,1
1533506782,1,1
1533510394,1,0
1533513982,2,4
1533517574,4,2
1533521205,1,2
1533524794,2,3
1533528386,3,0
1533531989,2,1
1533535582,1,2
1533539196,1,0
1533542783,1,4
1533546388,0,3
1533549987,2,0
1533553579,3,1
1533557177,2,1
1533560780,2,2
1533564393,1,3
1533567990,2,2
1533571594,2,2
1533575199,0,2
1533578807,1,2
1533582382,4,0
1533585996,0,2
1533589606,1,3
1533593169,3,1
1533596782,1,1
1533600417,1,1
1533603983,2,1
1533607599,1,2
1533611189,1,2
1533614815,1,0
1533618382,2,0
1533621994,2,0
1533625594,2,1
1533629210,1,3
1533632799,0,4
1533636390,2,4
1533640003,5,0
1533643592,3,1
1533647194,1,3
1533650789,1,2
1533654409,3,3
1533657997,1,3
1533661590,2,0
1533665198,1,0
1533668799,1,1
1533672404,4,1
1533675979,0,3
1533679595,3,0
1533683185,3,2
1533686779,1,2
1533690401,2,0
1533694015,2,4
1533697619,0,4
1533701222,2,2
1533704810,3,4
1533708418,2,0
1533712029,0,1
1533715628,2,0
1533719207,4,4
1533722805,1,1
1533726410,3,1
1533730018,2,2
1533733613,0,2
1533737204,2,1
1533740821,0,1
1533744413,1,2
1533748021,2,2
1533751613,2,2
1533755216,3,2
1533758819,0,3
1533762419,2,2
1533766018,1,3
1533769634,2,2
1533773223,4,1
1533776819,2,2
1533780401,2,1
1533783998,1,1
1533787619,0,1
1533791201,0,4
1533794818,5,1
1533798389,1,1
1533802012,2,1
1533805598,1,2
1533809200,3,3
1533812809,4,1
1533816402,2,3
1533820010,3,2
1533823605,2,3
1533827205,0,4
1533830805,3,2
1533834396,2,3
1533837997,1,1
1533841598,1,1
1533845212,3,1
1533848793,2,4
1533852384,3,4
1533855988,5,1
1533859605,1,0
1533863253,1,1
1533866823,2,1
1533870441,2,2
1533874037,0,4
1533877631,1,4
1533881201,5,1
1533884814,2,2
1533888395,2,0
1533895597,1,0
1533899221,1,0
1533902813,2,3
1533906415,1,1
1533910023,0,2
1533913604,1,1
1533917238,2,2
1533920825,1,3
1533924423,1,0
1533928056,2,4
1533931611,3,1
1533935228,1,2
1533938819,4,0
1533942409,2,4
1533946031,3,2
1533949634,0,1
1533953223,1,1
1533956831,1,2
1533960415,1,2
1533964020,2,0
1533967627,1,2
1533971197,1,1
1533974806,3,1
1533978416,1,1
1533982006,0,1
1533985625,1,0
1533989223,2,2
1533992825,1,3
1533996404,3,1
1534000028,2,0
1534003625,1,3
1534007224,1,2
1534010814,2,1
1534014428,1,2
