DateTime,AddedIPs,RemovedIPs
1533305607,6,6
1533309199,2,5
1533312818,1,6
1533316428,7,1
1533319985,5,5
1533323629,6,1
1533327207,1,3
1533330800,3,14
1533334466,7,6
1533338016,7,3
1533341636,23,3
1533345209,5,5
1533348839,2,0
1533352400,5,19
1533356024,6,12
1533359569,6,4
1533363242,5,10
1533366799,9,2
1533370434,5,5
1533374012,3,7
1533377627,7,5
1533381188,2,2
1533384836,2,4
1533388438,7,6
1533392007,3,12
1533395592,14,3
1533399227,2,4
1533402803,3,4
1533406399,7,3
1533410039,4,1
1533413616,3,4
1533417214,6,6
1533420818,3,7
1533424397,6,3
1533428216,32,6
1533431580,8,4
1533435245,8,2
1533438823,4,11
1533442437,1,4
1533446020,5,5
1533449607,6,19
1533453253,13,6
1533456809,7,2
1533460413,4,7
1533464004,7,4
1533467601,1,2
1533471229,2,4
1533474806,5,7
1533478425,9,7
1533482014,5,2
1533485610,3,5
1533489490,2,3
1533492817,5,0
1533496426,1,12
1533500019,5,20
1533503608,6,3
1533507218,2,10
1533510815,12,10
1533514418,38,6
1533518012,7,4
1533521651,3,6
1533525222,4,25
1533528810,5,2
1533532406,3,2
1533536018,5,4
1533539612,2,0
1533543203,2,5
1533546811,4,5
1533550411,3,3
1533554017,2,1
1533557610,3,3
1533561220,4,6
1533564835,3,2
1533568411,4,5
1533572029,6,4
1533575627,1,4
1533579223,2,10
1533582803,11,5
1533586419,5,6
1533590038,3,10
1533593592,10,15
1533597214,12,8
1533600860,25,5
1533604425,2,2
1533608025,8,3
1533611622,6,22
1533615263,3,5
1533618814,6,5
1533622429,4,1
1533626037,5,3
1533629650,3,6
1533633241,2,11
1533636812,9,6
1533640424,5,1
1533644031,5,3
1533647686,4,6
1533651216,4,7
1533654852,8,7
1533658430,6,3
1533662034,6,3
1533665652,1,5
1533669223,1,7
1533673098,11,6
1533676405,9,4
1533680051,3,1
1533683626,5,4
1533687291,24,3
1533690847,5,4
1533694440,3,7
1533698043,3,17
1533701651,3,7
1533705231,6,5
1533708868,6,7
1533712455,2,2
1533716055,2,1
1533719639,7,9
1533723250,3,4
1533726840,5,4
1533730463,7,4
1533734047,2,6
1533737641,5,8
1533741267,6,3
1533744831,4,5
1533748442,3,2
1533752040,5,7
1533755672,5,4
1533759261,4,3
1533762851,5,2
1533766437,1,8
1533770078,6,6
1533773681,34,3
1533777258,8,2
1533780851,3,2
1533784442,3,27
1533788056,7,6
1533791656,4,15
1533795265,13,4
1533798851,3,3
1533802458,6,5
1533806024,5,6
1533809629,6,8
1533813255,8,3
1533816833,7,4
1533820442,2,13
1533824044,8,3
1533827637,4,7
1533831233,6,8
1533834849,9,4
1533838432,4,6
1533842021,9,4
1533845760,1,7
1533849327,4,16
1533852896,9,4
1533856509,13,3
1533860156,17,1
1533863776,6,2
1533867296,5,4
1533870944,1,22
1533874554,1,11
1533878167,4,10
1533881704,10,12
1533885339,13,10
1533888908,9,2
1533892552,6,3
1533896078,4,4
1533899751,5,3
1533903326,6,4
1533906928,4,4
1533910552,3,9
1533914095,3,5
1533917759,2,6
1533921327,2,17
1533924946,4,1
1533928581,12,7
1533932116,10,6
1533935749,8,4
1533939335,11,4
1533942936,4,11
1533946633,25,4
1533950162,5,5
1533953738,7,7
1533957384,4,21
1533960939,5,7
1533964554,4,4
1533968149,2,7
1533971712,5,4
1533975339,6,4
1533978971,4,9
1533982545,6,2
1533986141,3,7
1533989756,11,4
1533993336,3,4
1533996934,5,2
1534000555,2,1
1534004132,2,9
1534007747,5,5
1534011337,8,9
1534014932,3,4
1534018591,10,1
1534022160,4,2
1534025746,2,7
1534029391,9,4
1534032984,25,16
1534036515,17,4
1534040148,1,3
1534043713,7,28
1534047335,6,4
1534050917,4,24
1534054517,8,7
1534058144,10,12
1534061775,8,5
1534065324,10,3
1534068936,2,1
1534072548,3,4
1534076118,5,3
1534079750,6,5
1534083345,4,2
1534086947,4,4
1534090517,4,6
1534094141,3,3
1534097763,3,5
1534101360,0,2
1534104968,2,11
1534108533,12,3
1534112152,3,8
1534115763,2,1
1534119473,38,4
1534122941,6,4
1534126601,13,9
1534130117,5,14
1534133710,13,4
1534137334,5,3
1534140944,2,4
1534144530,4,3
1534148103,4,23
1534151763,7,5
1534155329,9,8
1534158941,6,4
1534162513,5,2
1534166141,5,6
1534169731,13,5
1534173339,5,6
1534176946,4,5
1534180520,4,3
1534184182,8,9
1534187731,8,8
1534191286,3,2
