DateTime,AddedIPs,RemovedIPs
1492650107,1,0
1492675308,0,1
1492678905,1,0
1492790506,0,2
1492794108,2,0
1492819310,1,0
1492880511,0,1
1492884103,1,0
1492930899,0,1
1492934499,1,0
1492966904,0,1
1492970499,1,0
1492995701,0,3
1492999309,3,0
1493078504,1,0
1493089312,0,1
1493164913,2,0
1493175708,0,1
1493323311,0,2
1493326908,2,0
1493337708,1,0
1493344907,0,1
1493438511,0,2
1493442108,2,0
1493517706,0,1
1493589708,0,1
1493593310,1,0
1493640111,0,1
1493643707,1,0
1493733708,0,1
1493737307,1,0
1493766109,0,1
1493769709,1,0
1493866911,0,2
1494028912,1,0
1494039709,0,1
1494471708,0,1
1494730899,0,1
1495152113,1,0
1495238506,1,0
1495843309,1,0
1495854102,0,1
1495940509,0,1
1496016111,1,0
1496545303,0,1
1496620914,1,0
1496718108,0,1
1497052907,1,0
1497139305,1,0
1497312116,1,0
1497322907,0,1
1497398511,1,0
1497571308,1,0
1497657697,1,0
1497754911,0,1
1497841307,0,1
1498014112,0,1
1498100511,0,1
1498273300,0,1
1498359703,0,1
1499212914,1,0
1499731307,1,0
1499914910,0,1
1499986901,0,1
1500037306,1,0
1500339702,0,1
1500346910,1,0
1500433300,0,1
1501027313,1,0
1501084899,0,1
1501088511,1,0
1501113709,1,0
1501200109,1,0
1501286508,2,0
1501365705,0,0
1501394505,1,0
1501408904,0,1
1501470106,0,5
1501516907,5,0
1501520502,0,5
1501545633,5,0
1501556434,0,5
1501635714,7,0
1501642908,1,0
1501653707,0,1
1501714908,1,0
1501718512,1,0
1501725698,1,1
1501729303,1,2
1501736497,0,1
1501740097,0,1
1501815707,0,1
1501902105,0,1
1501988502,0,2
1502150507,1,0
1502247700,0,1
1502334104,0,1
1502496110,2,0
1502852504,0,1
1502928102,1,0
1503187309,1,0
1503198112,0,2
1503446512,1,0
1503532904,1,0
1503619301,1,0
1503630105,0,1
1503889305,0,1
1504137707,1,0
1504148508,0,1
1504234906,0,1
1504310506,1,0
1504321306,0,1
1504742515,1,0
1504839714,0,1
1504915307,1,0
1505012498,0,1
1505088103,1,0
1505174513,1,0
1505426507,0,0
1505430107,0,0
1505444510,0,1
1505617305,0,1
1505790109,0,1
1505847694,0,1
1505944906,4,0
1505952101,2,0
1506038502,1,0
1506297700,1,0
1506567708,0,4
1506654115,0,2
1506740508,0,1
1506999692,0,1
1507334506,1,0
1507680102,1,0
1507852907,1,0
1508036505,0,1
1508382110,0,1
1508554897,0,1
1509408108,2,0
1510110096,0,2
1510358500,1,0
1510704106,1,0
1510790507,1,0
1511060504,0,1
1511406099,0,1
1511492492,0,1
1511654510,1,0
1511827309,3,0
1511913705,1,0
1511917304,1,0
1511928104,1,0
1511931703,1,1
1511938902,0,1
1511942505,1,0
1511946104,1,0
1511949711,0,1
1511953302,1,0
1511956906,1,1
1511960504,0,1
1511967706,1,1
1511971301,0,1
1511974906,1,0
1511978505,0,1
1511982103,1,0
1511985703,0,1
1511996511,1,0
1512003702,0,1
1512007306,1,0
1512014504,1,1
1512018098,1,0
1512021704,0,1
1512025302,1,1
1512028912,1,0
1512032504,0,1
1512039702,1,1
1512050503,0,1
1512054103,1,0
1512061300,1,0
1512064901,0,1
1512068500,1,1
1512072103,1,1
1512075704,1,0
1512079307,1,1
1512086506,0,1
1512090101,0,1
1512097301,1,0
1512100900,0,1
1512104501,1,0
1512108101,1,0
1512111697,1,1
1512115299,0,1
1512118902,0,1
1512122499,1,0
1512129709,1,1
1512133302,1,1
1512140499,1,0
1512144098,0,1
1512147702,1,0
1512151309,1,1
1512154907,0,1
1512158508,0,1
1512169307,1,1
1512172908,2,0
1512176507,1,0
1512180108,0,1
1512187305,1,0
1512194506,0,1
1512198105,1,1
1512201705,0,1
1512219708,1,0
1512223308,1,0
1512226906,0,1
1512234104,0,1
1512237705,1,1
1512244906,1,0
1512248507,0,1
1512259308,1,0
1512262896,1,0
1512266497,0,1
1512270097,0,1
1512277296,1,0
1512280892,1,0
1512284497,1,1
1512295296,0,1
1512298899,1,1
1512302500,0,1
1512306100,1,0
1512309696,0,1
1512313298,1,0
1512320498,1,1
1512324098,1,0
1512327698,0,1
1512331302,1,1
1512334898,0,1
1512338498,1,0
1512342099,1,1
1512349308,0,1
1512352906,1,0
1512356502,1,1
1512360104,0,1
1512363707,1,0
1512367306,0,1
1512378104,1,1
1512381706,1,0
1512385308,0,1
1512392504,1,1
1512406903,1,1
1512410505,1,1
1512414112,1,0
1512417713,1,1
1512428506,1,1
1512432111,1,1
1512439306,1,1
1512442906,1,1
1512446509,1,1
1512450100,1,1
1512453707,0,1
1512457307,1,1
1512460906,1,1
1512464506,1,0
1512468105,0,1
1512471707,1,0
1512475312,1,1
1512478906,1,1
1512482506,0,1
1512489709,1,1
1512493309,1,1
1512500508,1,1
1512504105,1,1
1512522108,1,1
1512529307,0,3
1512532905,0,1
1512536510,1,0
1512540104,1,1
1512547306,1,1
1512550910,0,1
1512554507,1,0
1512568905,1,1
1512572508,0,1
1512576108,1,0
1512579704,1,1
1512583309,1,0
1512586905,0,1
1512590512,1,0
1512601308,1,2
1512604905,0,1
1512612110,0,1
1512615707,0,1
1512691308,1,0
1512874901,0,1
1513382509,1,0
1513393302,0,1
1514084491,0,1
1515715299,1,0
1515762094,0,1
1515942102,1,0
1516017694,0,1
1516089663,1,0
1516233698,1,0
1516417296,0,1
1516492907,2,0
1516924902,1,0
1516935701,0,1
1517194901,0,2
1517356906,1,0
1517641295,0,1
1517706094,1,0
1517734907,0,1
1517803299,1,0
1517846516,0,1
1518019295,0,1
1518094895,1,0
1518130906,0,1
1518145302,1,0
1518174130,0,1
1518274891,1,0
1518296485,0,1
1518300104,1,0
1518307292,2,0
1518321697,0,1
1518393705,1,0
1518480106,1,0
1518566540,1,0
1518714093,1,0
1518728491,0,1
1518739317,1,0
1518912059,1,0
1519009291,0,2
1519095703,0,1
1519182101,0,1
1519250505,1,0
1519261292,0,1
1519268492,0,1
1519430491,1,0
1519441288,0,1
1519603299,1,0
1519614107,0,1
1520132500,0,1
1520305304,0,1
1520388095,1,0
1520434888,0,1
1520467310,1,0
1520470886,1,0
1520528499,0,1
1520560893,1,0
1520650890,0,1
1521169291,0,1
1521244860,1,0
1521504096,1,0
1521550905,1,0
1521561697,0,1
1521590499,1,0
1521763298,1,0
1521849695,1,0
1521946904,0,1
1522108895,3,0
1522206104,0,1
1522292511,0,1
1522465301,0,1
1522551695,0,1
1522627296,1,0
1522810903,0,3
1522886495,2,0
1523329294,0,1
1523588485,0,2
1523664097,1,0
1523836895,1,0
1524092503,0,0
1524096105,1,0
1524121300,0,0
1524182503,1,0
1524355310,1,0
1524366104,0,1
1524538902,0,1
1524787302,1,0
1524798100,0,1
1524873700,1,0
1524884507,0,1
1525057300,0,1
1525219299,1,0
1525305707,1,0
1525392091,2,0
1525489293,0,1
1525575692,0,1
1525651298,1,0
1525910492,1,0
1525921299,0,1
1525996901,1,0
1526007700,0,1
1526094106,0,2
1526306492,0,0
1526353297,0,1
1526428905,3,0
1526612504,0,1
1526698902,0,1
1526774504,1,0
1527130895,0,3
1527206497,1,0
1527289300,0,0
1527292897,0,0
1527296507,0,0
1527300101,0,0
1527303701,0,0
1527307303,0,0
1527310899,0,0
1527314508,0,0
1527318088,0,0
1527321702,0,0
1527325291,0,0
1527328901,0,0
1527332498,0,0
1527336090,0,0
1527339700,0,0
1527343301,0,0
1527346890,0,0
1527350500,0,0
1527354102,0,0
1527357702,0,0
1527361293,0,0
1527364902,0,0
1527368498,0,0
1527372101,0,0
1527375702,0,0
1527379299,0,0
1527382899,0,0
1527386503,0,0
1527390103,0,0
1527393698,0,0
1527397304,0,0
1527476501,0,1
1527908491,0,1
1527912088,0,0
1527915690,0,0
1527919291,0,0
1527922892,0,0
1527926488,0,0
1527930087,0,0
1527933690,0,0
1527937286,0,0
1527940892,0,0
1527944493,0,0
1527948088,0,0
1527951691,0,0
1527955282,0,0
1527958890,0,0
1527962484,0,0
1527966091,0,0
1527969690,0,0
1527973292,0,0
1527976888,0,0
1527980492,0,0
1527984092,0,0
1527987684,0,0
1527991284,0,0
1527994882,0,0
1527998481,0,0
1528002083,0,0
1528304490,0,0
1528308092,0,0
1528311687,0,0
1528315290,0,0
1528322487,0,0
1528329696,0,0
1528416106,1,0
1528588913,1,0
1529020895,1,0
1529118091,0,1
1529193690,1,0
1529290895,0,1
1529514095,1,0
1529532104,0,1
1529578897,1,0
1529622108,0,1
1529722901,0,1
1529895689,0,1
1529971301,1,0
1530021662,1,0
1530039664,0,1
1530327693,0,1
1530548499,1,0
1530673296,0,1
1531526490,1,0
1532044891,1,0
1532228500,0,1
1532390483,1,0
1532476885,1,0
1532563289,1,0
1532649700,1,0
1532746896,0,1
1532908893,1,0
1533081690,1,0
1533092493,0,1
1533178888,0,1
1533265295,0,1
1533351699,0,1
1533610899,0,1
1533772893,1,0
1533783684,0,1
1534150911,0,0
1534474889,0,1
