DateTime,Entries,UniqueIPs
1527973292,3,3
1527973292,3,3
1527973292,3,3
1527976888,3,3
1527976888,3,3
1527976888,3,3
1527980492,1,1
1527980492,1,1
1527980492,1,1
1527984092,1,1
1527984092,1,1
1527984092,1,1
1527987683,1,1
1527987683,1,1
1527987683,1,1
1527991284,1,1
1527991284,1,1
1527991284,1,1
1527994882,1,1
1527994882,1,1
1527994882,1,1
1527998481,1,1
1527998481,1,1
1527998481,1,1
1528002083,1,1
1528002083,1,1
1528027281,3,3
1528045282,3,3
1528048882,5,5
1528056084,6,6
1528059684,4,4
1528063282,2,2
1528070487,1,1
1528106489,3,3
1528120899,1,1
1528131689,4,4
1528146090,1,1
1528153296,3,3
1528171290,1,1
1528192884,3,3
1528207289,1,1
1528232489,3,3
1528246890,1,1
1528275690,3,3
1528304489,5,5
1528308092,3,3
1528315290,3,3
1528322486,4,4
1528322486,4,4
1528329696,4,4
1528333292,3,3
1528347688,3,3
1528362101,3,3
1528376493,1,1
1528380088,3,3
1528394493,1,1
1528412487,3,3
1528426893,1,1
1528441291,3,3
1528455689,3,3
1528470086,1,1
1528480860,3,3
1528509688,5,5
1528516881,3,3
1528524088,1,1
1528538482,3,3
1528552879,1,1
1528567281,3,3
1528585282,3,3
1528599681,2,2
1528614080,1,1
1528628490,3,3
1528642880,1,1
1528653680,3,3
1528675284,1,1
1528693289,3,3
1528707691,1,1
1528722089,3,3
1528736486,1,1
1528750891,2,2
1528765290,1,1
1528797687,2,2
1528808488,4,4
1528812090,3,3
1528822888,3,3
1528837324,1,1
1528840885,2,2
1528855288,1,1
1528869688,3,3
1528884090,1,1
1528905693,3,3
1528923692,1,1
1528927299,2,2
1528938090,4,4
1528941686,5,5
1528952488,3,3
1528956092,1,1
1528959700,4,4
1528974091,1,1
1528988499,3,3
1529002889,1,1
1529020888,2,2
1529024490,4,4
1529035289,3,3
1529038887,1,1
1529056899,3,3
1529074892,4,4
1529085690,2,2
1529089290,1,1
1529118081,2,2
1529136080,1,1
1529150480,3,3
1529161280,4,4
1529164883,2,2
1529175693,1,1
1529211677,2,2
1529226080,1,1
1529262086,3,3
1529276482,1,1
1529294491,3,3
1529319693,1,1
1529431288,2,2
1529445700,1,1
1529456491,2,2
1529470885,1,1
1529481685,3,3
1529488898,5,5
1529496087,3,3
1529503288,1,1
1529514088,3,3
1529517689,5,5
1529528487,4,4
1529539291,1,1
1529546551,2,2
1529557283,5,5
1529564485,4,4
1529571686,1,1
1529596887,2,2
1529600492,4,4
1529611284,3,3
1529614899,1,1
1529632889,2,2
1529647299,1,1
1529787682,3,3
1529802092,1,1
1529809282,3,3
1529823681,1,1
1529856079,3,3
1529870482,1,1
1529895688,3,3
1529902900,5,5
1529910089,3,3
1529917291,1,1
1529946085,3,3
1529971290,1,1
1529978494,3,3
1529985687,4,4
1529992891,2,2
1530000052,1,1
1530003649,2,2
1530018052,1,1
1530093695,4,4
1530100896,6,6
1530108082,3,3
1530115281,2,2
1530129699,3,3
1530144086,1,1
1530165699,4,4
1530180101,1,1
1530194497,4,4
1530208889,1,1
1530219697,3,3
1530234084,1,1
1530237702,3,3
1530255685,1,1
1530324062,0,0
1530548488,1,1
1530608478,3,3
1530630083,1,1
1530648105,3,3
1530651687,4,4
1530658879,6,6
1530662488,4,4
1530666081,3,3
1530673296,1,1
1530694882,3,3
1530709281,1,1
1530727292,3,3
1530730896,5,5
1530741683,3,3
1530745300,1,1
1530795696,2,2
1530810094,1,1
1530813685,2,2
1530817305,4,4
1530828093,3,3
1530831694,1,1
1530856896,2,2
1530871298,1,1
1530878493,2,2
1530889300,4,4
1530892903,3,3
1530903684,1,1
1530932569,3,3
1530936124,4,4
1530946916,2,2
1530950536,1,1
1530982929,3,3
1531004511,4,4
1531008124,6,6
1531022532,2,2
1531033305,1,1
1531051316,3,3
1531054963,5,5
1531065734,3,3
1531072925,5,5
1531083714,3,3
1531087322,1,1
1531094526,3,3
1531101691,4,4
1531108894,2,2
1531116121,1,1
1531155697,3,3
1531159313,5,5
1531170109,3,3
1531177330,1,1
1531188113,3,3
1531216888,5,5
1531227723,3,3
1531231318,1,1
1531306897,3,3
1531321296,1,1
1531328492,3,3
1531342896,1,1
1531364493,3,3
1531378894,1,1
1531407681,3,3
1531411295,5,5
1531422084,3,3
1531425683,1,1
1531447281,3,3
1531461696,1,1
1531490514,3,3
1531504881,1,1
1531515696,3,3
1531548097,3,3
1531551691,4,4
1531566095,3,3
1531584085,1,1
1531587693,2,2
1531602095,1,1
1531627294,3,3
1531666894,1,1
1531670494,2,2
1531684892,3,3
1531706477,1,1
1531728086,3,3
1531742476,1,1
1531767688,3,3
1531782088,1,1
1531789278,3,3
1531792887,4,4
1531803685,2,2
1531807276,3,3
1531843275,1,1
1531846887,2,2
1531850486,4,4
1531861277,3,3
1531872080,1,1
1531879281,3,3
1531890094,5,5
1531893695,3,3
1531908093,4,4
1531915284,2,2
1531918891,4,4
1531922494,3,3
1531933284,4,4
1531940496,2,2
1531951290,4,4
1531954882,3,3
1531965683,5,5
1531972896,3,3
1531990896,1,1
1531998093,3,3
1532012482,1,1
1532091696,3,3
1532116881,1,1
1532120479,3,3
1532149293,1,1
1532160084,3,3
1532174482,1,1
1532196092,3,3
1532217684,1,1
1532232080,3,3
1532239293,5,5
1532253681,3,3
1532260892,1,1
1532278891,3,3
1532293279,1,1
1532300495,3,3
1532314877,1,1
1532340076,3,3
1532347287,4,4
1532361676,3,3
1532376086,1,1
1532397688,4,4
1532401275,6,6
1532412087,3,3
1532415688,1,1
1532426488,2,2
1532440878,1,1
1532444486,3,3
1532458888,1,1
1532484092,3,3
1532505693,5,5
1532516496,3,3
1532520085,1,1
1532530882,2,2
1532538094,4,4
1532545285,3,3
1532548883,5,5
1532552493,3,3
1532563284,1,1
1532574084,4,4
1532588493,3,3
1532613694,1,1
1532638881,3,3
1532649694,5,5
1532653297,3,3
1532664097,3,3
1532678491,1,1
1532682082,3,3
1532710895,1,1
1532721695,3,3
1532725283,4,4
1532736094,2,2
1532743296,1,1
1532790081,3,3
1532804493,1,1
1532836887,3,3
1532851302,1,1
1532865698,3,3
1532880103,1,1
1532926880,3,3
1532955698,4,4
1532970125,1,1
1532973688,3,3
1532988094,1,1
1532998889,2,2
1533006095,4,4
1533013300,3,3
1533020493,1,1
1533024104,3,3
1533060085,1,1
1533067294,3,3
1533081685,1,1
1533085283,3,3
1533099693,1,1
1533132083,3,3
1533146493,1,1
1533204079,3,3
1533232883,1,1
1533268889,3,3
1533283286,1,1
1533319275,2,2
1533333686,2,2
1533348094,1,1
1533355291,3,3
1533376892,1,1
1533434493,3,3
1533448892,3,3
1533463290,5,5
1533477692,1,1
1533481293,3,3
1533492085,5,5
1533495694,3,3
1533506495,1,1
1533535296,5,5
1533549692,3,3
1533560496,1,1
1533564094,4,4
1533578494,1,1
1533585693,3,3
1533614495,1,1
1533618092,3,3
1533632494,1,1
1533675691,3,3
1533690080,1,1
1533736884,3,3
1533751294,1,1
1533754893,3,3
1533787288,5,5
1533790886,3,3
1533801688,1,1
1533805287,3,3
1533819687,1,1
1533823279,3,3
1533837689,1,1
1533841288,3,3
1533855653,1,1
1533859255,3,3
1533866483,4,4
1533873684,2,2
1533880893,1,1
1533884483,3,3
1533888085,4,4
1533898883,2,2
1533902490,4,4
1533913284,3,3
1533916886,1,1
1533934853,0,0
1533938494,1,1
1533949297,2,2
1533963701,1,1
1534021294,3,3
1534024891,4,4
1534028500,6,6
1534035699,4,4
1534039297,3,3
1534042895,1,1
1534082494,3,3
1534096896,1,1
1534129290,4,4
1534143702,1,1
1534154499,2,2
1534168897,1,1
1534183301,4,4
1534197693,2,2
1534204895,4,4
1534215693,5,5
1534219294,3,3
1534230097,1,1
1534240902,2,2
1534258898,1,1
1534266095,3,3
1534276896,5,5
1534280494,3,3
1534291291,1,1
1534294897,2,2
1534309295,1,1
1534323696,2,2
1534348899,1,1
1534377693,3,3
1534384894,4,4
1534392086,2,2
1534399287,1,1
1534424493,3,3
1534428094,2,2
1534431693,3,3
1534438894,1,1
1534460481,3,3
1534471288,4,4
1534485695,1,1
1534492883,2,2
1534500098,1,1
1534518084,2,2
1534528885,4,4
1534532486,4,4
1534543285,2,2
1534546883,3,3
1534557697,2,2
1534561298,1,1
1534575702,2,2
1534600895,3,3
1534615299,1,1
1534618893,2,2
1534633293,1,1
1534640494,2,2
1534658493,1,1
1534662097,2,2
1534683692,1,1
1534690895,2,2
1534726896,1,1
1534755698,2,2
1534780895,4,4
1534795300,2,2
1534802494,1,1
1534816900,2,2
1534831293,1,1
1534849295,2,2
1534867294,1,1
1534874496,2,2
1534881695,3,3
1534885297,4,4
1534896094,2,2
1534899699,1,1
1534914090,2,2
1534928496,1,1
1534939299,2,2
1534953696,1,1
1534986084,2,2
1535000497,1,1
1535025683,2,2
1535040092,1,1
1535054484,2,2
1535061683,4,4
1535068888,3,3
1535076083,1,1
1535086894,2,2
1535101292,1,1
