DateTime,AddedIPs,RemovedIPs
1534125767,29,11
1534127787,662,14
1534129954,1348,33
1534131854,1356,30
1534133786,725,16
1534135709,12,19
1534137636,16,22
1534139556,21,17
1534141453,21,21
1534143394,182,29
1534145288,18,12
1534148201,30,104
1534150129,17,21
1534152052,24,20
1534153941,21,25
1534155870,10,18
1534157792,4203,17
1534159710,1088,17
1534161609,34,17
1534163533,16,12
1534165455,395,20
1534167369,841,37
1534169818,19,27
1534171703,75,17
1534173625,10,22
1534175545,183,20
1534177466,507,16
1534179395,565,9
1534181300,304,17
1534183257,17,18
1534185165,24,14
1534187074,9,46
1534188999,14,24
1534191081,11,32
1534193068,9,70
1534194970,218,23
1534197146,48,37
1534199054,10,9
1534200999,11,18
1534203778,57,27
1534205662,11,8
1534207479,11,14
1534209381,30,25
1534211314,37,24
1534213225,34,41
1534215164,20,1067
1534217066,13,905
1534218992,23,1235
1534220889,15,170
1534223812,108,20
1534225844,39,18
1534227659,40,12
1534229705,28,18
1534231686,18,25
1534233501,20,45
1534235302,30,17
1534237384,25,16
1534239369,28,19
1534241310,33,15
1534243208,17,1643
1534245093,13,2832
1534247049,24,18
1534249014,25,43
1534250908,18,13
1534252942,19,1116
1534254759,17,12
1534256765,35,17
1534258838,16,68
1534260918,12,20
1534262936,24,629
1534265077,11,1047
1534266981,18,793
1534268902,16,25
1534270825,17,21
1534272789,15,18
1534274662,9,24
1534276594,12,16
1534278493,13,12
1534280432,9,54
1534282356,16,777
1534284269,780,36
1534286192,889,9
1534288109,1326,23
1534290019,126,73
1534291954,17,11
1534293860,26,24
1534295685,19,31
1534297695,486,39
1534299878,44,27
1534301777,50,24
1534303693,11,16
1534305636,17,22
1534307539,15,22
1534309483,222,22
1534311385,14,40
1534313322,18,41
1534315219,39,37
1534317146,53,20
1534319076,15,15
1534320981,979,23
1534322902,103,33
1534324822,20,38
1534326763,16,33
1534328657,17,27
1534330591,23,28
1534332506,17,17
1534334462,12,30
1534336357,16,31
1534338270,14,26
1534340193,13,19
1534342109,6,33
1534344019,96,16
1534345987,320,8
1534347849,673,11
1534349708,116,18
1534351708,15,15
1534353878,13,19
1534355776,15,7
1534357607,17,14
1534359624,19,17
1534361555,85,10
1534363461,32,17
1534365290,16,16
1534367312,98,6
1534369173,22,14
1534371150,42,21
1534372974,12,14
1534375218,13,12
1534377262,8,9
1534379301,21,19
1534381374,20,18
1534383395,11,27
1534385299,15,411
1534387215,19,45
1534389152,139,12
1534391081,12,8
1534392984,12,16
1534394902,15,116
1534396848,11,242
1534398758,22,15
1534400663,17,18
1534402596,9,185
1534404499,18,13
1534406454,19,17
1534408347,36,1017
1534410285,14,16
1534412179,21,66
1534414102,29,18
1534416026,20,23
1534417950,26,14
1534419883,20,17
1534421783,11,11
1534423663,13,19
1534425465,2036,15
1534427554,2086,16
1534429453,25,87
1534431390,25,15
1534433287,12,41
1534435223,2227,175
1534437151,1371,18
1534439303,14,30
1534441232,25,27
1534443143,35,35
1534444954,662,27
1534446991,1000,17
1534448895,1334,12
1534450815,521,87
1534452755,13,73
1534454669,10,153
1534456596,141,196
1534458495,285,237
1534460470,228,223
1534463576,14,18
1534465708,8,17
1534467672,12,21
1534469544,11,8
1534471481,15,19
1534473403,57,29
1534475327,14,181
1534477485,8,83
1534479382,583,21
1534481566,1286,41
1534483459,1077,15
1534485378,511,20
1534487300,32,21
1534489255,23,15
1534491161,12,24
1534493075,10,45
1534494982,27,11
1534496916,11,17
1534498828,1908,14
1534500765,556,18
1534502662,15,18
1534504606,24,15
1534506498,13,6
1534508424,19,10
1534510359,394,7
1534512279,10,13
1534514220,16,7
1534516116,11,16
1534518071,17,1626
1534520184,21,3361
1534522306,17,2635
1534524249,15,562
1534526199,131,14
1534528090,33,24
1534530265,18,24
1534532307,379,999
1534534111,29,1001
1534536021,22,1128
1534537940,17,232
1534540059,20,13
1534542035,20,654
1534543940,16,882
1534545851,26,951
1534547773,12,315
1534549602,744,13
1534551621,21,13
1534553557,32,15
1534555457,27,12
1534557371,22,15
1534559554,93,55
1534561498,16,20
1534563375,31,7
1534565418,12,390
1534567224,14,1303
1534569328,17,1375
1534571298,33,1013
1534573489,180,24
1534575381,17,22
1534577326,18,16
1534579233,29,12
1534581165,39,9
1534583102,42,15
1534584998,45,86
1534586927,54,20
1534588850,17,19
1534590768,35,48
1534592690,33,13
1534594587,25,18
1534596509,37,425
1534598442,23,17
1534600360,18,27
1534602262,14,15
1534604205,21,11
1534606098,25,28
1534609016,38,21
1534610897,19,14
1534612816,37,209
1534614762,13,28
1534616815,157,18
1534619121,30,519
1534620994,9,17
1534623259,22,10
1534625317,15,20
1534627208,15,104
1534629131,67,15
1534630972,374,15
1534632972,19,39
1534634848,18,1170
1534636827,22,2213
1534638660,14,25
1534640923,18,38
1534642925,31,17
1534644756,26,110
1534646664,42,18
1534648584,13,24
1534650522,27,17
1534652424,17,18
1534654356,19,16
1534656274,163,20
1534658192,24,17
1534660136,226,21
1534662069,451,15
1534663939,23,20
1534665885,86,24
1534667786,470,11
1534669721,18,17
1534671622,20,17
1534673563,13,16
1534675457,11,18
1534677407,15,31
1534679295,35,20
1534681236,20,28
1534683143,42,22
1534685081,17,16
1534686973,74,11
1534688913,8,15
1534690851,21,26
1534692755,934,27
1534694958,223,31
1534696811,14,5
1534698762,20,50
1534700657,21,41
1534702581,35,115
1534704758,47,50
1534706809,62,20
1534708814,44,17
1534710736,39,32
1534712660,29,7
1534714567,28,36
1534716506,30,154
1534718413,63,167
1534720332,255,19
1534723151,117,32
1534725171,1433,42
1534727053,1126,10
1534729026,1193,30
1534730973,12,24
1534732846,33,37
1534734837,11,16
1534736701,15,19
1534738630,18,16
1534740518,18,24
1534742509,21,18
1534744381,47,23
1534746306,38,18
1534748239,18,534
1534750165,16,17
1534752080,18,15
1534754008,12,135
1534755881,10,14
1534757950,16,22
1534759787,17,15
1534761685,14,7
1534763580,124,14
1534765545,17,25
1534767411,12,14
1534769352,22,21
1534771250,19,12
1534773851,19,25
1534775767,13,15
1534777969,22,30
1534779864,34,337
1534782068,27,35
1534783953,163,22
1534785872,331,23
1534787788,14,28
1534789701,13,30
1534791668,811,47
1534793556,33,52
1534795465,33,39
1534797380,25,40
1534799307,30,31
1534801212,25,35
1534803139,16,80
1534805056,24,149
1534806994,197,100
1534808894,651,14
1534811870,1112,1651
1534813710,247,1142
1534815613,20,1072
1534817556,22,15
1534819452,23,617
1534821615,26,9
1534823575,26,18
1534825467,28,24
1534827371,34,13
1534829316,17,19
1534831259,17,153
1534833133,287,33
1534835058,57,14
1534836990,38,22
1534838923,18,21
1534840820,556,12
1534842757,972,15
1534844653,1024,21
1534846604,228,19
1534848489,38,16
1534850427,23,16
1534852590,80,34
1534854492,197,13
1534856415,94,14
1534858355,1310,141
1534860263,1173,15
1534862179,654,15
1534864116,10,19
1534866013,18,35
1534867982,63,17
1534869876,25,62
1534871811,29,1017
1534873924,32,21
1534875857,8,17
1534877777,42,18
1534879687,45,19
1534881536,29,94
1534883540,25,112
1534885453,11,23
1534887387,25,22
1534889288,30,12
1534891225,21,17
1534893391,14,114
1534895574,15,424
1534897456,749,369
1534899666,1167,337
1534901655,1223,21
1534903488,232,26
1534905599,26,28
1534907547,122,18
1534909441,12,23
1534911620,180,25
1534913556,15,130
1534915477,155,23
1534917391,29,17
1534919293,36,102
1534921261,26,33
1534923145,36,16
1534925071,48,17
1534926990,32,691
1534928923,45,1456
1534930830,26,1674
1534932754,30,176
1534934656,26,18
1534936597,899,27
1534938490,387,154
1534940437,143,21
1534942341,30,15
1534944274,18,1201
1534946169,16,1242
