DateTime,AddedIPs,RemovedIPs
1531971387,0,1
1531998751,0,1
1532035990,1,0
1532069308,1,0
1532087081,1,0
1532122127,0,1
1532130019,1,0
1532139627,1,0
1532145384,1,0
1532155033,1,0
1532156906,0,1
1532172975,0,1
1532216412,0,1
1532226038,0,1
1532231794,0,1
1532239725,0,1
1532254102,1,0
1532288423,2,0
1532341420,0,1
1532372655,0,2
1532411540,1,0
1532423309,1,0
1532498914,0,1
1532523870,0,1
1532530078,1,0
1532544031,1,0
1532547016,1,0
1532616578,0,1
1532630189,0,1
1532643149,1,1
1532664044,1,0
1532665970,1,0
1532731565,0,1
1532749233,0,1
1532751164,0,1
1532784017,1,0
1532789806,1,0
1532793666,1,0
1532795546,1,0
1532828444,1,0
1532838009,1,0
1532843770,1,0
1532845707,1,0
1532870905,0,1
1532874764,0,1
1532880536,0,1
1532882412,0,1
1532900172,1,0
1532902112,3,0
1532904011,1,0
1532907873,1,0
1532914112,1,0
1532917945,1,0
1532919886,2,0
1532923706,1,0
1532925624,0,1
1532929468,0,1
1532931388,0,1
1532935245,1,0
1532960194,0,1
1532977467,1,0
1532979399,1,0
1532985149,1,1
1532988980,0,2
1532990921,0,1
1532992846,1,1
1532996676,1,0
1533000510,0,1
1533004356,1,1
1533006273,0,2
1533010116,0,1
1533021628,0,1
1533031282,3,0
1533037244,1,0
1533039168,1,0
1533044929,1,0
1533049015,1,0
1533054786,1,0
1533058812,1,0
1533062653,0,1
1533064591,1,1
1533073224,0,1
1533079209,0,2
1533083069,1,1
1533090618,0,1
1533100336,1,0
1533109800,1,0
1533113620,1,0
1533115479,1,0
1533117440,0,3
1533121342,1,0
1533124314,0,2
1533130108,0,1
1533132023,1,0
1533135865,0,1
1533137805,1,0
1533141862,0,1
1533147635,1,0
1533151454,0,1
1533161089,1,0
1533163215,1,0
1533166479,1,0
1533168290,0,1
1533174013,1,0
1533185552,2,0
1533187475,0,1
1533199002,1,1
1533200923,0,1
1533210767,0,1
1533212682,1,1
1533218666,0,1
1533222520,0,1
1533224504,1,0
1533234756,0,1
1533242438,1,0
1533250099,0,2
1533254175,0,1
1533256093,1,0
1533259961,0,1
1533271467,0,1
1533273391,0,1
1533282987,1,0
1533284894,1,0
1533286877,0,1
1533296679,1,0
1533298588,0,1
1533310492,0,1
1533316339,1,0
1533327860,0,1
1533341538,0,1
1533345396,1,0
1533370587,0,1
1533384047,0,1
1533393876,1,0
1533401538,0,1
1533407556,1,0
1533415229,0,1
1533431752,0,1
1533433694,1,0
1533443394,1,0
1533445272,1,0
1533461079,1,0
1533466861,4,0
1533480503,2,1
1533482674,1,0
1533484585,1,0
1533486516,2,0
1533488433,1,0
1533494195,0,1
1533498026,1,0
1533503808,1,0
1533505711,0,1
1533509562,1,0
1533519156,1,0
1533521089,0,1
1533530678,2,1
1533532591,0,1
1533536454,2,0
1533546028,1,0
1533549886,1,0
1533553726,0,4
1533555627,1,0
1533557578,1,0
1533561402,1,0
1533567151,0,2
1533569070,0,1
1533571003,1,1
1533572990,0,2
1533574869,0,1
1533576735,2,0
1533578551,1,0
1533584182,0,1
1533586180,1,0
1533590052,0,1
1533593871,1,0
1533595715,1,0
1533597626,0,1
1533601516,1,0
1533605386,2,1
1533613041,1,0
1533616874,0,2
1533618734,1,0
1533622574,0,2
1533624606,1,0
1533627628,0,1
1533629563,1,0
1533631459,0,1
1533635321,0,1
1533639157,2,0
1533641059,1,1
1533642973,0,1
1533647059,1,1
1533650900,1,0
1533656663,0,1
1533662658,0,2
1533668756,1,0
1533670591,1,0
1533672558,0,1
1533674431,1,0
1533676452,1,0
1533680228,0,1
1533686310,0,1
1533688180,0,1
1533690033,1,0
1533692053,1,2
1533699869,0,1
1533701771,1,0
1533705612,0,1
1533707526,1,0
1533709452,2,0
1533711385,1,1
1533715119,0,1
1533720976,3,0
1533723178,1,0
1533725065,1,1
1533727024,1,2
1533734705,1,0
1533736579,1,1
1533744282,1,0
1533754107,0,1
1533756258,0,1
1533758199,1,1
1533760094,0,1
1533762035,2,1
1533771643,1,1
1533773548,1,0
1533775455,2,1
1533777398,1,0
1533779297,0,1
1533786971,0,1
1533788919,1,0
1533794678,0,1
1533796608,0,2
1533798502,0,1
1533808107,0,3
1533811951,0,2
1533813870,0,1
1533821788,1,2
1533825617,1,0
1533827544,1,0
1533829474,1,0
1533831407,0,1
1533837878,2,0
1533845561,0,1
1533849395,1,1
1533857053,0,1
1533861732,0,3
1533863555,0,1
1533865556,2,0
1533875055,1,0
1533877127,2,0
1533884800,0,1
1533890435,2,0
1533901943,1,0
1533905925,1,0
1533907824,0,1
1533911689,0,1
1533913592,0,1
1533915521,0,1
1533924996,1,2
1533927029,1,0
1533928833,2,0
1533935072,0,1
1533940818,1,0
1533946581,1,0
1533950450,0,1
1533952355,0,1
1533954290,1,0
1533960176,1,0
1533962171,0,1
1533964119,0,1
1533967935,3,0
1533975608,0,1
1533977530,0,1
1533981367,2,0
1533989337,1,1
1533993144,0,1
1534000722,2,0
1534004650,1,0
1534012367,0,1
1534014268,0,2
1534016175,0,1
1534018115,2,0
1534032756,0,1
1534040927,0,1
1534046666,0,1
1534048594,1,0
1534050501,0,1
1534054340,0,3
1534058188,1,0
1534060121,1,0
1534067797,0,2
1534069701,3,0
1534075485,0,2
1534077395,0,1
1534086979,0,1
1534089043,0,1
1534092987,1,0
1534096861,1,0
1534098735,1,0
1534100654,1,0
1534104498,1,1
1534114101,1,0
1534117955,1,0
1534121792,1,0
1534123698,2,0
1534127787,0,1
1534133787,0,2
1534143395,0,1
1534145289,2,0
1534148202,0,1
1534155871,0,3
1534161609,1,0
1534179396,0,1
1534183275,0,1
1534185166,1,1
1534187075,0,1
1534189000,1,0
1534191082,2,1
1534197147,2,0
1534201000,0,1
1534203778,0,1
1534205662,1,0
1534207480,0,1
1534209382,1,2
1534211315,1,0
1534223813,1,0
1534225845,1,0
1534229706,1,0
1534231687,1,2
1534241313,1,0
1534249015,1,1
1534252942,1,0
1534272790,0,1
1534276595,0,3
1534278494,1,0
1534280451,1,0
