DateTime,Entries,UniqueIPs
1529476948,9,9
1529482580,10,10
1529486429,9,9
1529492191,8,8
1529496042,9,9
1529503938,11,11
1529507783,10,10
1529509707,9,9
1529521476,8,8
1529523705,9,9
1529525554,10,10
1529529402,11,11
1529541862,10,10
1529547623,11,11
1529557455,10,10
1529559372,11,11
1529563479,10,10
1529569234,10,10
1529583152,9,9
1529585054,8,8
1529591055,6,6
1529605452,7,7
1529608587,6,6
1529612429,5,5
1529616266,4,4
1529635234,5,5
1529646748,4,4
1529650592,3,3
1529654670,2,2
1529668355,3,3
1529691610,2,2
1529695454,3,3
1529721396,2,2
1529734850,3,3
1529754024,3,3
1529782823,2,2
1529786652,3,3
1529802260,5,5
1529809958,6,6
1529817630,7,7
1529821469,6,6
1529827290,7,7
1529833002,8,8
1529838747,7,7
1529840655,8,8
1529883386,9,9
1529889138,7,7
1529896818,5,5
1529898742,6,6
1529904498,5,5
1529914118,4,4
1529917939,3,3
1529927536,2,2
1529940971,3,3
1529968341,2,2
1529986126,1,1
1530003244,2,2
1530026196,1,1
1530031937,2,2
1530041552,3,3
1530043457,4,4
1530071548,5,5
1530079301,6,6
1530084982,7,7
1530088819,6,6
1530117615,5,5
1530127218,4,4
1530129160,3,3
1530141381,4,4
1530156734,4,4
1530162505,5,5
1530164415,4,4
1530170180,5,5
1530172114,6,6
1530201393,5,5
1530205294,6,6
1530210994,7,7
1530222970,8,8
1530224888,9,9
1530226902,9,9
1530233456,10,10
1530235610,11,11
1530239478,12,12
1530243763,11,11
1530247600,12,12
1530249623,11,11
1530256578,10,10
1530258509,9,9
1530281543,10,10
1530292332,9,9
1530296805,8,8
1530303874,9,9
1530309645,8,8
1530311560,7,7
1530313469,6,6
1530321136,5,5
1530323069,3,3
1530332892,2,2
1530350190,3,3
1530354010,4,4
1530355948,5,5
1530367701,4,4
1530389779,3,3
1530418585,4,4
1530428180,5,5
1530435861,5,5
1530439720,4,4
1530443551,3,3
1530451474,5774,5774
1530455292,5,5
1530458175,6,6
1530482176,7,7
1530504503,6,6
1530514099,5,5
1530517971,6,6
1530521723,5,5
1530539675,3,3
1530545544,2,2
1530569017,1,1
1530588750,3,3
1530596654,4,4
1530604359,3,3
1530622341,4,4
1530646035,5,5
1530663864,6,6
1530674413,5,5
1530676338,4,4
1530678259,6,6
1530682101,5,5
1530694899,6,6
1530701362,7,7
1530708978,6,6
1530719793,7,7
1530727894,8,8
1530731789,7,7
1530735620,8,8
1530749070,7,7
1530754815,8,8
1530760825,9,9
1530764670,7,7
1530780017,6,6
1530787720,5,5
1530802360,6,6
1530806201,5,5
1530814823,4,4
1530822755,3,3
1530841954,2,2
1530872595,3,3
1530882289,4,4
1530886581,5,5
1530888918,4,4
1530908192,6,6
1530915873,7,7
1530921677,8,8
1530929313,8,8
1530950699,9,9
1530958598,8,8
1530970096,7,7
1530972072,6,6
1530995072,4,4
1531001806,3,3
1531006830,2,2
1531016918,1,1
1531034440,0,0
1531042599,1,1
1531054350,2,2
1531076508,3,3
1531082184,4,4
1531092266,5,5
1531105464,7,7
1531129725,7,7
1531141493,6,6
1531149173,7,7
1531160662,8,8
1531162575,8,8
1531169409,7,7
1531179158,7,7
1531182975,8,8
1531192593,6,6
1531231473,5,5
1531235310,4,4
1531246816,3,3
1531248750,2,2
1531258353,3,3
1531262196,4,4
1531264128,3,3
1531269855,2,2
1531277600,4,4
1531285729,5,5
1531302996,6,6
1531314512,7,7
1531322191,8,8
1531324111,9,9
1531332259,10,10
1531344030,9,9
1531348104,8,8
1531353875,9,9
1531363465,8,8
1531365402,7,7
1531373053,8,8
1531387947,9,9
1531389898,8,8
1531409089,7,7
1531410989,6,6
1531417978,5,5
1531419864,6,6
1531421773,5,5
1531440098,4,4
1531453460,3,3
1531459486,2,2
1531466431,3,3
1531474108,2,2
1531477946,3,3
1531479884,4,4
1531483733,5,5
1531491650,6,6
1531505071,5,5
1531506997,6,6
1531516591,1608,1608
1531520427,1632,1632
1531585994,1633,1633
1531588155,1634,1634
1531618131,1635,1635
1531626348,1636,1636
1531659193,1637,1637
1531669773,1638,1638
1531675254,1639,1639
1531704299,1640,1640
1531803923,1641,1641
1531865564,2,2
1531871299,3,3
1531884760,4,4
1531890504,3,3
1531894362,4,4
1531913575,5,5
1531930838,4,4
1531940432,5,5
1531944524,6,6
1531946441,7,7
1531957983,6,6
1531971388,5,5
1531977418,6,6
1531981268,5,5
1531985294,6,6
1531998752,5,5
1532004525,6,6
1532027453,5,5
1532031390,4,4
1532033291,3,3
1532037402,4,4
1532059008,5,5
1532064989,5,5
1532072671,4,4
1532088060,5,5
1532089954,4,4
1532114893,5,5
1532138181,6,6
1532144238,5,5
1532152136,4,4
1532167741,5,5
1532175457,4,4
1532181147,5,5
1532183124,6,6
1532198473,5,5
1532200600,4,4
1532224094,3,3
1532233694,4,4
1532261309,5,5
1532267057,4,4
1532268980,3,3
1532278755,4,4
1532282681,3,3
1532286515,4,4
1532321301,3,3
1532325138,4,4
1532327113,5,5
1532347269,4,4
1532355154,5,5
1532359001,6,6
1532364747,5,5
1532372656,6,6
1532374577,5,5
1532401249,7,7
1532410823,8,8
1532412759,6,6
1532444171,7,7
1532446101,7,7
1532451865,8,8
1532459667,7,7
1532461722,8,8
1532469393,7,7
1532486739,6,6
1532488583,7,7
1532498480,6,6
1532509950,7,7
1532515724,6,6
1532531343,5,5
1532533246,4,4
1532537314,4,4
1532548859,3,3
1532569988,4,4
1532573818,3,3
1532581519,4,4
1532594900,3,3
1532604832,4,4
1532610527,5,5
1532624410,4,4
1532639556,12,12
1532656361,11,11
1532665970,12,12
