DateTime,AddedIPs,RemovedIPs
1533062654,1,0
1533064593,0,2
1533067155,11,1
1533069167,8,1
1533071067,8,1
1533073226,4,1
1533075312,0,2
1533079211,2,3
1533081130,3,1
1533083071,4,0
1533084969,17,0
1533086792,7,0
1533090620,0,2
1533092504,7,2
1533094492,2,0
1533096507,1,4
1533098329,8,0
1533100338,6,1
1533102167,5,0
1533105961,11,0
1533109802,2,0
1533111640,7,0
1533113622,5,2
1533115480,4,0
1533117441,16,5
1533119319,0,1
1533121344,1,0
1533124316,5,0
1533126279,0,16
1533128172,0,16
1533130110,0,6
1533132025,1,2
1533133967,1,5
1533135866,9,20
1533137807,0,1
1533139988,11,1
1533141863,1,6
1533143778,0,5
1533147637,11,1
1533149563,15,0
1533151456,23,3
1533153395,11,8
1533155293,12,8
1533157296,4,8
1533159144,1,4
1533166481,1,3
1533168292,1,2
1533170178,0,9
1533172133,0,12
1533174015,1,7
1533177858,0,7
1533181696,0,2
1533183638,0,5
1533185554,0,10
1533187476,6,0
1533189372,2,5
1533191322,6,11
1533193217,1,0
1533197090,1,9
1533199004,1,3
1533200924,4,4
1533202816,1,2
1533204764,0,16
1533206663,0,1
1533208824,1,0
1533210769,1,5
1533212684,1,0
1533214832,2,0
1533218667,10,1
1533220574,3,1
1533222522,0,9
1533224506,2,0
1533226588,0,11
1533228743,0,1
1533232884,9,1
1533234758,2,10
1533236680,10,36
1533238588,2,9
1533240536,7,14
1533242440,78,6
1533244380,43,0
1533246382,112,1
1533248191,64,0
1533250100,6,0
1533252032,4,1
1533254177,5,1
1533256095,9,0
1533259962,0,1
1533265730,1,0
1533273393,0,6
1533275309,0,2
1533277235,0,3
1533279158,1,4
1533284900,0,1
1533286884,3,5
1533288768,14,1
1533290674,9,0
1533294513,1,1
1533296680,0,1
1533298589,0,1
1533300508,0,1
1533302418,0,1
1533306272,7,13
1533310493,2,2
1533312526,1,0
1533318262,0,6
1533320173,2,5
1533324022,0,10
1533325961,0,2
1533327862,0,36
1533329776,0,51
1533331703,0,93
1533333778,4,117
1533335781,0,7
1533337700,9,10
1533339626,14,0
1533341539,4,8
1533343450,1,6
1533351400,0,1
1533357159,1,0
1533366750,0,1
1533374416,0,9
1533376340,1,8
1533378286,6,9
1533380240,11,1
1533385943,2,0
1533391970,1,7
1533393877,11,0
1533397699,0,2
1533399629,0,1
1533405375,4,1
1533407561,0,1
1533411386,4,0
1533413318,18,0
1533421118,4,4
1533423836,1,6
1533425778,4,17
1533427695,0,1
1533429632,0,4
1533433695,3,0
1533443395,0,1
1533463009,0,1
1533464914,1,6
1533466867,0,11
1533468767,1,0
1533470622,3,0
1533472820,1,2
1533478585,0,1
1533480507,0,11
1533482676,13,0
1533484586,2,0
1533488436,4,0
1533492289,0,4
1533496118,7,0
1533498027,0,4
1533499962,1,18
1533501872,1,0
1533503810,8,0
1533505712,10,0
1533507621,0,4
1533511470,0,5
1533513416,1,0
1533515306,1,0
1533519157,1,2
1533521090,2,1
1533524917,7,0
1533534506,1,0
1533547956,4,0
1533549888,0,1
1533553729,1,0
1533555629,0,1
1533557582,1,3
1533559473,0,1
1533561403,3,0
1533563315,7,0
1533569071,3,13
1533571004,5,2
1533572992,7,0
1533574880,0,4
1533576736,2,0
1533582370,2,7
1533584183,5,0
1533586182,1,1
1533590053,0,6
1533591873,0,9
1533599529,16,1
1533601518,2,1
1533605387,2,1
1533607235,1,2
1533609214,1,0
1533611076,0,7
1533616876,5,0
1533618735,1,0
1533620725,0,1
1533624608,1,0
1533631461,1,0
1533633384,1,4
1533639159,0,1
1533642975,0,1
1533648998,0,5
1533650911,3,5
1533652821,1,0
1533654762,6,3
1533656664,1,5
1533658603,0,7
1533660523,1,0
1533662659,0,2
1533668758,0,3
1533670592,0,6
1533672561,0,3
1533680233,1,0
1533682112,4,0
1533684344,0,2
1533686312,0,16
1533692054,0,3
1533693861,0,1
1533699871,21,0
1533703693,115,6
1533705614,185,0
1533707528,224,0
1533709458,4,0
1533711387,0,1
1533718969,0,1
1533720978,5,1
1533723180,1,0
1533732748,3,0
1533734707,4,0
1533736581,0,3
1533740478,0,1
1533742376,0,7
1533746243,0,1
1533752201,1,0
1533758201,2,0
1533760096,3,0
1533762037,8,0
1533763965,10,0
1533765914,2,0
1533767795,0,5
1533769801,1,0
1533773549,1,0
1533777400,3,0
1533785077,0,20
1533786973,1,1
1533788921,1,21
1533790885,2,175
1533792773,0,178
1533794679,0,154
1533804258,2,0
1533808109,0,5
1533810031,0,1
1533811952,6,0
1533813872,3,0
1533817706,1,0
1533819892,0,7
1533833298,1,0
1533837880,1,1
1533839774,9,0
1533841718,1,0
1533843614,0,1
1533845562,1,1
1533847460,0,11
1533849396,0,4
1533851297,2,8
1533853232,5,0
1533855163,4,1
1533861734,0,1
1533863556,0,3
1533873223,1,1
1533877128,0,3
1533880982,3,0
1533890436,0,2
1533896245,27,0
1533898095,4,6
1533900110,0,1
1533901944,1,2
1533903985,0,1
1533915523,5,0
1533919351,0,1
1533923186,5,0
1533924997,0,10
1533927032,0,1
1533930916,1,1
1533935074,18,0
1533938924,0,7
1533940819,0,3
1533942775,0,1
1533948505,1,0
1533950452,1,0
1533958110,0,1
1533967937,0,3
1533969874,1,0
1533977531,1,0
1533981368,0,11
1533983291,0,16
1533985234,0,4
1533989368,0,1
1533995059,1,0
1534000723,0,5
1534010434,0,5
1534016176,0,1
1534020046,0,4
1534021943,0,14
1534036589,1,2
1534042892,1,0
1534044748,2,0
1534046668,1,0
1534056263,0,1
1534063942,0,1
1534065863,3,0
1534071635,1,0
1534077396,2,0
1534081230,5,1
1534083156,14,0
1534085055,1,0
1534086981,1,0
1534092988,1,0
1534096873,1,0
1534098736,2,0
1534119860,1,0
1534123699,0,1
1534125768,1,0
1534127788,8,0
1534129956,4,3
1534133788,0,1
1534141454,0,0
1534152054,0,3
1534157794,1,1
1534159711,2,0
1534163535,0,2
1534167371,0,5
1534169820,0,15
1534173627,0,1
1534175547,5,0
1534179397,0,1
1534183285,0,1
1534185167,0,2
1534203780,4,0
1534205664,0,1
1534213227,0,5
1534215167,0,4
1534217068,0,4
1534218994,2,0
1534220892,1,0
1534234355,1,0
1534243936,0,1
1534245873,0,2
1534261694,0,5
1534263637,1,0
1534281132,14,0
1534288817,0,1
1534290726,23,3
1534292762,3,0
1534306128,0,3
1534321454,0,1
1534325290,1,0
1534343775,1,0
1534351710,0,1
1534355778,1,0
1534357609,1,0
1534363463,1,0
1534367319,0,14
1534369176,1,0
1534372976,10,0
1534377265,16,6
1534379303,15,0
1534389154,1,0
1534404501,2,0
1534412181,0,1
1534414104,1,0
1534416028,1,0
1534419885,1,0
1534423665,1,0
1534429455,0,1
1534441235,5,0
1534443145,1,2
1534450818,0,1
1534454672,0,1
1534458497,1,30
1534463578,0,15
1534465711,0,16
1534467695,1,0
1534475330,0,1
1534479385,2,0
1534491166,0,2
1534500767,1,1
1534502665,0,1
1534506501,0,1
1534510361,0,1
1534512281,1,0
1534524251,1,0
1534526201,1,0
1534528092,0,6
1534530267,2,0
1534532310,1,0
1534543942,0,1
1534545853,19,0
1534553559,0,1
1534565420,0,2
1534569331,1,0
1534583104,1,0
1534586929,0,1
1534588852,1,0
1534590770,2,0
1534592693,2,0
1534598444,1,1
1534609950,0,1
1534611898,0,1
1534617630,1,2
1534619445,0,1
1534632974,0,19
1534656283,2,1
1534669723,0,1
1534673565,1,0
1534675459,0,1
1534677409,0,2
1534679297,0,2
1534685083,0,1
1534690878,2,0
1534704766,0,1
1534712662,1,0
1534714569,2,0
1534716508,1,0
1534720334,4,0
1534723154,1,0
1534736703,1,0
1534740521,9,0
1534742511,0,2
1534759789,0,1
1534775770,0,1
1534777971,0,1
1534799310,0,1
1534801214,0,2
1534803141,0,1
1534806996,5,4
1534808896,0,1
1534823577,0,1
1534825469,2,0
1534827373,0,9
1534833135,3,0
1534835060,1,0
1534844655,9,0
1534852595,1,0
1534866021,1,0
1534867991,2,0
1534877779,1,0
1534879690,3,0
1534887389,38,0
1534889292,25,0
1534893393,0,5
1534911622,0,2
1534913558,1,0
1534919295,0,3
1534921289,0,1
