DateTime,AddedIPs,RemovedIPs
1512603665,0,1
1512690755,0,1
1512952105,1,0
1513301568,0,1
1514697047,1,0
1515526267,0,1
1517096444,1,0
1517619390,1,0
1519450107,0,1
1519711383,1,0
1520322030,0,1
1520409398,1,0
1522284274,0,1
1523200821,0,1
1524073933,0,0
1525993903,1,1
1526353301,4,0
1527225405,0,0
1527312661,0,0
1527400175,0,0
1527836196,0,0
1527923314,0,0
1528010416,0,1
1528271768,0,0
1528446021,1,0
1528533164,0,1
1528620265,0,1
1529753065,0,1
1530493742,0,1
1531016416,1,0
1531103556,0,1
1531539164,2644,0
1531887871,0,2441
1531974984,1,5
1532062108,8,3
1532149259,1,11
1532236605,1,2
1532323697,5,7
1532410824,3,6
1532498016,2,5
1532585072,3,1
1532672205,1,5
1532759302,3,5
1532846437,2,3
1532933794,2,1
1533021271,1,6
1533108762,1,12
1533196121,1,6
1533283230,3,5
1533370334,2,5
1533457477,1,5
1533544607,1,0
1533631709,1,7
1533718969,2,6
1533806194,0,7
1533893300,1,2
1533980412,0,7
1534067531,5,11
1534154661,2,2
1534241773,1,3
1534329159,1,0
1534416275,5,1
1534503805,0,5
1534590981,4,4
1534678391,0,5
1534765550,1,2
1534852596,1,5
1534939711,0,4
1535026839,1,7
