DateTime,AddedIPs,RemovedIPs
1512429173,2,0
1512603666,1,0
1512864987,1,2
1512952106,0,1
1513126763,1,2
1513301571,0,1
1513388654,0,4
1513650263,4,5
1513737664,1,4
1513998988,0,5
1514086126,0,2
1514173228,0,2
1514260362,3,0
1514347830,1,1
1514434847,1,0
1514522205,0,1
1514609735,0,7
1514697048,1,1
1514784350,1,1
1514871411,1,0
1514958533,0,3
1515176733,0,6
1515264030,1,1
1515351309,1,1
1515526268,0,1
1515700583,0,1
1515875194,0,1
1515962848,1,0
1516137418,2,0
1516224596,0,2
1516311901,0,2
1516398997,0,2
1516747478,1,0
1516835035,1,0
1516922242,1,2
1517009330,4,2
1517096447,1,0
1517270921,1,0
1517358045,1,2
1517532264,0,2
1517619392,1,0
1517706526,1,0
1517880972,0,1
1518142356,1,1
1518229478,2,2
1518491313,1,0
1518753160,0,1
1519101741,1,0
1519275796,0,1
1519624362,0,3
1519711385,0,2
1519798610,1,0
1519885720,0,2
1520409399,1,0
1520583876,1,1
1520671225,0,1
1520758355,1,0
1520845484,0,2
1520932832,0,1
1521019962,0,1
1521194479,0,1
1521456306,1,0
1521717622,0,2
1522022685,0,1
1522284275,1,0
1523200827,0,3
1523375059,0,1
1523681076,0,1
1523768557,0,1
1524073933,0,1
1524161327,0,2
1524336038,0,2
1524423179,0,2
1524510529,1,0
1524597883,0,2
1524684906,0,2
1524772106,0,5
1524859349,0,11
1525033464,1,0
1525294848,1,0
1525993905,0,5
1526353302,53,0
1526440597,1,1
1526527712,1,0
1526614822,1,0
1526701932,1,0
1526876189,0,1
1526963572,0,1
1527050916,1,0
1527138285,1,1
1527225406,1,4
1527312662,0,3
1527400177,0,4
1527487417,0,2
1527574578,2,3
1527661953,2,0
1527749081,0,1
1527836197,0,1
1528010417,1,0
1528097576,0,1
1528271770,0,2
1528446023,1,0
1528707380,0,1
1528968756,0,1
1529055872,2,1
1529142984,1,1
1529230110,0,2
1529404344,1,0
1529665952,1,1
1529753067,1,0
1529840179,1,0
1530058111,1,0
1530145237,1,2
1530232412,0,3
1530319474,0,2
1530493744,0,1
1531016417,0,1
1531103557,2,0
1531190689,0,1
1531277779,1,0
1531452019,1,0
1531539166,19689,0
1531887872,0,16307
1531974985,3,16
1532062109,31,24
1532149272,15,43
1532236605,10,20
1532323700,44,12
1532410826,10,11
1532498017,6,12
1532585073,15,15
1532672206,5,19
1532759303,6,17
1532846438,3,18
1532933796,6,36
1533021272,11,31
1533108763,2,13
1533196122,3,28
1533283230,1,19
1533370335,5,17
1533457478,0,22
1533544607,1,50
1533631710,5,31
1533718972,146,31
1533806196,94,59
1533893300,43,34
1533980412,53,31
1534067532,17,34
1534154662,15,34
1534241773,29,36
1534329161,6,22
1534416276,5,21
1534503806,4,20
1534590982,16,13
1534678392,11,23
1534765552,12,24
1534852598,4,17
1534939713,14,85
1535026840,13,23
