DateTime,Entries,UniqueIPs
1512342163,1,1
1513476144,0,0
1513476144,0,0
1513476144,0,0
1513476144,0,0
1513476144,0,0
1513476144,0,0
1531527172,1189,1189
1531614569,1197,1197
1531920283,31,31
1532007403,25,25
1532181862,26,26
1532268983,24,24
1532356158,23,23
1532530394,22,22
1532704606,21,21
1532965963,18,18
1533053101,15,15
1533140438,14,14
1533227553,11,11
1533314679,10,10
1533488925,11,11
1533576017,10,10
1533663141,9,9
1533837373,7,7
1533924493,6,6
1534098738,5,5
1534185870,6,6
1534795940,5,5
