DateTime,AddedIPs,RemovedIPs
1532823418,0,1
1532839724,1,1
1532845458,2,1
1532849296,1,0
1532856984,1,0
1532862764,0,3
1532864658,0,8
1532868495,3,0
1532870451,2,0
1532878367,0,2
1532880266,0,1
1532886021,3,0
1532891786,0,2
1532899689,3,0
1532905735,1,0
1532917471,1,0
1532921545,1,0
1532925373,0,1
1532929216,1,0
1532931137,0,1
1532933076,0,1
1532934975,0,1
1532936918,1,0
1532944584,0,1
1532954180,0,1
1532956121,0,4
1532971726,0,3
1532977471,1,0
1532979402,1,0
1532985153,1,1
1532987100,0,2
1532992851,0,1
1532994773,4,0
1532996680,4,0
1533000519,1,0
1533002498,0,1
1533004361,1,0
1533008218,0,1
1533012028,1,0
1533015869,0,1
1533023595,0,1
1533027403,1,0
1533029313,1,0
1533033421,1,0
1533035327,1,0
1533049019,2,0
1533052771,3,0
1533054790,2,0
1533056924,2,0
1533062657,0,1
1533067159,0,1
1533069169,2,0
1533071071,0,1
1533081133,1,3
1533083073,2,4
1533084975,1,0
1533086795,1,1
1533092510,1,0
1533098332,0,1
1533100340,1,0
1533109806,1,0
1533113625,0,1
1533115484,0,1
1533119322,0,1
1533121347,0,1
1533128175,1,0
1533132029,1,0
1533133970,1,0
1533135869,0,2
1533139991,1,4
1533141866,0,2
1533143781,0,2
1533153398,0,1
1533155296,0,1
1533157300,0,1
1533161094,1,0
1533168296,0,3
1533172137,0,2
1533179806,0,1
1533185556,0,1
1533195167,0,1
1533197092,1,0
1533206666,2,0
1533210772,1,0
1533214835,1,1
1533218670,0,1
1533220576,3,1
1533224509,0,1
1533228745,1,0
1533230664,1,0
1533234761,3,0
1533248193,1,0
1533254184,1,0
1533256097,2,0
1533258046,1,0
1533261877,3,0
1533265733,1,0
1533271472,1,0
1533273395,1,0
1533277238,1,0
1533282991,0,2
1533284902,2,0
1533288771,1,0
1533292607,0,1
1533294518,1,1
1533296683,1,0
1533298592,0,1
1533300511,0,1
1533304342,1,0
1533306275,0,1
1533308184,0,2
1533314425,0,1
1533316347,0,1
1533318265,1,0
1533320175,1,1
1533322115,0,2
1533333781,0,1
1533339628,0,1
1533341542,0,1
1533343452,0,2
1533347552,2,2
1533351403,1,1
1533355236,1,0
1533359059,0,2
1533362917,0,1
1533364827,2,0
1533368698,1,0
1533370591,0,1
1533374419,1,0
1533376342,0,1
1533380242,0,1
1533384090,0,1
1533389783,0,1
1533393880,1,0
1533395791,1,0
1533397701,1,0
1533399632,1,0
1533403468,1,0
1533405377,0,1
1533407563,0,1
1533421120,0,1
1533427697,1,0
1533433697,0,2
1533437540,0,1
1533441373,0,1
1533443397,1,0
1533451060,0,1
1533452940,0,1
1533454966,0,2
1533461082,0,1
1533480509,0,1
1533482678,1,1
1533484589,0,1
1533486520,0,1
1533490356,0,1
1533505715,1,0
1533513424,0,1
1533530683,0,1
1533540292,1,0
1533542188,3,0
1533544123,1,0
1533546079,1,0
1533547966,1,0
1533553732,2,0
1533557592,1,0
1533561406,1,0
1533563318,1,0
1533569074,2,1
1533588041,1,0
1533591876,0,1
1533601522,1,0
1533611079,1,0
1533614927,3,0
1533616878,4,0
1533620728,1,0
1533627632,4,2
1533629567,0,3
1533631463,1,1
1533633386,1,0
1533635325,1,1
1533639161,0,2
1533645175,0,1
1533649000,0,1
1533650918,1,1
1533652823,1,0
1533656672,0,1
1533658605,1,0
1533670594,1,0
1533674435,2,1
1533688185,0,1
1533697938,0,1
1533701775,0,4
1533703700,0,3
1533707531,0,1
1533713295,0,3
1533715123,0,1
1533717142,0,1
1533718974,0,1
1533723182,0,1
1533736583,0,1
1533738508,0,2
1533742379,1,0
1533744286,0,1
1533756263,0,1
1533760098,2,0
1533762073,0,2
1533783145,1,0
1533790888,1,0
1533796612,1,0
1533806198,1,0
1533810039,2,0
1533813874,1,0
1533815778,1,0
1533827548,1,1
1533829478,2,0
1533831411,1,0
1533836063,3,0
1533837882,1,0
1533839776,1,0
1533845565,0,1
1533847462,1,1
1533849398,1,0
1533855166,1,0
1533861736,2,0
1533867385,1,0
1533869434,1,1
1533875064,1,0
1533877131,0,1
1533882973,2,1
1533888619,1,0
1533892444,0,1
1533894279,1,0
1533896247,0,2
1533900112,0,1
1533901947,0,1
1533907828,1,0
1533915525,1,3
1533917494,0,1
1533921311,0,1
1533923190,0,2
1533925000,0,2
1533935076,0,2
1533940822,0,1
1533950454,1,0
1533960181,1,0
1533969877,1,0
1533985240,2,9
1533987137,1,0
1533991221,1,0
1533993148,0,1
1533995061,1,0
1533997003,2,0
1534000730,0,1
1534008490,2,0
1534014272,1,0
1534020048,1,0
1534027705,1,0
1534036591,0,1
1534042895,2,0
1534046670,1,1
1534048600,1,0
1534056265,1,1
1534065865,1,0
1534071686,0,2
1534073552,2,1
1534079327,0,1
1534083158,1,2
1534085057,1,1
1534094889,0,2
1534098739,1,0
1534100657,0,1
1534106476,1,1
1534108347,1,0
1534112214,2,0
1534114104,0,1
1534119862,1,0
1534121795,1,0
1534123701,1,0
1534125770,1,0
1534127790,2,0
1534129958,1,1
1534131859,1,1
1534133791,1,0
1534135713,0,1
1534137640,1,0
1534139559,1,0
1534141457,1,0
1534143398,0,1
1534147282,4,0
1534151081,1,1
1534152979,1,0
1534154913,1,0
1534158742,0,1
1534161613,4,1
1534163539,2,0
1534165459,1,0
1534167373,2,0
1534169823,1,1
1534171707,1,1
1534181304,1,0
1534191091,1,0
1534193073,0,2
1534205667,0,1
1534207484,0,1
1534209386,0,1
1534213230,2,2
1534217071,0,1
1534218997,0,2
1534224770,0,1
1534226666,0,1
1534228575,0,1
1534234358,0,5
1534238199,0,2
1534242036,0,1
1534245875,0,1
1534247776,0,3
1534249944,0,2
1534251861,0,3
1534253806,1,2
1534255703,0,1
1534257998,0,1
1534259811,1,0
1534261696,1,1
1534269390,0,1
1534277234,0,1
1534279211,1,0
1534283072,1,0
1534284976,0,1
1534286929,1,0
1534300342,3,2
1534302270,1,0
1534304180,1,0
1534306131,1,0
1534309943,2,0
1534311877,1,0
1534325292,2,0
1534332975,1,0
1534338762,0,1
1534346420,0,1
1534348573,1,1
1534366094,1,1
1534370681,1,1
1534372572,1,1
1534374768,2,0
1534376833,1,0
1534378935,1,0
1534384511,1,0
1534386740,0,3
1534388682,0,1
1534390574,1,0
1534392524,1,1
1534396359,0,2
1534398253,0,1
1534411718,1,2
1534415558,2,0
1534419403,0,1
1534421326,1,0
1534423218,1,0
1534434772,0,1
1534442471,1,0
1534452009,3,1
1534455851,2,0
1534457783,1,1
1534459709,0,3
1534461552,0,2
1534465714,0,1
1534471487,0,1
1534477490,0,1
1534479388,0,1
1534491169,1,0
1534498833,0,1
1534500770,1,1
1534502668,1,1
1534504611,1,0
1534506504,0,1
1534508429,1,0
1534537945,0,2
1534542040,0,2
1534543944,1,4
1534547777,1,0
1534561502,1,0
1534577337,0,1
1534586932,0,1
1534588855,0,1
1534590772,0,1
1534594591,0,1
1534621457,1,0
1534623264,1,0
1534630977,0,1
1534632976,1,0
1534634858,0,1
1534644760,1,0
1534648587,0,1
1534671627,1,0
1534673567,1,0
1534675463,1,0
1534681242,2,0
1534685085,1,0
1534694963,1,0
1534696816,1,0
1534700663,2,0
1534706813,1,1
1534708851,3,1
1534710740,1,0
1534716511,3,0
1534718423,1,0
1534720337,1,1
1534723157,1,0
1534730978,1,1
1534732850,1,0
1534740529,1,0
1534742513,2,0
1534757955,1,1
1534759792,0,1
1534761689,1,1
1534767416,1,2
1534771254,0,1
1534773859,1,0
1534782073,1,2
1534787795,0,2
1534793560,0,2
1534795470,0,2
1534797385,1,1
1534801217,0,1
1534803144,0,2
1534805061,0,1
1534806998,0,1
1534808898,0,1
1534811877,2,0
1534817560,0,1
1534819463,1,1
1534825471,0,1
1534829321,0,2
1534840825,1,0
1534844658,0,1
1534848493,0,1
1534852599,3,0
1534854496,0,1
1534858361,0,1
1534867993,0,1
1534869881,1,0
1534875862,1,0
1534877781,1,0
1534881540,1,0
1534883544,0,1
1534893396,1,0
1534895581,0,1
1534897467,1,1
1534905612,0,1
1534913560,1,0
1534921292,1,0
1534923150,2,0
1534926995,1,1
1534930835,1,0
1534932758,3,0
1534934660,1,0
1534938494,0,2
1534940441,2,1
1534942345,2,0
1534944278,2,0
1534957714,0,1
1534961645,0,1
1534963476,1,0
1534965384,2,1
1534967562,0,1
1534977452,1,0
1534981255,1,1
1534983400,2,0
1534985306,0,1
1534999003,0,1
1535000902,1,0
1535002823,1,0
1535008602,0,2
1535010503,0,1
1535014379,0,1
1535018200,1,3
1535020096,1,1
1535022087,0,1
1535025890,0,1
1535027776,0,2
1535029720,1,3
1535033566,1,0
1535039559,1,0
1535041471,1,0
1535051070,0,1
1535052994,0,1
1535062584,0,1
1535064504,2,0
1535066424,0,1
1535068449,0,1
1535070260,0,1
1535074098,1,0
1535086101,1,0
1535088041,2,1
1535089943,0,1
1535091863,2,0
1535093796,1,0
1535095699,1,0
1535099570,1,0
1535105324,3,1
