DateTime,Entries,UniqueIPs
1529660683,5,5
1529666533,6,6
1529672191,5,5
1529687560,4,4
1529693302,3,3
1529704939,4,4
1529716340,5,5
1529728104,6,6
1529741549,5,5
1529747315,4,4
1529753070,3,3
1529755004,4,4
1529762838,5,5
1529792194,4,4
1529802263,3,3
1529804192,4,4
1529809962,5,5
1529813799,6,6
1529815697,5,5
1529823376,6,6
1529838752,7,7
1529840659,7,7
1529850275,6,6
1529852176,7,7
1529860125,8,8
1529891061,7,7
1529896824,6,6
1529898747,5,5
1529908343,4,4
1529925633,3,3
1529927540,2,2
1529939068,1,1
1529942917,0,0
1529952270,1,1
1529966189,3,3
1529973857,4,4
1529982739,5,5
1529994256,6,6
1530011790,7,7
1530036739,8,8
1530038672,7,7
1530040586,394,394
1530042615,2829,2829
1530044432,5708,5708
1530050189,5709,5709
1530054262,5710,5710
1530096544,5711,5711
1530127223,5135,5135
1530129164,2650,2650
1530131305,3,3
1530135163,3,3
1530141386,2,2
1530156738,3,3
1530181697,2,2
1530195399,3,3
1530212909,4,4
1530217122,5,5
1530221099,4,4
1530224893,5,5
1530242673,4,4
1530262373,5,5
1530270095,6,6
1530281547,5,5
1530300990,4,4
1530302902,3,3
1530310602,2,2
1530331962,3,3
1530349308,2,2
1530357146,2,2
1530408645,3,3
1530416666,2,2
1530428184,3,3
1530443554,3,3
1530447534,4,4
1530451582,16537,16537
1530454570,4,4
1530485053,5,5
1530494692,4,4
1530516031,3,3
1530529956,2,2
1530533791,1,1
1530551296,2,2
1530572916,1,1
1530588753,2,2
1530604362,3,3
1530616369,4,4
1530620442,5,5
1530636414,4,4
1530642267,6,6
1530646039,7,7
1530647922,8,8
1530649837,9,9
1530673719,8,8
1530689064,9,9
1530690985,8,8
1530703228,7,7
1530707061,6,6
1530727900,5,5
1530731794,4,4
1530735625,4,4
1530737553,3,3
1530739508,5,5
1530743315,6,6
1530745359,7,7
1530747175,8,8
1530751000,9,9
1530754819,10,10
1530758677,11,11
1530760829,12,12
1530774294,11,11
1530778118,13,13
1530783881,15,15
1530799472,16,16
1530814828,15,15
1530822760,14,14
1530825325,14,14
1530827310,13,13
1530829235,12,12
1530831186,11,11
1530833261,10,10
1530839078,9,9
1530840995,8,8
1530844842,7,7
1530848676,7,7
1530850611,8,8
1530864095,6,6
1530869817,5,5
1530879885,6,6
1530886586,5,5
1530894761,6,6
1530900536,7,7
1530910105,6,6
1530913949,7,7
1530915877,8,8
1530929319,9,9
1530935099,8,8
1530936975,9,9
1530938912,9,9
1530956428,8,8
1530964388,9,9
1530966283,8,8
1530981622,7,7
1530987395,6,6
1530998899,7,7
1531000925,6,6
1531002764,5,5
1531014979,4,4
1531022690,3,3
1531026764,2,2
1531044098,3,3
1531050036,2,2
1531084347,1,1
1531121072,2,2
1531130678,1,1
1531163800,2,2
1531179626,3,3
1531206265,2,2
1531213955,3,3
1531215858,4,4
1531250731,3,3
1531266021,2,2
1531287686,3,3
1531293418,4,4
1531299158,3,3
1531301069,2,2
1531303000,3,3
1531336360,4,4
1531374996,3,3
1531378893,2,2
1531388416,2,2
1531405702,3,3
1531421052,3,3
1531468365,4,4
1531476103,3,3
1531479889,4,4
1531481813,5,5
1531491654,4,4
1531507002,3,3
1531516619,5909,5909
1531520464,5944,5944
1531522413,5945,5945
1531552586,5946,5946
1531586586,5947,5947
1531588593,5948,5948
1531590563,5949,5949
1531592432,5951,5951
