DateTime,AddedIPs,RemovedIPs
1534131862,41,23
1534133800,12,15
1534135715,15,22
1534137649,19,15
1534139567,32,15
1534141460,27,17
1534143401,24,15
1534145300,38,14
1534147285,33,22
1534149160,22,12
1534151083,22,13
1534152982,25,21
1534154917,27,23
1534156821,14,35
1534158745,24,13
1534161616,41,23
1534163542,17,20
1534165462,17,16
1534167375,19,35
1534169826,38,57
1534171710,25,13
1534173632,23,23
1534175553,26,10
1534177473,35,15
1534179402,33,39
1534181307,17,20
1534183291,22,20
1534185173,17,16
1534187082,27,16
1534189007,18,12
1534191094,23,20
1534193075,11,16
1534194977,21,23
1534197155,19,19
1534199062,20,21
1534201007,20,16
1534203786,33,24
1534205670,28,19
1534207487,16,15
1534209389,27,18
1534211322,11,11
1534213233,21,19
1534215172,28,35
1534217073,20,27
1534218999,16,31
1534220902,28,11
1534222898,27,19
1534224773,33,23
1534226669,14,27
1534228578,23,25
1534230549,33,27
1534232428,14,41
1534234360,29,26
1534236259,34,25
1534238201,28,15
1534240098,28,25
1534242039,21,16
1534243941,48,20
1534245878,22,26
1534247780,21,26
1534249947,34,22
1534251863,21,16
1534253809,19,19
1534255725,27,22
1534258006,29,33
1534259814,18,19
1534261698,23,22
1534263642,25,38
1534265543,20,27
1534267460,23,22
1534269392,17,17
1534271292,27,19
1534273291,19,23
1534275160,18,21
1534277237,25,22
1534279213,19,14
1534281137,38,22
1534283074,20,11
1534284979,26,19
1534286931,25,23
1534288830,18,23
1534290731,28,17
1534292766,14,27
1534294601,17,20
1534296495,20,24
1534298515,16,15
1534300344,15,24
1534302272,18,25
1534304182,16,16
1534306133,15,20
1534308036,26,26
1534309950,21,23
1534311879,21,31
1534313797,12,18
1534315697,26,19
1534317631,29,27
1534319550,17,22
1534321464,2282,29
1534323393,19,57
1534325294,22,31
1534327289,33,23
1534329167,28,23
1534331060,23,43
1534332978,21,20
1534334934,20,23
1534336818,24,33
1534338764,14,19
1534340657,30,19
1534342576,18,27
1534344519,24,21
1534346430,27,19
1534348575,17,24
1534350491,24,23
1534352481,23,16
1534354340,30,23
1534356262,18,16
1534358435,27,31
1534360349,19,15
1534362270,18,25
1534364187,24,19
1534366097,23,22
1534368621,26,42
1534370684,34,29
1534372574,23,22
1534374770,24,23
1534376835,25,13
1534378937,33,16
1534380760,11,18
1534382680,18,20
1534384513,24,15
1534386742,14,18
1534388692,12,15
1534390577,15,15
1534392526,10,15
1534394426,12,21
1534396362,15,18
1534398256,20,21
1534400209,16,16
1534402105,12,27
1534404020,19,27
1534405956,25,18
1534407877,18,2308
1534409778,14,19
1534411720,27,22
1534413684,18,35
1534415560,22,28
1534417474,23,19
1534419405,38,23
1534421328,13,20
1534423220,16,25
1534425157,27,18
1534427069,26,32
1534429003,32,18
1534430907,35,22
1534432828,19,28
1534434774,29,16
1534436662,32,23
1534438516,19,17
1534440493,26,36
1534442497,35,19
1534444339,20,26
1534446158,1472,19
1534447961,805,21
1534450016,15,25
1534452012,25,22
1534453854,24,12
1534455853,24,27
1534457786,22,36
1534459712,16,42
1534461555,26,19
1534463590,19,24
1534465717,5,28
1534467702,25,17
1534469554,17,26
1534471491,13,15
1534473412,26,9
1534475336,8,10
1534477493,14,17
1534479391,19,14
1534481575,22,12
1534483469,15,18
1534485394,13,21
1534487314,41,12
1534489306,21,16
1534491173,22,22
1534493098,18,15
1534494991,16,19
1534496924,10,14
1534498836,2624,19
1534500773,636,19
1534502677,24,19
1534504615,25,29
1534506507,34,19
1534508433,20,12
1534510368,30,21
1534512287,26,19
1534514229,25,22
1534516124,20,21
1534518105,18,30
1534520193,23,23
1534522317,30,26
1534524257,38,20
1534526207,23,17
1534528099,18,30
1534530273,20,22
1534532316,20,1181
1534534118,24,937
1534536094,23,18
1534537947,29,16
1534540075,27,23
1534542043,17,29
1534543947,25,16
1534545857,38,16
1534547779,11,20
1534549616,11,20
1534551629,20,6
1534553564,13,13
1534555465,16,19
1534557378,19,12
1534559561,20,28
1534561506,17,7
1534563397,24,11
1534565426,12,12
1534567232,15,11
1534569336,20,18
1534571312,24,16
1534573505,28,44
1534575388,19,18
1534577339,16,20
1534579294,20,26
1534581171,29,15
1534583111,16,15
1534585011,17,103
1534586934,18,19
1534588859,28,29
1534590775,22,20
1534592697,37,28
1534594594,11,24
1534596522,18,28
1534598449,17,23
1534600367,20,22
1534602269,18,22
1534604212,18,14
1534606111,26,16
1534608092,16,15
1534609956,23,34
1534611903,21,27
1534613795,21,17
1534615712,20,15
1534617649,24,17
1534619450,17,19
1534621460,22,17
1534623267,13,28
1534625325,20,27
1534627216,16,20
1534629138,21,22
1534630979,22,14
1534632979,21,43
1534634860,16,1664
1534636884,20,1784
1534638735,26,15
1534640931,26,17
1534642931,16,15
1534644762,17,18
1534646670,19,15
1534648589,12,17
1534650528,24,21
1534652438,18,17
1534654362,25,13
1534656287,22,17
1534658198,12,30
1534660142,25,27
1534662096,13,23
1534663945,26,19
1534665892,21,24
1534667792,24,26
1534669727,28,19
1534671629,19,16
1534673570,29,20
1534675466,14,25
1534677413,29,22
1534679301,32,38
1534681258,25,13
1534683149,12,19
1534685087,20,17
1534686979,22,17
1534688919,21,19
1534690885,29,27
1534692768,1729,21
1534694966,621,26
1534696819,20,17
1534698769,25,20
1534700666,20,18
1534702587,26,18
1534704770,33,33
1534706821,41,19
1534708879,26,16
1534710743,15,13
1534712666,19,17
1534714574,27,21
1534716513,21,20
1534718425,12,19
1534720339,20,18
1534723159,21,23
1534725177,12,27
1534727059,7,18
1534729033,24,16
1534730983,13,9
1534732853,11,19
1534734843,13,14
1534736721,22,26
1534738636,15,20
1534740531,27,17
1534742516,19,21
1534744389,29,11
1534746315,15,28
1534748247,54,12
1534750171,19,27
1534752101,20,21
1534754016,21,26
1534755897,37,32
1534757957,23,16
1534759794,32,25
1534761692,17,11
1534763589,17,24
1534765558,40,28
1534767419,28,21
1534769359,42,14
1534771258,20,13
1534773862,27,31
1534775775,20,23
1534777976,19,27
1534779871,18,1510
1534782076,22,11
1534783961,29,29
1534785880,1502,26
1534787797,25,18
1534789708,28,32
1534791713,21,33
1534793563,22,26
1534795473,21,21
1534797389,19,14
1534799319,13,17
1534801220,20,41
1534803147,7,15
1534805064,14,9
1534807001,18,18
1534808900,9,16
1534811879,34,18
1534813717,17,11
1534815619,14,22
1534817562,15,15
1534819466,39,16
1534821628,22,6
1534823582,31,29
1534825474,40,12
1534827378,23,29
1534829324,29,19
