DateTime,AddedIPs,RemovedIPs
1532817664,0,1
1532823425,0,1
1532839727,1,1
1532845461,2,1
1532849299,1,0
1532856987,1,0
1532862767,0,3
1532864662,0,8
1532868498,3,0
1532870456,2,0
1532878374,0,2
1532880269,0,1
1532886024,3,0
1532891789,0,2
1532899691,3,0
1532905739,1,0
1532917478,1,0
1532921548,1,0
1532925376,0,1
1532929220,1,0
1532931140,0,1
1532933079,0,1
1532934978,0,1
1532936921,1,0
1532944587,0,1
1532954194,0,1
1532956125,0,4
1532971729,0,3
1532977474,1,0
1532979405,1,0
1532985156,1,1
1532987103,0,2
1532992853,0,1
1532994775,4,0
1532996683,4,0
1533000522,1,0
1533002501,0,1
1533004364,1,0
1533008221,0,1
1533012030,1,0
1533015872,0,1
1533023598,0,1
1533027405,1,0
1533029316,1,0
1533033425,1,0
1533035331,1,0
1533049022,2,0
1533052774,3,0
1533054793,2,0
1533056927,2,0
1533062660,0,1
1533067166,0,1
1533069172,2,0
1533071075,0,1
1533081136,1,3
1533083076,2,4
1533084978,1,0
1533086798,1,1
1533092515,1,0
1533098335,0,1
1533100343,1,0
1533109816,1,0
1533113628,0,1
1533115487,0,1
1533119325,0,1
1533121350,0,1
1533128179,1,0
1533132032,1,0
1533133973,1,0
1533135872,0,2
1533139995,1,4
1533141869,0,2
1533143785,0,2
1533153401,0,1
1533155299,0,1
1533157306,0,1
1533161097,1,0
1533168301,0,3
1533172144,0,2
1533179808,0,1
1533185559,0,1
1533195170,0,1
1533197095,1,0
1533206669,2,0
1533210776,1,0
1533214838,1,1
1533218672,0,1
1533220578,3,1
1533224511,0,1
1533228748,1,0
1533230667,1,0
1533234764,3,0
1533248196,1,0
1533254186,1,0
1533256105,2,0
1533258049,1,0
1533261879,3,0
1533265743,1,0
1533271482,1,0
1533273398,1,0
1533277241,1,0
1533282994,0,2
1533284905,2,0
1533288774,1,0
1533292610,0,1
1533294529,1,1
1533296685,1,0
1533298594,0,1
1533300514,0,1
1533304345,1,0
1533306277,0,1
1533308187,0,2
1533314428,0,1
1533316350,0,1
1533318268,1,0
1533320178,1,1
1533322120,0,2
1533333783,0,1
1533339632,0,1
1533341545,0,1
1533343455,0,2
1533347555,2,2
1533351406,1,1
1533355254,1,0
1533359062,0,2
1533362920,0,1
1533364837,2,0
1533368701,1,0
1533370594,0,1
1533374422,1,0
1533376346,0,1
1533380245,0,1
1533384093,0,1
1533389787,0,1
1533393882,1,0
1533395794,1,0
1533397703,1,0
1533399634,1,0
1533403470,1,0
1533405380,0,1
1533407570,0,1
1533421123,0,1
1533427700,1,0
1533433699,0,2
1533437542,0,1
1533441375,0,1
1533443400,1,0
1533451063,0,1
1533452947,0,1
1533454970,0,2
1533461084,0,1
1533480511,0,1
1533482680,1,1
1533484591,0,1
1533486522,0,1
1533490363,0,1
1533505722,1,0
1533513426,0,1
1533530686,0,1
1533540296,1,0
1533542191,3,0
1533544126,1,0
1533546097,1,0
1533547969,1,0
1533553735,2,0
1533557598,1,0
1533561409,1,0
1533563320,1,0
1533569076,2,1
1533588043,1,0
1533591878,0,1
1533601532,1,0
1533611085,1,0
1533614940,4,0
1533616881,3,0
1533620731,1,0
1533627634,4,2
1533629569,0,3
1533631467,1,1
1533633389,1,0
1533635327,1,1
1533639163,0,2
1533645178,0,1
1533649003,0,1
1533650929,1,1
1533652825,1,0
1533656674,0,1
1533658608,1,0
1533670597,1,0
1533674439,2,1
1533688188,0,1
1533697946,0,1
1533701778,0,4
1533703702,0,3
1533707533,0,1
1533713297,0,3
1533715126,0,1
1533717145,0,1
1533718979,0,1
1533723185,0,1
1533736587,0,1
1533738511,0,2
1533742387,1,0
1533744289,0,1
1533756268,0,1
1533760101,2,0
1533762083,0,2
1533783151,1,0
1533790891,1,0
1533796615,1,0
1533806203,1,0
1533810041,2,0
1533813877,1,0
1533815780,1,0
1533827550,1,1
1533829481,2,0
1533831413,1,0
1533836069,3,0
1533837884,1,0
1533839784,1,0
1533845568,0,1
1533847465,1,1
1533849401,1,0
1533855168,1,0
1533861739,2,0
1533867388,1,0
1533869437,1,1
1533875067,1,0
1533877133,0,1
1533882976,2,1
1533888623,1,0
1533892447,0,1
1533894282,1,0
1533896250,0,2
1533900115,0,1
1533901950,0,1
1533907836,1,0
1533915529,1,3
1533917499,0,1
1533921314,0,1
1533923200,0,2
1533925003,0,2
1533935079,0,2
1533940825,0,1
1533950457,1,0
1533960184,1,0
1533969880,1,0
1533985244,2,9
1533987141,1,0
1533991224,1,0
1533993156,0,1
1533995064,1,0
1533997006,2,0
1534000732,0,1
1534008492,2,0
1534014275,1,0
1534020051,1,0
1534027708,1,0
1534036594,0,1
1534042898,2,0
1534046673,1,1
1534048603,1,0
1534056268,1,1
1534065868,1,0
1534071699,0,2
1534073555,2,1
1534079330,0,1
1534083160,1,2
1534085059,1,1
1534094892,0,2
1534098747,1,0
1534100660,0,1
1534106486,1,1
1534108349,1,0
1534112216,2,0
1534114107,0,1
1534119865,1,0
1534121798,1,0
1534123704,1,0
1534125773,1,0
1534127793,2,0
1534129960,1,1
1534131862,1,1
1534133800,1,0
1534135715,0,1
1534137649,1,0
1534139567,1,0
1534141460,1,0
1534143401,0,1
1534147285,4,0
1534151084,1,1
1534152982,1,0
1534154918,1,0
1534158745,0,1
1534161617,4,1
1534163542,2,0
1534165462,1,0
1534167376,2,0
1534169826,1,1
1534171711,1,1
1534181308,1,0
1534191094,1,0
1534193076,0,2
1534205670,0,1
1534207487,0,1
1534209389,0,1
1534213233,2,2
1534217074,0,1
1534219000,0,2
1534224773,0,1
1534226670,0,1
1534228578,0,1
1534234361,0,5
1534238201,0,2
1534242039,0,1
1534245878,0,1
1534247780,0,3
1534249948,0,2
1534251864,0,3
1534253809,1,2
1534255725,0,1
1534258007,0,1
1534259814,1,0
1534261699,1,1
1534269393,0,1
1534277237,0,1
1534279214,1,0
1534283075,1,0
1534284979,0,1
1534286931,1,0
1534300344,3,2
1534302273,1,0
1534304182,1,0
1534306133,1,0
1534309950,2,0
1534311880,1,0
1534325294,2,0
1534332978,1,0
1534338765,0,1
1534346430,0,1
1534348576,1,1
1534366097,1,1
1534370684,1,1
1534372574,1,1
1534374771,2,0
1534376836,1,0
1534378938,1,0
1534384513,1,0
1534386742,0,3
1534388693,0,1
1534390577,1,0
1534392527,1,1
1534396362,0,2
1534398256,0,1
1534411721,1,2
1534415560,2,0
1534419406,0,1
1534421329,1,0
1534423220,1,0
1534434775,0,1
1534442498,1,0
1534452013,3,1
1534455854,2,0
1534457786,1,1
1534459712,0,3
1534461556,0,2
1534465718,0,1
1534471491,0,1
1534477493,0,1
1534479391,0,1
1534491174,1,0
1534498837,0,1
1534500774,1,1
1534502678,1,1
1534504615,1,0
1534506508,0,1
1534508434,1,0
1534537948,0,2
1534542043,0,2
1534543947,1,4
1534547780,1,0
1534561507,1,0
1534577340,0,1
1534586934,0,1
1534588859,0,1
1534590775,0,1
1534594594,0,1
1534621460,1,0
1534623268,1,0
1534630980,0,1
1534632979,1,0
1534634861,0,1
1534644763,1,0
1534648590,0,1
1534671629,1,0
1534673570,1,0
1534675466,1,0
