DateTime,AddedIPs,RemovedIPs
1519292188,0,38
1519314041,0,30
1519335893,2,0
1519380288,1,1
1519402145,0,2
1519424197,1,6
1519446264,0,2
1519468342,0,1
1519490440,0,1
1519513386,0,3
1519535323,0,3
1519557402,0,3253
1519579468,1,0
1519601549,0,3
1519623522,0,1
1519667673,0,16
1519689765,18,12
1519711821,37,9
1519734048,51,9
1519756557,34,4
1519778441,4,0
1519800770,1,0
1519822880,4,0
1519844917,1,0
1519867042,3,0
1519889077,1,0
1519911161,0,1
1519933481,2,1
1519955800,1,1
1519988666,1,1
1520032607,1,0
1520054669,2,0
1520076754,2,0
1520120920,1,0
1520142787,1,0
1520197999,0,1
1520220073,1,0
1520242359,3,0
1520264429,7,0
1520286284,4,0
1520308173,2,44
1520330193,2,46
1520352082,14,56
1520373979,0,2
1520395951,0,3
1520417825,1,4
1520439856,3,0
1520461958,0,2
1520484025,4,3
1520505870,1,0
1520527721,1,1
1520549803,0,1
1520571898,0,2
1520616279,1,0
1520638491,1,2
1520660429,3,2
1520682314,1,2
1520704347,1,0
1520726576,11,2
1520748518,15,1
1520770608,5,0
1520815080,1,1
1520837070,0,1
1520859081,0,3
1520881274,0,6
1520903236,0,2
1520925161,0,3
1520947238,6,12
1520969550,18,4
1520991623,0,1
1521013466,0,1
1521035545,0,3
1521057394,18,0
1521079320,1,3
1521101675,1,3
1521123876,2,0
1521145939,0,1
1521223463,3,1
1521245689,2,1
1521267869,3,3
1521289966,4,1
1521312018,1,1
1521333863,2,12
1521355706,0,13
1521377580,2,3
1521399681,2,0
1521421727,0,1
1521465878,3,0
1521531626,1,0
1521553478,2,10
1521575472,10,16
1521597377,1,0
1521619469,4,0
1521641659,5,0
1521663638,4,3
1521685719,4,1
1521707805,1,1
1521729876,2,2
1521751961,5,0
1521774274,1,0
1521796360,1,0
1521818429,6,1
1521840507,1,3
1521862473,4,2
1521884427,0,2
1521906278,1,2
1521928327,0,3
1521950248,2,0
1521972256,0,1
1521994416,2,2
1522038751,2,0
1522060822,5,2
1522082681,2,0
1522104533,8,21
1522126993,2,0
1522149165,1,2
1522171209,3,4
1522193077,2,3
1522215495,1,2
1522237827,2,6
1522282527,0,51
1522304437,0,1
1522392771,0,1
1522414947,0,1
1522437149,0,1
1522658195,0,4
1522680276,0,1
1522702349,0,2
1522724191,0,2
1522768355,0,1
1522790442,0,2
1522812602,0,2
1522834610,0,1
1523382525,1,0
1524046844,1,0
1524113575,0,0
1524357161,0,1
1524621795,0,1
1524671700,1,0
1525267250,0,1
1525505316,1,0
1525571556,1,0
1526013423,0,2
1526332113,57,0
1526376273,2,0
1526398129,5,0
1526420446,3,1
1526442508,4,1
1526464356,3,3
1526486307,3,0
1526508540,2,0
1526530587,1,1
1526552674,4,0
1526574530,9,0
1526596580,5,0
1526618673,3,3
1526640755,2,0
1526662596,2,6
1526684508,6,9
1526706634,4,0
1526728607,2,5
1526750694,0,1
1526772616,1,0
1526816684,1,1
1526860926,1,8
1526882943,4,2
1526904985,2,3
1526926983,4,2
1526948947,4,1
1526971006,3,1
1526992875,1,3
1527015169,0,2
1527037010,2,5
1527059104,0,7
1527081160,4,0
1527103230,0,2
1527125092,0,2
1527147137,0,3
1527169198,2,7
1527191080,0,6
1527212922,0,3
1527234982,3,1
1527257030,2,4
1527278915,4,7
1527300911,2,3
1527322903,0,1
1527344848,1,3
1527389519,16,3
1527411388,2,1
1527433316,0,2
1527455327,2,4
1527477379,3,2
1527499254,0,1
1527521297,0,3
1527543157,1,2
1527587071,2,1
1527608912,1,1
1527630990,1,7
1527674902,4,4
1527696786,1,1
1527718825,2,0
1527762748,4,1
1527784630,6,1
1527806565,1,0
1527828500,0,2
1527850599,0,4
1527873091,2,5
1527895004,1,1
1527918684,0,0
1527941464,1,0
1527985447,2,2
1528007366,0,1
1528029371,1,1
1528051230,1,19
1528073070,0,2
1528095137,11,1
1528117286,3,0
1528139294,1,1
1528161160,1,0
1528183211,1,1
1528205059,1,1
1528227167,2,0
1528249218,1,0
1528271069,0,1
1528293147,2,2
1528320504,8,0
1528342592,4,0
1528364694,2,3
1528386730,0,6
1528408586,0,2
1528430512,2,0
1528452491,6,5
1528474365,3,2
1528496440,0,1
1528518490,1,0
1528540356,1,1
1528562423,1,1
1528584401,1,1
1528628217,2,1
1528650526,1,1
1528694437,0,1
1528716513,0,2
1528738371,0,1
1528760429,0,12
1528782287,3,1
1528804348,0,1
1528826492,2,1
1528848537,1,1
1528870572,2,0
1528914498,7,1
1528936358,10,6
1528958427,6,5
1528980275,5,0
1529002348,1,0
1529024501,0,2
1529046519,1,1
1529068827,3,3
1529091782,0,1
1529113701,13,0
1529135782,10,0
1529157698,11,0
1529179720,4,1
1529201770,15,0
1529223639,5,0
1529245706,8,2
1529267555,8,0
1529289611,1,0
1529311458,1,0
1529333538,2,11
1529377469,1,1
1529399666,1,0
1529443700,0,1
1529509464,0,1
1529531535,1,8
1529553379,2,1
1529575486,1,7
1529619642,2,1
1529663543,1,1
1529685637,0,2
1529707846,4,9
1529729772,0,8
1529751692,0,11
1529773726,1,11
1529795791,0,15
1529817638,2,10
1529839707,0,18
1529861550,3,5
1529883395,4,8
1529905236,0,3
1529927301,0,2
1529949158,7,0
1529971328,1,0
1529993311,0,1
1530015384,2,1
1530037235,2,0
1530059298,1,0
1530103398,4,0
1530147383,0,3
1530191559,0,1
1530213622,3,1
1530235619,1,1
1530279634,0,1
1530301503,0,1
1530323598,1,3
1530367704,0,1
1530411642,0,1
1530433692,0,1
1530455541,2,0
1530477392,22,6
1530499482,7,0
1530543702,2,0
1530565815,2,5
1530587788,1,0
1530609859,1,2
1530631707,1,3
1530676111,1,1
1530720280,0,4
1530742348,0,1
1530786281,1,0
1530808340,3,0
1530830191,1,2
1530852271,2,1
1530874122,5,0
1530896328,0,1
1530918264,1,0
1530940121,1,1
1530962199,5,0
1530984047,1,0
1531006105,1,0
1531028207,1,0
1531050251,1,0
1531072481,0,12
1531094524,0,19
1531116765,1,0
1531139087,1,1
1531182980,0,3
1531204825,0,1
1531226679,1,0
1531248757,1,0
1531314990,2,0
1531336830,2,0
1531402818,4,1
1531424724,0,2
1531446742,0,3
1531468905,0,1
1531491168,0,4
1531535352,296736,0
1531557425,1,0
1531579337,2,0
1531667902,2,0
1531712465,1,0
1531822980,1,0
1531845195,0,1
1531867161,0,295965
1531889096,12,27
1531911154,28,44
1531933233,15,23
1531955313,5,32
1531977428,11,31
1531999713,26,49
1532021796,10,34
1532043904,27,24
1532065951,9,23
1532088080,17,36
1532110138,14,25
1532131983,7,29
1532154033,15,19
1532175897,23,22
1532198055,11,16
1532220294,7,12
1532242330,13,9
1532264490,24,15
1532286577,15,15
1532308501,11,8
1532330432,9,23
1532352275,15,34
1532374356,12,20
1532396417,6,7
1532418280,17,20
1532440127,24,30
1532462189,16,19
1532484290,6,15
1532506348,17,20
1532528440,7,21
1532550489,14,14
1532572495,8,9
1532594418,23,26
1532616588,20,14
1532638446,7,11
1532660462,8,19
1532682757,25,20
1532704608,10,22
1532726693,355,9
1532748752,11,2
1532770846,18,33
1532792692,22,15
1532814787,11,7
1532836839,8,3
1532858932,24,16
1532880980,22,15
1532902835,18,16
1532925164,16,5
1532947349,18,14
1532969293,17,15
1532991393,8,9
1533013544,14,2
1533035531,13,32
1533057379,22,13
1533079222,14,10
1533101065,14,4
1533124329,18,12
1533146178,26,5
1533168310,11,11
1533190347,15,12
1533212200,9,12
1533234294,16,10
1533256342,14,7
1533278188,17,21
1533300256,24,3
1533322121,32,17
1533343965,15,392
1533366273,11,7
1533388661,11,11
1533410658,14,15
1533432512,6,6
1533454971,10,14
1533476914,19,18
1533498976,17,12
1533521098,3,11
1533543143,10,16
1533565249,19,23
1533587330,25,10
1533609222,7,9
1533631468,19,19
1533653529,15,11
1533675377,3,14
1533697292,5,11
1533719324,13,13
1533741379,16,29
1533763463,2,18
1533785541,4,8
1533807637,17,20
1533829483,12,6
1533851529,9,6
1533873404,2,11
1533895454,12,29
1533917500,22,15
1533939376,3,31
1533961227,9,6
1533983078,20,17
1534005158,10,15
1534027224,13,7
1534049069,6,5
1534071161,18,15
1534093258,13,17
1534115540,9,6
1534137651,6,6
1534159713,17,15
1534181806,19,18
1534203788,5,11
1534225848,6,10
