DateTime,AddedIPs,RemovedIPs
1512452478,1,0
1512805318,0,1
1512915692,0,1
1512937970,1,0
1512959818,0,1
1513048160,0,1
1513092280,1,0
1513257634,1,0
1513543962,0,1
1513588158,1,0
1513697881,0,1
1513764103,1,0
1513874666,0,1
1513897353,1,0
1513941422,1,0
1514095972,1,0
1514183898,0,1
1514271885,1,0
1514491960,0,1
1514623961,1,0
1514668039,2,0
1514756238,1,0
1514866375,0,1
1515266665,0,1
1515310368,0,1
1515332446,0,1
1515354530,0,1
1515376604,1,0
1515531535,0,1
1515597852,0,1
1515752084,1,0
1515929115,1,1
1515973757,1,1
1516039910,1,0
1516061822,1,0
1516281958,1,0
1516558383,0,1
1516602321,0,1
1516624363,1,0
1516646416,0,1
1516668267,0,1
1516734083,1,0
1516800281,1,0
1516888140,0,1
1517219082,0,1
1517340523,0,1
1517362605,1,0
1517683013,0,1
1517727170,0,1
1517936681,0,1
1518139706,1,0
1518294277,1,0
1518427010,1,0
1518471105,2,0
1518493243,2,0
1518627166,1,0
1518759621,0,1
1518891381,0,1
1519068044,0,1
1519111948,0,2
1519134032,0,1
1519178188,0,1
1519244924,0,1
1519355072,1,0
1519807035,1,0
1519972331,1,1
1520414666,0,1
1520546480,0,1
1520780907,1,0
1520913704,1,0
1521112119,2,0
1521178361,1,0
1521399278,1,0
1521509775,0,1
1521531627,1,0
1521553479,1,0
1521707807,0,1
1521729878,0,1
1521796361,0,1
1522016680,0,1
1522038752,1,0
1522060823,1,0
1522126994,1,1
1522149166,0,1
1522171210,1,0
1522282529,1,0
1522503404,0,1
1522680277,0,1
1522702350,0,1
1522724193,0,1
1522768356,0,1
1522812605,0,1
1523750682,1,0
1524115967,0,0
1524226118,1,0
1524402045,1,0
1524490351,1,0
1524689002,1,0
1524733020,0,1
1524931003,1,0
1524997226,0,1
1525086040,0,1
1525394206,1,0
1525526433,0,1
1525592223,1,0
1525879149,0,1
1526022259,0,3
1526423308,1,0
1526511731,2,0
1526533965,1,0
1526821289,1,0
1526843565,2,0
1526998139,1,0
1527042283,1,0
1527108584,0,1
1527130671,0,2
1527174992,1,0
1527285652,0,0
1527308455,0,0
1527331055,0,0
1527354290,1,0
1527377267,0,0
1527400190,0,0
1527422220,0,1
1527444286,0,1
1527532361,1,0
1527598353,0,1
1527752656,1,0
1527774502,0,1
1527840098,0,1
1527862127,0,1
1527906498,0,1
1527951398,1,1
1527973854,0,0
1527996228,1,0
1528062036,1,0
1528106170,1,0
1528150347,0,1
1528172435,1,0
1528282599,1,0
1528304483,0,0
1528326787,0,0
1528348822,0,1
1528392752,1,0
1528480609,1,0
1528546602,0,1
1528612884,0,1
1528657101,0,1
1528722979,0,1
1528766903,1,0
1528788756,0,1
1528898668,0,1
1528986756,0,1
1529074902,0,1
1529338593,0,1
1529985855,1,0
1530415460,1,0
1530503301,1,0
1530855407,1,0
1530877560,1,1
1531032017,0,1
1531097898,0,1
1531230050,1,0
1531461162,0,1
1531494285,0,1
1531516359,6912,0
1531538243,80,1
1531848115,2,0
1531870491,0,6930
1531892451,0,4
1531914499,0,4
1531936348,2,2
1531958492,3,1
1531980510,0,1
1532002612,0,6
1532024654,0,8
1532046526,1,3
1532068578,0,4
1532090466,1,7
1532112495,1,3
1532134355,1,2
1532156472,1,1
1532222682,0,2
1532244784,0,3
1532310795,1,0
1532332879,0,1
1532355162,0,2
1532421617,0,1
1532443702,1,0
1532465580,3,2
1532487705,4,0
1532509704,2,0
1532553870,0,3
1532575725,0,1
1532597793,0,1
1532663786,2,1
1532685640,2,1
1532729558,1,0
1532751652,0,1
1532795548,1,0
1532817667,2,0
1532839729,8,0
1532883637,1,1
1532905742,0,1
1532949618,0,1
1532971470,0,1
1532993315,0,2
1533059307,1,3
1533081374,0,1
1533103474,0,2
1533125367,0,2
1533147646,1,0
1533169704,1,0
1533235958,1,0
1533258051,1,0
1533280279,0,4
1533302185,1,0
1533324030,0,1
1533346246,0,1
1533368178,0,1
1533412362,0,3
1533434457,0,7
1533456756,0,1
1533478600,0,3
1533544617,2,0
1533566724,1,0
1533621858,1,0
1533644058,1,0
1533666030,0,1
1533732521,1,0
1533755458,0,1
1533777406,2,0
1533843850,0,1
1533865975,0,1
1533888028,0,1
1533910112,0,1
1533932202,1,0
1533976347,0,1
1534130671,0,0
1534152750,0,1
1534219002,0,1
1534241122,0,2
1534263145,1,0
1534329172,1,0
1534351466,2,1
1534373322,0,2
1534549620,1,0
1534571546,0,1
1534593686,1,0
1534659643,1,0
1534703895,0,1
1534725875,1,0
1534747930,1,0
1534813721,1,0
1534835568,1,0
1534879943,2,0
1534902038,1,0
1534924103,2,1
1534945947,0,2
1534968034,1,0
1534989891,1,0
1535011946,1,0
1535034021,4,0
1535055871,1,0
1535077977,3,0
1535100026,2,0
