DateTime,AddedIPs,RemovedIPs
1534131867,20,5
1534133803,1,2
1534135718,4,2
1534137653,3,0
1534139570,3,3
1534141463,1,1
1534143405,7,2
1534145303,5,2
1534147288,2,3
1534149168,1,1
1534151086,2,1
1534152985,2,3
1534154922,6,4
1534156833,4,21
1534158748,2,2
1534161620,5,5
1534163545,4,3
1534165465,2,3
1534167383,3,13
1534169829,4,13
1534171714,11,4
1534173635,1,6
1534175556,4,2
1534177476,9,3
1534179405,7,18
1534181311,3,2
1534183295,6,8
1534185176,2,5
1534187086,6,2
1534189010,7,1
1534191097,6,3
1534193078,5,9
1534194980,3,2
1534197158,0,6
1534199065,5,4
1534201010,4,6
1534203790,5,8
1534205673,2,7
1534207489,5,1
1534209392,1,4
1534211325,1,6
1534213238,2,4
1534215175,2,2
1534217076,1,2
1534219003,4,21
1534220905,4,1
1534222903,1,7
1534224776,7,2
1534226673,2,3
1534228581,3,0
1534230552,3,5
1534232431,2,7
1534234363,6,1
1534236262,5,3
1534238204,6,4
1534240101,3,6
1534242043,8,2
1534243944,7,3
1534245881,5,4
1534247784,2,4
1534249950,4,7
1534251866,4,3
1534253813,0,1
1534255727,3,3
1534258009,4,10
1534259817,3,1
1534261701,6,5
1534263645,6,6
1534265551,2,3
1534267462,4,4
1534269395,3,3
1534271295,5,5
1534273294,6,4
1534275163,8,9
1534277240,7,3
1534279216,6,4
1534281140,12,2
1534283077,4,2
1534284981,2,1
1534286934,2,5
1534288832,2,5
1534290734,0,3
1534292768,2,3
1534294603,1,5
1534296498,9,1
1534298518,5,4
1534300346,4,1
1534302275,2,6
1534304184,2,2
1534306136,7,3
1534308039,4,3
1534309953,3,4
1534311882,4,6
1534313800,1,3
1534315700,4,3
1534317635,3,2
1534319553,2,4
1534321467,16,4
1534323396,2,3
1534325297,2,6
1534327298,6,3
1534329173,3,4
1534331063,6,7
1534332981,3,1
1534334937,5,5
1534336821,0,3
1534338767,3,3
1534340660,2,2
1534342582,9,4
1534344522,4,3
1534346433,9,4
1534348578,4,6
1534350499,6,4
1534352493,1,3
1534354343,6,5
1534356265,4,5
1534358437,6,5
1534360352,2,5
1534362273,6,13
1534364190,2,3
1534366100,1,8
1534368624,5,7
1534370687,9,4
1534372582,4,1
1534374773,4,1
1534376838,2,2
1534378940,7,2
1534380764,0,1
1534382683,3,8
1534384516,10,3
1534386745,4,5
1534388697,1,2
1534390580,3,1
1534392529,2,4
1534394434,2,5
1534396365,4,2
1534398258,2,3
1534400212,2,4
1534402108,0,5
1534404025,1,2
1534405959,1,3
1534407880,1,17
1534409781,3,5
1534411723,5,2
1534413689,5,4
1534415563,1,9
1534417477,9,6
1534419408,8,4
1534421331,2,6
1534423223,4,0
1534425159,6,3
1534427072,10,3
1534429006,5,10
1534430915,6,4
1534432831,2,7
1534434778,4,2
1534436666,8,6
1534438520,4,1
1534440496,2,7
1534442502,9,4
1534444342,6,2
1534446165,413,3
1534448173,3,8
1534450021,1,2
1534452015,1,1
1534453857,2,3
1534455857,4,6
1534457789,11,9
1534459715,5,6
1534461560,5,2
1534463594,4,5
1534465720,4,6
1534467706,4,4
1534469557,1,10
1534471495,0,4
1534473421,7,2
1534475338,3,1
1534477496,4,4
1534479394,5,3
1534481579,7,2
1534483473,2,4
1534485398,2,2
1534487317,8,1
1534489314,6,2
1534491178,3,1
1534493103,1,2
1534494994,4,2
1534496929,4,3
1534498841,0,3
1534500777,4,4
1534502685,2,2
1534504618,7,10
1534506511,4,3
1534508441,0,3
1534510377,11,6
1534512291,2,8
1534514232,7,1
1534516127,9,4
1534518109,4,2
1534520196,4,2
1534522320,9,7
1534524260,7,6
1534526216,1,1
1534528102,4,7
1534530276,4,9
1534532319,3,414
1534534122,8,5
1534536103,8,3
1534537951,16,1
1534540077,10,3
1534542046,1,4
1534543950,7,10
1534545860,2,7
1534547782,4,2
1534549621,1,5
1534551642,6,2
1534553566,4,1
1534555469,5,3
1534557384,6,1
1534559564,4,7
1534561510,3,2
1534563400,2,2
1534565430,4,1
1534567235,4,3
1534569339,3,2
1534571315,8,7
1534573509,10,10
1534575391,1,2
1534577342,4,6
1534579298,3,1
1534581174,3,3
1534583114,4,3
1534585014,5,1
1534586937,2,5
1534588867,2,4
1534590778,3,6
1534592700,6,2
1534594597,6,3
1534596526,4,13
1534598452,4,4
1534600371,8,7
1534602272,9,9
1534604221,11,5
1534606120,3,4
1534608096,6,4
1534609959,7,9
1534611907,3,5
1534613798,6,3
1534615720,3,5
1534617652,6,2
1534619453,7,3
1534621463,5,10
1534623271,4,10
1534625329,4,16
1534627219,8,5
1534629141,7,1
1534630982,2,6
1534632982,6,5
1534634863,5,3
1534636887,2,6
1534638737,4,6
1534640934,5,5
1534642934,4,7
1534644765,11,4
1534646673,6,3
1534648592,2,3
1534650531,6,2
1534652441,4,6
1534654365,7,5
1534656290,0,2
1534658201,2,6
1534660145,4,9
1534662099,0,3
1534663948,3,6
1534665896,3,3
1534667795,5,4
1534669730,1,5
1534671632,3,6
1534673572,5,1
1534675469,5,3
1534677416,8,4
1534679303,8,7
1534681261,6,4
1534683152,1,4
1534685090,6,3
1534686982,4,10
1534688922,2,5
1534690890,8,13
1534692771,4,6
1534694969,3,7
1534696821,7,5
1534698772,3,2
1534700669,2,6
1534702590,7,2
1534704773,10,11
1534706824,11,5
1534708884,3,3
1534710746,2,1
1534712669,1,6
1534714583,2,11
1534716520,5,3
1534718428,2,4
1534720342,9,6
1534723162,7,3
1534725180,5,4
1534727069,2,6
1534729036,8,4
1534730986,2,2
1534732856,5,4
1534734846,3,5
1534736724,1,7
1534738639,7,3
1534740534,8,7
1534742519,1,2
1534744392,6,2
1534746318,2,4
1534748250,6,0
1534750180,5,3
1534752104,4,2
1534754018,2,5
1534755900,28,3
1534757960,5,1
1534759797,4,5
1534761696,0,4
1534763597,1,6
1534765564,12,5
1534767429,6,7
1534769362,20,1
1534771261,4,8
1534773865,3,5
1534775778,2,5
1534777979,1,5
1534779879,2,4
1534782079,7,0
1534783964,6,6
1534785883,6,1
1534787800,5,3
1534789711,7,14
1534791718,13,2
