DateTime,AddedIPs,RemovedIPs
1531351949,1,1
1531353882,0,1
1531355795,1,1
1531357728,0,1
1531361564,1,0
1531392304,0,1
1531396116,0,5
1531411508,0,1
1531421056,1,1
1531425167,1,0
1531434409,0,1
1531436556,1,0
1531438599,0,1
1531440514,1,0
1531442462,0,1
1531448180,0,1
1531459012,1,0
1531482279,1,0
1531484188,1,0
1531497710,1,0
1531507520,0,1
1531511535,0,1
1531513455,0,1
1531520524,5810,0
1531538259,1,0
1531582391,1,0
1531584435,2,0
1531588636,1,0
1531610290,1,0
1531650379,1,0
1531667920,2,0
1531702446,1,0
1531714860,1,0
1531726656,1,0
1531783574,2,0
1531792439,1,0
1531798258,1,0
1531807077,1,0
1531817110,1,0
1531848125,1,0
1531861823,0,1
1531865576,1,5826
1531869390,0,2
1531878981,1,1
1531884770,1,1
1531886666,0,1
1531892452,0,1
1531896281,1,0
1531900114,1,0
1531902048,0,1
1531913586,2,0
1531917385,1,0
1531921222,0,1
1531934705,0,1
1531936699,1,0
1531952185,0,1
1531954128,1,0
1531961803,1,0
1531965703,1,1
1531967595,1,0
1531971398,0,1
1531983348,0,1
1531987292,1,1
1531996878,1,0
1532000698,0,2
1532002613,1,0
1532004535,0,1
1532012196,1,0
1532016102,1,0
1532023822,0,1
1532037416,1,0
1532039335,0,1
1532045355,1,0
1532047248,1,1
1532051337,0,1
1532059017,1,0
1532063099,4,0
1532066946,0,1
1532068829,1,0
1532084207,0,1
1532088106,1,0
1532089967,1,1
1532099571,0,1
1532113008,2,0
1532116894,1,0
1532118772,1,0
1532122668,0,1
1532132436,0,1
1532134356,1,0
1532142283,1,0
1532144248,2,0
1532154036,0,1
1532175467,0,8
1532177316,0,1
1532184990,1,0
1532194646,1,0
1532198482,0,1
1532200611,0,1
1532202749,0,1
1532204663,0,1
1532218375,3,0
1532220297,0,1
1532229866,0,1
1532231807,0,1
1532255454,1,0
1532270928,0,1
1532280753,0,1
1532290401,1,0
1532304081,0,1
1532305967,1,0
1532341435,0,1
1532376696,0,1
1532381783,0,1
1532389720,2,0
1532391646,0,1
1532393613,0,1
1532401306,1,0
1532424750,1,0
1532448104,1,0
1532457626,1,0
1532463623,1,0
1532469406,1,0
1532475162,0,2
1532477107,1,0
1532486751,2,1
1532509963,0,1
1532517628,1,0
1532521470,1,0
1532527314,1,0
1532529173,0,1
1532541164,0,2
1532548900,1,0
1532550810,0,1
1532552684,1,0
1532556530,0,1
1532562311,0,2
1532564202,1,0
1532570001,1,0
1532571914,1,1
