DateTime,Entries,UniqueIPs
1512342245,1,1
1512386221,2,2
1512408283,3,3
1512717400,4,4
1512739387,5,5
1513003960,4,4
1513026260,3,3
1513180122,2,2
1513202209,3,3
1513323628,2,2
1513345725,1,1
1513610009,2,2
1513808635,1,1
1513830524,2,2
1514448093,1,1
1514469952,2,2
1514491961,1,1
1514712103,2,2
1514888469,3,3
1515133548,2,2
1515310370,1,1
1515486944,0,0
1515619482,1,1
1515752086,2,2
1515951365,3,3
1515973759,4,4
1516039912,5,5
1516061824,6,6
1516237783,5,5
1516370485,4,4
1516624365,5,5
1516668269,4,4
1516822336,3,3
1516888145,2,2
1517130984,3,3
1517175317,4,4
1517241166,4,4
1517307397,5,5
1517571651,6,6
1517924189,5,5
1518012685,4,4
1518167090,3,3
1518256158,2,2
1518410714,1,1
1519159721,0,0
1520705076,1,1
1521300982,0,0
1521649348,1,1
1522223628,0,0
1526332116,5,5
1526618676,6,6
1526640758,5,5
1526662599,4,4
1526750697,3,3
1526882947,2,2
1526992882,2,2
1527059111,3,3
1527125094,4,4
1527234986,3,3
1527257035,4,4
1527278918,4,4
1527278918,4,4
1527278918,4,4
1527278918,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527300917,4,4
1527322908,4,4
1527322908,4,4
1527322908,4,4
1527322908,4,4
1527322908,4,4
1527322908,4,4
1527322908,4,4
1527322908,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527344852,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527366761,4,4
1527389634,4,4
1527389634,4,4
1527389634,4,4
1527389634,4,4
1527389634,4,4
1527389634,4,4
1527389634,4,4
1527389634,4,4
1527389634,4,4
1527389634,4,4
1527411701,5,5
1527587813,4,4
1527853471,3,3
1527897166,3,3
1527897166,3,3
1527897166,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527921145,3,3
1527943801,3,3
