DateTime,AddedIPs,RemovedIPs
1512401316,0,3
1512480036,6,0
1512577003,5,3
1512663641,1,5
1512748135,0,4
1512933430,1,0
1513017417,0,1
1513087971,10,0
1513171739,0,10
1513190668,1,0
1513276618,0,1
1513353343,3,0
1513438379,0,3
1513550431,9,0
1513635513,0,9
1513679495,11,0
1513986995,1,10
1513988939,2,0
1514043396,2,0
1514074151,0,2
1514076062,0,2
1514129400,0,2
1514151165,5,0
1514238439,10,3
1514323047,0,1
1514339120,6,9
1514395990,4,0
1514425494,0,6
1514479666,0,6
1514503093,4,0
1514589997,5,2
1514644848,6,0
1514675814,0,3
1514729353,0,10
1514831700,9,0
1514896376,5,0
1514919184,0,7
1514979642,0,7
1515010803,5,0
1515133548,6,4
1515166614,0,1
1515185502,1,4
1515249610,5,0
1515335007,0,8
1515364870,4,0
1515450493,0,4
1515453406,8,0
1515539321,0,8
1515619482,5,0
1515663885,1,0
1515707571,0,5
1515749082,0,1
1515779783,14,0
1515781735,1,0
1515865963,0,15
1515876755,1,0
1515879112,3,0
1515962129,0,4
1516038273,4,0
1516040212,6,0
1516123472,0,10
1516143731,2,0
1516145821,3,0
1516199676,11,0
1516231713,0,1
1516233558,0,1
1516284838,0,14
1516312427,14,0
1516398034,1,0
1516399933,1,14
1516483974,0,1
1516488992,5,1
1516491273,6,0
1516574224,0,11
1516614532,2,0
1516648593,9,0
1516700699,0,2
1516730764,0,9
1516741277,6,0
1516826428,0,6
1516838692,4,0
1516886678,3,0
1516910211,6,0
1516925543,0,4
1516974288,0,2
1516993960,0,7
1516999466,8,0
1517049412,7,0
1517086687,0,5
1517134519,0,10
1517184173,5,0
1517268723,0,5
1517321551,2,0
1517323470,4,0
1517407753,0,6
1517486735,5,0
1517571651,0,5
1517666663,5,0
1517752888,0,1
1517833001,9,4
1517916958,0,9
1517926826,5,0
1518010104,0,5
1518088835,3,0
1518173085,0,3
1518176196,5,0
1518178136,4,0
1518261869,0,9
1518515722,6,0
1518601742,0,6
1518636999,3,0
1518638941,1,0
1518723277,0,4
1518796430,7,0
1518879877,0,7
1518923814,6,0
1518925943,1,0
1518999786,9,0
1519011649,0,7
1519080533,6,0
1519084366,0,7
1519163563,4,0
1519165550,0,6
1519245638,5,0
1519249717,0,5
1519329868,0,6
1519414106,4,0
1519416065,3,0
1519500454,0,1
1519518741,2,6
1519520846,2,0
1519604139,0,4
1519704691,9,0
1519790484,0,9
1519825707,9,0
1519910675,0,9
1520033102,4,0
1520081424,3,0
1520120583,0,4
1520165091,0,3
1520211864,2,0
1520267801,2,0
1520269724,4,0
1520299947,0,2
1520348487,2,0
1520350412,2,0
1520354469,0,6
1520433629,0,2
1520490746,5,2
1520576205,0,5
1520702173,11,0
1520787957,0,11
1520803375,4,0
1520887868,0,4
1520988985,4,0
1520990891,2,0
1521074865,0,6
1521087186,5,0
1521172646,0,5
1521239062,4,0
1521241910,1,0
1521325011,0,5
1521491328,6,0
1521562819,7,0
1521578181,0,5
1521703000,1,8
1521716927,4,0
1521789237,0,1
1521799845,0,4
1521923448,13,0
1522008772,0,13
1522017910,9,0
1522092277,4,0
1522104537,0,7
1522175794,0,6
1522187060,9,0
1523307100,0,9
1523395259,12,0
1523448760,2,0
1523460279,3,0
1523483316,0,3
1523534918,0,11
1523544520,0,3
1523568271,6,0
1523651566,2,0
1523659190,0,1
1523724753,6,0
1523736283,0,3
1523908844,4,5
1523995721,0,9
1524090037,5,0
1524123326,0,0
1524154613,8,0
1524238613,0,13
1524243623,10,0
1524305819,3,0
1524331464,0,7
1524390513,0,6
1524514370,8,0
1524518327,4,0
1524591649,3,0
1524601269,0,8
1524673740,0,7
1524754946,4,0
1524758750,11,0
1524842594,0,5
1524844850,0,10
1524964606,4,0
1524968457,6,0
1525051716,0,10
1525118919,2,0
1525122992,14,0
1525204600,0,16
1525271425,7,0
1525357263,0,7
1525462621,10,0
1525550676,0,10
1525586197,1,0
1525590057,1,0
1525671427,0,2
1525811335,6,0
1525815177,8,0
1525868020,5,0
1525899399,0,8
1525953594,0,11
1525992866,2,0
1525996762,6,0
1526032255,0,8
1526341709,5,0
1526343630,3,0
1526387105,5,0
1526429576,0,3
1526471812,0,10
1526606201,1,0
1526691133,0,1
1526828912,16,0
1526913868,0,16
1527067734,11,0
1527153875,0,3
1527306921,6,7
1527309828,0,0
1527312688,0,0
1527315473,0,0
1527317570,0,0
1527319690,0,0
1527321958,0,0
1527324169,0,0
1527326530,0,0
1527335899,0,0
1527338228,0,0
1527340395,0,0
1527342562,0,0
1527344852,0,0
1527347873,0,0
1527350725,0,0
1527352746,10,0
1527355513,0,0
1527358191,0,0
1527361561,0,0
1527364316,0,0
1527369513,0,0
1527372660,0,0
1527375547,0,0
1527378890,0,0
1527381333,0,0
1527383951,0,0
1527386926,0,0
1527389635,0,0
1527391944,0,0
1527393932,0,4
1527396097,0,0
1527398020,0,0
1527400194,0,0
1527436604,0,13
1527532361,1,0
1527534261,2,0
1527595006,9,0
1527618979,0,1
1527678498,0,11
1527809488,6,0
1527876982,3,0
1527896172,0,5
1527914423,0,0
1527916448,0,0
1527918689,0,0
1527921145,0,0
1527923335,0,0
1527926037,0,0
1527928528,0,0
1527930872,0,0
1527933083,0,0
1527935225,0,0
1527937881,0,0
1527940243,0,0
1527942654,0,0
1527944978,0,0
1527947220,0,0
1527949078,0,0
1527951401,0,0
1527953731,0,0
1527956417,0,0
1527958705,0,0
1527961206,0,0
