DateTime,AddedIPs,RemovedIPs
1513039969,1,0
1513999007,0,1
1514609750,1,0
1515176749,1,0
1515526277,1,0
1515613421,0,1
1517183570,0,1
1518055310,1,0
1518491322,1,0
1518840293,0,2
1520671233,0,1
1520758370,3,0
1523201078,0,1
1523288178,0,1
1526353314,1,2
1527225422,0,0
1527312701,0,0
1527400196,0,0
1527836206,0,0
1527923338,0,0
1528271780,0,0
1528620276,1,0
1529230118,0,1
1531539214,9191,0
1531888098,0,8193
1531975505,0,15
1532062622,2,7
1532149736,1,7
1532237185,2,9
1532324200,4,6
1532411300,1,8
1532498501,3,10
1532585812,5,9
1532672911,4,9
1532760270,3,10
1532847420,2,14
1532934774,6,126
1533022120,4,9
1533109224,2,15
1533196590,5,10
1533284067,4,12
1533371291,4,8
1533458751,1,11
1533545773,5,2
1533632904,2,7
1533720008,4,7
1533807268,4,548
1533894289,2,9
1533981380,2,14
1534068524,3,13
1534155629,2,12
1534242754,2,3
1534329870,3,6
1534416994,3,4
1534504159,1,9
1534591244,1,0
1534678401,2,4
1534765569,2,6
1534852619,2,3
1534939723,0,4
1535026862,2,3
