DateTime,AddedIPs,RemovedIPs
1490050109,502,11
1490137303,13,320
1490224356,14,14
1490311471,14,1186
1490398598,10,834
1490485716,15,21
1490572929,16,36
1490659963,1189,9
1490747054,75,9
1490834187,450,948
1490921322,125,16
1491008525,23,11
1491095556,10,12
1491182689,6,31
1491269788,13,6
1491356932,46,141
1491444110,20,20
1491531194,21,23
1491618262,83,24
1491705401,17,48
1491792498,11,10
1491879722,14,16
1491966782,256,12
1492053877,16,38
1492140982,751,79
1492228114,7,34
1492315315,12,11
1492402340,13,12
1492489722,402,16
1492576837,6,16
1492664273,11,855
1492751312,9,5
1492838444,38,12
1492925856,17,23
1493012920,16,15
1493100135,51,11
1493187164,12,16
1493274272,11,53
1493361431,19,15
1493448565,7,317
1493535687,8,153
1493622761,149,18
1493709901,114,13
1493797014,7,10
1493884120,506,11
1494014933,9,86
1494102037,11,16
1494189184,253,18
1494276272,15,69
1494363402,15,13
1494450497,70,10
1494537605,7,982
1494624723,11,46
1494711888,5,879
1494798992,13,14
1494886155,975,12
1494973257,11,16
1495060378,12,5
1495147467,14,11
1495234633,13,15
1495321725,9,19
1495409185,6,515
1495496201,16,10
1495583343,10,12
1495670523,6,61
1495757579,23,800
1495844947,16,20
1495932033,4,16
1496019176,6,18
1496106276,7,10
1496193401,6,257
1496280529,12,126
1496367710,5,15
1496454745,8,14
1496541881,6,743
1496629003,27,13
1496716168,14,5
1496803224,6,11
1496890348,9,376
1496977727,10,19
1497064886,1221,57
1497151984,6,13
1497239062,4,10
1497326232,13,10
1497413340,2,10
1497500445,1,38
1497587587,596,18
1497674687,13,11
1497761793,7,8
1497848901,8,21
1497936032,10,10
1498023189,26,8
1498110270,10,17
1498241325,8,14
1498328468,10,15
1498459225,9,28
1498546380,4,3
1498633718,5,7
1498720861,23,7
1498808045,107,7
1498895054,0,9
1498982183,3,47
1499069334,13,7
1499156464,7,6
1499287214,10,1040
1499374386,15,7
1499461752,16,8
1499548827,10,7
1499636005,6,1128
1499723071,7,7
1499810222,16,9
1499897312,18,8
1499984603,66,10
1500071796,26,5
1500159172,4,3
1500246275,6,925
1500333661,177,16
1500420833,8,9
1500507898,7,28
1500595002,7,39
1500682156,3,11
1500769255,5,5
1500856401,6,10
1500943483,4,10
1501030607,7,11
1501117706,10,7
1501204877,6,3
1501291964,7,22
1501379072,16,157
1501466258,12,5
1501553564,9,19
1501640931,34,13
1501728048,13,10
1501815409,8,8
1501902519,6,4
1501989665,10,10
1502076767,2,10
1502164144,6,9
1502251455,4,10
1502338738,4,7
1502425798,6,21
1502513074,11,79
1502600199,7,4
1502687335,11,4
1502774593,5,12
1502861794,4,8
1502948894,8,251
1503036145,5,14
1503123478,1315,11
1503210508,9,6
1503297660,7,8
1503385002,910,4
1503472113,7,42
1503559229,8,5
1503690017,27,53
1503777141,5,11
1503864262,3,5
1503952416,364,10
1504039450,3,9
1504126596,8,9
1504213714,67,23
1504300826,29,20
1504387929,5,11
1504475082,4,7
1504562324,3,5
1504649418,45,9
1504736650,10,6
1504823796,5,3
1504910799,6,4
1504998078,9,4
1505085144,4,27
1505172254,8,24
1505259384,7,7
1505346501,3,20
