DateTime,AddedIPs,RemovedIPs
1512429661,0,101
1512604121,0,9
1512691309,0,3
1512778557,0,754
1513039970,2,5
1513127092,5,1
1513214332,0,1
1513301592,0,198
1513388665,0,1337
1513476154,0,1
1513563158,0,4
1513650275,1,0
1513911883,1,0
1513999008,0,1
1514086143,1,0
1514173235,0,1
1514260371,0,1
1514522212,1,0
1514609751,1,1
1514697058,0,396
1514784360,1,0
1514871419,1063,0
1514958550,0,17
1515176750,0,4
1515264038,1179,0
1515613422,1,1
1515700592,1,0
1515875204,290,1
1515962858,0,1
1516224624,2,0
1516311929,1,0
1516399008,173,0
1516573294,0,1
1516747489,0,1
1517270942,1,0
1517358058,1,0
1517445158,0,756
1517619403,5,0
1517793913,0,6
1517968103,14,0
1518840294,0,1
1518927419,0,1
1519014534,0,1526
1519711403,1011,0
1519885738,0,6
1519973089,0,1
1520147588,0,1
1520234682,0,15
1520409412,216,0
1520496764,4,5
1520583888,0,14
1520671234,1,0
1520758371,1,0
1520932841,0,204
1521194489,0,1
1521368915,0,2
1521456316,0,1
1521543409,5,0
1521630535,0,1
1521804668,0,2
1522022695,16,0
1522110147,0,1
1523201078,0,385
1523375334,0,1
1524072951,0,1
1524334621,0,858
1524595958,1,35
1524683081,0,5
1524770274,0,21
1524857313,0,253
1525031820,1,0
1525816617,3,0
1525903737,1,0
1525991084,0,0
1526353315,85,1
1526440607,1446,0
1526527725,834,0
1526614833,5,0
1526963606,0,1
1527050933,0,1
1527138297,17,0
1527225423,1,0
1527312705,0,0
1527400198,0,1
1527661964,36,0
1527836207,0,0
1527923339,0,0
1528271780,0,0
1528358929,1,0
1528533182,1,0
1528620277,1,0
1528881638,0,4
1529055883,0,1161
1529230119,330,995
1529491482,1,3
1529578604,996,0
1529840189,0,1
1530145254,1,0
1530319483,2,72
1530406637,44,0
1530929334,1,0
1531190712,0,4
1531277789,0,7
1531364918,10,0
1531539220,177367,0
1531800901,1,0
1531888099,0,144850
1531975506,28,106
1532062624,24,119
1532149738,32,242
1532237186,26,8151
1532324201,15,121
1532411301,28,112
1532498502,17,123
1532585813,28,124
1532672912,16,174
1532760272,16,147
1532847421,17,159
1532934775,61,187
1533022121,21,5067
1533109225,24,144
1533196591,52,165
1533284068,14,124
1533371292,41,179
1533458752,40,134
1533545774,31,133
1533632905,28,133
1533720009,24,126
1533807269,28,2602
1533894291,24,3005
1533981382,9538,84
1534068526,2552,109
1534155631,11,85
1534242755,16,60
1534329871,12,74
1534416995,24,2231
1534504161,89,52
1534591245,20,56
1534678402,25,35
1534765570,33,34
1534852620,2237,37
1534939725,1863,26
1535026863,22,115
