DateTime,AddedIPs,RemovedIPs
1512778558,0,1
1512865736,0,1
1513048168,2,0
1515665311,0,1
1516973842,1,0
1517671504,1,0
1518107325,0,1
1518281529,1,0
1518455741,1,0
1519589086,0,1
1520199633,0,1
1520635563,1,0
1522248277,0,1
1522814926,0,1
1528614771,1,1
1531142442,0,1
1531527177,55084,0
1531614576,22,0
1531877089,0,55027
1531964199,3,4
1532051342,1,2
1532138428,2,3
1532225618,0,3
1532312680,0,5
1532487149,3,3
1532574294,2,2
1532661393,2,3
1532748757,1,5
1532835876,2,0
1532923231,0,2
1533010605,1,4
1533097710,3,4
1533184810,1,5
1533271982,0,3
1533359074,1,2
1533446203,0,2
1533533295,1,2
1533620415,3,2
1533707540,1,1
1533794689,2,1
1533881807,1,3
1533968893,2,2
1534055932,1,2
1534143131,2,4
1534230558,0,2
1534317638,0,1
1534404996,0,1
1534492221,2,1
1534579305,1,3
1534666343,1,1
1534753467,1,2
1534840835,2,0
1534927969,1,0
1535015073,1,1
1535102440,1,2
