DateTime,AddedIPs,RemovedIPs
1534108355,1,1
1534110280,2,8
1534112223,0,3
1534114118,3,1
1534116049,3,0
1534117966,2,0
1534119870,0,1
1534121803,0,3
1534123709,2,3
1534125778,5,0
1534127798,0,2
1534129965,0,3
1534131869,3,1
1534133813,0,2
1534135720,7,3
1534137680,2,2
1534139573,1,1
1534141466,3,2
1534143407,1,1
1534145306,1,0
1534147291,2,1
1534151089,0,2
1534152987,1,0
1534154925,2,4
1534156836,0,1
1534158751,1,0
1534161624,3,3
1534163548,3,0
1534165469,1,0
1534167386,2,0
1534169832,3,1
1534171717,2,1
1534173640,0,2
1534175560,0,2
1534177480,0,1
1534179409,1,0
1534181315,2,0
1534183301,3,1
1534185180,1,0
1534187089,4,2
1534189014,3,1
1534191100,2,0
1534193082,4,2
1534194984,1,1
1534197161,1,2
1534199069,0,2
1534201014,0,2
1534203804,1,3
1534205677,0,1
1534207493,2,0
1534209396,2,1
1534211329,1,3
1534213242,0,3
1534215179,1,0
1534217080,1,1
1534219007,1,2
1534220909,0,3
1534222910,0,4
1534224780,2,2
1534226677,0,1
1534228585,1,2
1534230558,1,0
1534232435,2,0
1534234367,1,3
1534236266,4,0
1534240106,1,2
1534242047,2,0
1534243947,3,0
1534245884,0,1
1534247791,1,2
1534249953,0,4
1534251869,0,1
1534253816,1,2
1534255732,1,2
1534258012,0,3
1534259821,1,0
1534261705,2,1
1534267466,4,1
1534269398,1,1
1534271298,2,2
1534273297,0,4
1534275167,1,2
1534277244,0,4
1534279219,3,5
1534281143,1,0
1534283080,2,2
1534284985,1,1
1534286937,1,1
1534288844,1,1
1534290737,0,1
1534292772,3,1
1534294607,2,1
1534296501,2,3
1534298521,1,1
1534300349,0,1
1534302279,2,0
1534304188,2,3
1534306139,3,1
1534308043,2,1
1534309955,1,0
1534311885,0,3
1534313806,3,1
1534315703,2,0
1534317638,3,2
1534319556,1,1
1534321470,1,2
1534323399,5,1
1534325300,1,1
1534329176,0,2
1534331066,3,2
1534332987,0,2
1534334940,2,1
1534336824,2,0
1534338771,1,0
1534340669,5,1
1534342585,0,1
1534346436,0,2
1534348588,0,2
1534352501,1,0
1534354347,0,4
1534356268,0,2
1534358441,1,1
1534360355,2,0
1534362276,1,1
1534364193,1,0
1534366103,5,4
1534368627,12,1
1534370691,1,1
1534372586,0,2
1534374777,1,0
1534376847,1,1
1534378943,0,3
1534380776,2,2
1534382687,2,0
1534384521,1,3
1534386748,1,1
1534388702,2,2
1534390583,2,2
1534392532,1,3
1534394442,1,1
1534396368,1,1
1534398262,2,0
1534400215,0,3
1534402111,2,2
1534404028,0,3
1534405962,1,1
1534407883,0,1
1534409784,3,5
1534411726,4,1
1534413693,3,0
1534417482,0,3
1534419411,3,0
1534421334,3,1
1534423226,3,2
1534425166,3,2
1534427075,1,5
1534429010,4,0
1534430919,2,0
1534432835,1,0
1534434787,2,0
1534436673,2,0
1534438524,2,1
1534440499,1,0
1534442506,1,0
1534444346,1,1
1534446169,0,2
1534450026,0,2
1534453861,1,11
1534455861,4,2
1534457793,1,1
1534461564,1,1
1534463598,2,2
1534465724,1,3
1534467712,2,0
1534469560,0,2
1534473434,0,2
1534475343,0,1
1534477500,0,2
1534479403,1,2
1534481583,3,1
1534483477,0,1
1534485409,0,1
1534487321,6,1
1534489328,5,1
1534491187,4,1
1534493107,2,0
1534494998,0,2
1534496934,1,4
1534498846,5,3
1534500781,1,2
1534502690,3,0
1534504623,0,4
1534506515,1,2
1534508449,1,4
1534510385,1,2
1534512295,0,1
1534514237,3,3
1534516132,4,2
1534518113,4,2
1534520200,3,1
1534522323,3,4
1534524264,7,2
1534526220,2,1
1534528106,1,1
1534530279,0,1
1534532323,1,1
1534534125,1,0
1534536107,3,0
1534537960,1,0
1534540081,4,1
1534542049,3,3
1534543953,3,1
1534545864,2,1
1534547786,1,1
1534549624,4,2
1534551645,1,1
1534553576,0,2
1534555472,1,0
1534557387,3,0
1534559568,1,0
1534561514,1,0
1534563410,3,0
1534565433,2,0
1534567238,0,2
1534569342,3,2
1534571318,1,0
1534573514,0,4
1534575394,1,6
1534577346,3,4
1534579306,9,3
1534581177,7,1
1534583125,32,1
1534585017,6,3
1534586941,8,2
1534588875,4,2
1534590781,6,0
1534592704,7,0
1534594600,7,1
1534596536,3,2
1534598455,3,0
1534600374,6,3
1534602276,5,3
1534604224,10,5
1534606124,3,3
1534608100,7,1
1534609962,3,8
1534611911,8,3
1534613801,5,1
1534615733,2,1
1534617656,4,0
1534619788,6,2
1534621743,5,1
1534623623,5,2
1534625539,5,4
1534627481,5,3
1534629376,4,3
1534631313,7,1
1534633262,5,1
1534635167,6,2
1534637069,1,3
1534639975,5,0
1534641862,6,1
1534643812,0,4
1534645707,3,0
1534647696,9,0
1534649539,6,4
1534651509,4,1
1534653395,6,1
1534655330,2,4
1534657240,11,1
1534659221,3,1
1534661076,2,1
1534663017,6,1
1534664919,5,5
1534666829,7,7
1534668753,3,34
1534670668,10,6
1534672588,4,5
1534674536,2,8
1534676478,7,3
1534678403,7,9
1534680286,2,6
1534682186,0,4
1534684113,3,3
1534686056,2,4
1534687949,7,6
1534689868,5,11
1534691796,1,3
1534693705,7,4
1534695621,8,7
1534697814,4,7
1534699696,7,4
1534701678,3,3
1534703897,1,3
1534705937,5,7
1534707869,2,4
1534709786,5,6
1534711717,5,6
1534713619,3,4
1534715531,4,4
1534717455,6,6
1534719386,7,4
1534721299,1,7
1534723165,3,2
1534725184,3,3
1534727073,4,5
1534729039,4,3
1534730989,5,0
1534732873,0,5
1534734850,3,8
1534736728,3,6
1534738643,5,6
1534740538,3,3
1534742522,4,3
1534744395,1,8
1534746322,4,3
1534748253,3,7
1534750184,5,5
1534752108,1,6
1534754022,3,4
1534755904,0,3
1534757963,1,9
1534759807,6,3
1534761700,2,8
1534763600,20,6
1534765571,6,3
1534767433,1,0
1534769370,3,3
1534771264,1,1
1534773869,3,6
1534775781,2,7
1534777599,5,0
1534779614,3,6
1534781458,1,6
1534783465,2,5
1534785394,4,7
1534787301,3,3
1534789309,0,4
1534791136,5,3
1534793146,3,4
1534794983,6,3
1534797219,5,5
1534799064,4,3
1534801039,5,5
1534802911,4,6
1534804893,3,5
1534806745,3,4
1534808716,9,2
1534810605,2,4
1534812813,5,4
1534814657,5,3
1534816675,2,7
1534818747,5,3
1534820649,6,3
1534822591,4,1
1534824444,6,6
1534826437,1,4
1534828504,4,4
1534830489,5,1
1534832397,6,3
1534834330,2,4
1534836173,3,5
1534838171,7,2
1534840081,2,3
1534842032,3,0
1534843936,1,2
1534845859,1,2
1534847729,1,5
1534849710,3,11
1534851612,6,14
1534853559,0,2
1534855609,7,3
1534857873,4,1
1534859799,3,2
1534861711,6,4
1534863685,2,3
1534865555,3,2
1534867500,3,1
1534869396,0,2
1534871319,7,4
1534873228,4,3
1534875163,3,0
1534877076,3,5
1534879002,3,3
1534880928,2,7
1534882844,1,4
1534884752,3,1
1534886706,9,7
1534888582,3,3
1534890535,3,3
1534892492,2,4
1534895168,9,10
1534897239,3,3
1534899161,1,3
1534901075,1,5
1534902981,0,2
1534904914,3,5
1534906896,2,6
1534908741,1,2
1534910665,3,5
1534912598,2,2
1534914497,3,5
1534916438,5,4
1534918358,1,4
1534920257,4,5
1534922186,5,3
1534924106,6,2
1534926024,3,6
1534927969,1,2
1534929894,1,3
1534931796,6,2
1534933697,1,1
1534935647,2,2
1534937556,1,6
1534939492,4,2
1534941373,2,5
1534943322,2,5
1534945235,2,2
1534947140,4,6
1534949078,5,7
1534950984,2,2
1534952895,4,2
1534954839,7,2
1534957008,2,5
1534959270,6,4
1534961074,8,2
1534963207,7,2
1534965149,4,6
1534967118,6,2
1534969228,6,1
1534971148,6,3
1534973090,5,9
1534974988,9,3
1534976951,5,2
1534978868,7,2
1534980761,5,6
1534982681,8,5
1534984832,6,2
1534986672,6,0
1534988654,2,1
1534990465,4,1
1534992278,5,3
1534994367,9,0
1534996345,3,3
1534998217,6,3
1535000169,10,2
1535002000,5,4
1535004076,7,3
1535005939,2,1
1535007854,3,6
1535009696,5,7
1535011695,3,5
1535013629,3,1
1535015533,5,0
1535017414,3,5
1535019375,7,2
1535021283,6,3
1535023211,6,3
1535025088,3,4
1535027056,9,2
1535028987,6,3
1535030892,4,1
1535032773,3,2
1535034742,2,5
1535036617,3,2
1535038590,0,6
1535040426,4,4
1535042422,3,3
1535044375,3,4
1535046271,2,6
1535048081,6,7
1535050109,2,5
1535052286,5,8
1535054183,3,3
1535056263,3,6
1535058098,6,6
1535059938,3,6
1535061855,6,9
1535063774,3,2
1535065719,7,8
1535067864,4,6
1535069814,6,11
1535071721,10,2
1535073624,2,5
1535075562,6,2
1535077466,4,4
1535079399,4,9
1535081295,3,6
1535083305,6,2
1535085168,2,5
1535087072,3,10
1535088985,5,6
1535090922,4,8
1535092830,3,2
1535094761,5,3
1535096664,4,5
1535098589,4,2
1535100501,7,3
1535102441,7,6
1535104351,3,3
