DateTime,AddedIPs,RemovedIPs
1455887600,2,3
1455974685,2,1
1456061868,4,0
1456148945,1,0
1456236091,2,0
1456323246,2,3
1456410377,2,0
1456497465,1,1
1456584607,2,1
1456671713,6,2
1456758846,1,1
1456845932,1,2
1456933057,2,1
1457020180,0,1
1457107318,4,1
1457194451,0,1
1457281540,7,3
1457368721,5,0
1457456046,4,2
1457543217,4,3
1457630638,3,1
1457717868,3,1
1457804995,4,4
1457892114,5,5
1457979241,2,5
1458066403,4,1
1458153755,5,4
1458241075,5,2
1458328196,6,1
1458415329,2,2
1458502454,1,1
1458589528,3,3
1458676672,5,3
1458763795,7,1
1458850826,4,1
1458937972,3,5
1459025091,2,2
1459112220,2,3
1459199693,5,2
1459287014,2,3
1459374383,1,1
1459461506,1,5
1459548645,1,1
1459635749,2,2
1459722975,5,4
1459810593,0,7
1459897809,1,2
1459985173,4,2
1460072278,3,3
1460159435,3,3
1460246589,0,5
1460334065,4,4
1460421254,3,5
1460508401,2,1
1460595745,4,2
1460682884,3,2
1460769940,8,4
1460857055,5,5
1460944190,3,6
1461031340,1,1
1461118434,3,4
1461205575,2,4
1461292706,3,6
1461380052,1,2
1461467162,4,4
1461554348,5,3
1461641648,4,1
1461728773,1,4
1461815896,1,3
1461903000,3,3
1461990120,4,2
1462077242,0,1
1462164432,6,1
1462251800,2,3
1462339076,5,4
1462426196,1,2
1462513365,1,5
1462600679,1,7
1462687802,2,3
1462774940,2,2
1462862051,4,1
1463036269,2,3
1463123713,3,2
1463211048,2,2
1463298496,3,1
1463385731,5,5
1463473108,2,1
1463560252,2,7
1463647586,2,2
1463734706,1,5
1463821823,2,3
1463908988,4,2
1463996292,0,2
1464083404,4,2
1464170535,0,7
1464257980,0,3
1464345240,2,2
1464432360,3,4
1464519476,5,2
1464606599,1,3
1464693718,2,1
1464780831,1,2
1464867957,3,2
1464955084,5,9
1465042190,3,2
1465129427,1,2
1465216695,0,2
1465303804,2,1
1465390969,3,2
1465478056,2,1
1465565154,1,3
1465652297,3,3
1465739681,8,4
1465827018,4,2
1465914115,2,3
1466001246,5,4
1466088354,1,3
1466175480,6,2
1466349615,5,0
1466436757,2,2
1466523865,3,4
1466610979,1,3
1466698414,3,4
1466785468,4,1
1466872608,3,0
1466960029,1,2
1467047061,1,5
1467134215,0,3
1467221311,3,1
1467308426,3,1
1467395556,3,1
1467482655,2,2
1467569801,0,1
1467656911,2,4
1467744124,2,3
1467831245,2,1
1467918259,2,0
1468005386,1,5
1468092513,1,0
1468179623,1,1
1468266743,2,1
1468353982,4,4
1468440993,3,5
1468528123,2,3
1468615234,3,2
1468702359,6,2
1468789465,1,8
1468876580,2,0
1468963698,3,2
1469050705,7,5
1469137721,3,4
1469224850,5,1
1469311939,5,3
1469399053,3,9
1469486189,4,4
1469573310,3,2
1469660436,3,1
1469747545,3,3
1469834652,1,7
1469921784,1,2
1470008918,3,6
1470096048,5,2
1470183163,3,1
1470270260,2,3
1470357390,6,6
1470444500,6,0
1470531649,3,2
1470618763,5,0
1470705860,6,1
1470792982,2,2
1470880115,4,1
1470967279,3,4
1471054353,0,3
1471141461,2,0
1471228592,3,4
1471315714,3,4
1471402847,4,0
1471577069,1,4
1471664190,0,4
1471751310,3,3
1471838477,2,1
1471925560,3,1
1472012656,3,4
1472099778,1,3
1472186904,0,3
1472274062,5,5
1472361142,4,1
1472448261,2,5
1472535384,3,0
