DateTime,Entries,UniqueIPs
1530453881,2,2
1530479308,3,3
1530492742,4,4
1530498529,3,3
1530500694,4,4
1530521739,5,5
1530533801,5,5
1530549385,75,75
1530566937,74,74
1530578669,73,73
1530587552,72,72
1530609006,71,71
1530610825,72,72
1530618990,71,71
1530620908,72,72
1530639309,2,2
1530690994,3,3
1530696769,2,2
1530707071,1,1
1530739517,2,2
1530778131,1,1
1530783894,11,11
1530825339,10,10
1530827324,11,11
1530869828,1,1
1530874133,2,2
1530913960,1,1
1530935110,2,2
1530948789,3,3
1530960514,2,2
1531022699,1,1
1531032520,0,0
1531078356,1,1
1531129736,2,2
1531137394,3,3
1531166506,2,2
1531186862,3,3
1531204370,4,4
1531215866,3,3
1531223625,2,2
1531256512,3,3
1531273723,2,2
1531281393,3,3
1531287696,4,4
1531291494,3,3
1531310702,4,4
1531342122,3,3
1531344045,4,4
1531367309,3,3
1531373064,2,2
1531382686,4,4
1531390365,5,5
1531396120,4,4
1531398046,5,5
1531411512,6,6
1531430928,5,5
1531444355,6,6
1531453220,7,7
1531468913,5,5
1531476540,4,4
1531484192,3,3
1531497715,2,2
1531515401,0,0
1531520589,6284,6284
1531596403,6285,6285
1531622604,6286,6286
1531718243,6287,6287
1531777580,6288,6288
1531808002,6289,6289
1531816173,6290,6290
1531819142,6291,6291
1531834593,6292,6292
1531865776,4,4
1531886895,5,5
1531902507,4,4
1531904518,74,74
1531921739,73,73
1531956071,72,72
1531957996,94,94
1531959875,1063,1063
1531961808,2866,2866
1531963718,3335,3335
1531973351,3334,3334
1531975509,3335,3335
1531989186,3337,3337
1531991120,3284,3284
1532016110,3285,3285
1532041289,3286,3286
1532045404,2839,2839
1532047253,1502,1502
1532049425,5,5
1532061171,6,6
1532063103,5,5
1532068833,6,6
1532076521,4,4
1532086141,5,5
1532101479,4,4
1532126444,3,3
1532148346,2,2
1532154043,3,3
1532156062,2,2
1532171608,1,1
1532220326,2,2
1532239743,3,3
1532241647,2,2
1532263228,3,3
1532280757,4,4
1532305973,3,3
1532307887,4,4
1532325151,3,3
1532327128,4,4
1532338598,5,5
1532345335,6,6
1532349155,6,6
1532355168,7,7
1532364764,8,8
1532368909,7,7
1532381788,8,8
1532391651,9,9
1532395516,9,9
1532401317,10,10
1532408957,11,11
1532412776,14,14
1532416837,15,15
1532422907,16,16
1532424754,15,15
1532426688,16,16
1532432427,15,15
1532436279,14,14
1532442277,14,14
1532451881,13,13
1532457630,14,14
1532467470,13,13
1532471312,61,61
1532473323,85,85
1532477111,84,84
1532480946,83,83
1532488601,82,82
1532496278,81,81
1532498506,79,79
1532500458,77,77
1532502276,76,76
1532508053,75,75
1532511881,74,74
1532527318,75,75
1532529177,74,74
1532544996,73,73
1532558520,1,1
1532566162,2,2
1532581538,3,3
1532614368,2,2
1532633607,3,3
1532652275,2,2
1532654114,3,3
1532667900,2,2
1532673909,3,3
1532683971,4,4
1532691667,5,5
1532701325,6,6
1532705325,7,7
1532707230,8,8
1532713241,9,9
1532719010,8,8
1532731584,9,9
1532741571,8,8
1532747351,9,9
1532755019,10,10
1532760769,9,9
1532768518,8,8
1532778757,7,7
1532780669,8,8
1532788434,7,7
1532790276,8,8
1532792184,7,7
1532794155,6,6
1532799864,5,5
1532801812,6,6
1532815727,5,5
1532817676,6,6
1532826114,7,7
1532833705,6,6
1532839742,5,5
1532845467,6,6
1532866619,6,6
1532876103,5,5
1532887969,4,4
1532897831,5,5
1532903785,4,4
1532913407,3,3
1532915319,4,4
1532925383,5,5
1532931152,4,4
1532952289,3,3
1532983273,2,2
1532994783,3,3
1533002515,2,2
1533012037,1,1
1533021645,2,2
1533027413,3,3
1533031321,4,4
1533058832,5,5
1533081142,4,4
1533092955,5,5
1533104425,6,6
1533106374,7,7
1533108264,7,7
1533110224,9,9
1533114090,10,10
1533117893,9,9
1533121739,10,10
1533128186,11,11
1533133981,12,12
1533140002,13,13
1533145718,12,12
1533159156,13,13
1533161104,14,14
1533166494,20,20
1533168327,21,21
1533170200,23,23
1533172165,28,28
1533174037,32,32
1533175976,35,35
1533177876,39,39
1533179820,43,43
1533181711,47,47
1533185566,49,49
1533187490,50,50
1533189384,54,54
1533191335,53,53
1533193307,54,54
1533195178,52,52
