DateTime,AddedIPs,RemovedIPs
1512429665,2,0
1512604126,1,0
1512865742,1,2
1512952868,0,1
1513127094,1,2
1513301597,0,1
1513388668,0,4
1513650277,4,5
1513737675,1,4
1513999012,0,5
1514086147,0,2
1514173237,0,2
1514260373,3,0
1514347839,1,1
1514434856,1,0
1514522214,0,1
1514609755,0,7
1514697059,1,1
1514784362,1,1
1514871421,1,0
1514958554,0,2
1515176752,0,6
1515264040,1,1
1515351320,1,1
1515526279,0,1
1515700595,0,1
1515875206,0,1
1515962860,1,0
1516137431,2,0
1516224630,0,2
1516311934,0,2
1516399011,0,2
1516747492,1,0
1516835049,1,0
1516922257,1,2
1517009345,4,2
1517096470,1,0
1517270947,1,0
1517358060,1,2
1517532278,0,3
1517619406,1,0
1517706546,1,0
1517880988,0,1
1518142370,1,0
1518229493,2,2
1518491326,1,0
1518753184,0,1
1519101751,1,0
1519275817,0,1
1519624374,0,3
1519711407,0,2
1519798620,1,0
1519885743,0,2
1520409415,1,1
1520583891,1,1
1520671236,0,1
1520758374,1,0
1520845493,0,3
1520932843,0,1
1521019971,0,1
1521194491,0,1
1521456318,1,0
1521717633,0,2
1522022698,0,1
1522284286,1,0
1523201080,0,3
1523375338,0,1
1523680607,0,1
1523767716,0,1
1524072954,0,1
1524160380,0,2
1524334626,0,1
1524421742,0,2
1524508782,1,0
1524595961,0,1
1524683084,0,2
1524770276,0,5
1524857315,0,11
1525031824,1,0
1525293412,1,0
1525991089,0,5
1526353319,52,0
1526440610,1,1
1526527729,1,0
1526614836,2,0
1526701948,1,0
1526876203,0,1
1526963613,0,1
1527050939,1,0
1527138300,1,1
1527225429,1,4
1527312711,0,3
1527400203,0,4
1527487439,0,2
1527574591,2,3
1527661968,2,0
1527749097,0,1
1527836211,0,1
1527923346,1,0
1528097597,0,1
1528271784,0,2
1528446041,1,0
1528707395,0,1
1528968770,0,1
1529055886,2,2
1529142996,1,1
1529230121,0,2
1529404356,1,0
1529665964,1,1
1529753088,1,0
1529840192,2,0
1530058131,1,0
1530145259,1,2
1530232425,0,3
1530319486,0,2
1530493757,0,1
1531016429,0,1
1531103570,2,0
1531190717,0,1
1531277792,1,0
1531452032,1,0
1531539225,15711,0
1531888102,1,13883
1531975511,2,17
1532062626,33,17
1532149741,17,16
1532237189,15,13
1532324203,57,10
1532411304,10,7
1532498508,5,9
1532585818,14,10
1532672914,5,19
1532760274,6,10
1532847426,4,15
1532934778,6,30
1533022124,9,26
1533109227,2,12
1533196594,1,26
1533284070,2,17
1533371299,2,14
1533458754,0,17
1533545784,1,51
1533632908,7,26
1533720012,149,29
1533807271,92,58
1533894295,36,35
1533981386,55,29
1534068529,18,28
1534155633,15,33
1534242764,30,29
1534329879,6,18
1534416997,5,21
1534504163,3,20
1534591247,16,13
1534678406,11,24
1534765575,11,26
1534852623,4,18
1534939727,16,89
1535026866,13,24
