DateTime,AddedIPs,RemovedIPs
1534432479,8,2
1534434158,3,8
1534434986,1,0
1534436113,0,6
1534436909,1,1
1534437745,1,1
1534439120,7,3
1534440537,3,0
1534442192,5,4
1534443335,4,5
1534444946,5,2
1534446115,5,4
1534446877,1,0
1534447714,0,1
1534449386,4,6
1534450534,3,3
1534452930,1,7
1534454081,2,1
1534455752,7,4
1534457668,1,11
1534458512,5,0
1534460735,6,8
1534462955,30,3
1534464886,10,6
1534465727,2,1
1534467446,7,16
1534469326,10,9
1534470989,7,16
1534472144,7,9
1534473693,7,16
1534475145,6,3
1534476472,6,0
1534478198,2,12
1534479346,7,8
1534480846,6,10
1534482292,4,7
1534483716,9,0
1534485405,3,3
1534486466,6,2
1534488155,5,11
1534488987,3,0
1534490073,2,6
1534491304,6,11
1534491755,1,3
1534493151,9,11
1534494511,3,0
1534495362,5,7
1534496567,7,9
1534497934,8,0
1534498957,1,7
1534500588,7,13
1534501718,6,0
1534502547,5,9
1534503396,7,0
1534504468,4,4
1534505763,7,8
1534506156,1,2
1534508069,7,9
1534508923,4,1
1534510589,4,7
1534511746,9,8
1534513243,7,4
1534515279,8,1
1534516960,10,7
1534518339,7,4
1534518875,1,0
1534520548,3,9
1534521396,4,0
1534522479,4,6
1534524157,10,4
1534525536,1,10
1534526074,1,0
1534526920,1,0
1534528538,1,18
1534529667,3,0
1534530820,4,4
1534532129,1,2
1534533273,1,6
1534534641,3,7
1534537710,1,3
1534539033,3,4
1534540237,2,4
1534541450,1,5
1534542721,3,8
1534543847,0,12
1534545066,3,15
1534546291,15,9
1534547447,0,10
1534548942,3,11
1534550146,0,6
1534551349,4,12
1534552963,1,15
1534554872,3,8
1534555724,4,1
1534557390,2,22
1534558478,3,11
1534559740,2,12
1534561016,8,2
1534562150,1,10
1534563698,2,14
1534564598,1,3
1534565740,4,7
1534567249,4,23
1534568196,1,3
1534569358,1,11
1534570953,3,15
1534572432,2,7
1534572878,2,0
1534573712,3,0
1534575328,5,18
1534576538,13,10
1534577328,7,0
1534578148,3,10
1534579423,10,11
1534580076,1,2
1534581748,11,10
1534582592,4,1
1534583673,3,13
1534584522,8,0
1534586215,5,10
1534587336,8,7
1534588876,7,9
1534590341,9,3
1534592309,9,4
1534593389,4,1
1534594481,6,2
1534596154,7,6
1534597012,2,0
1534598068,3,2
1534598913,4,0
1534599754,0,4
1534601209,1,4
1534603353,3,7
1534604745,2,2
1534606125,2,0
1534608083,4,6
1534610551,1,6
1534611938,1,6
1534613319,4,2
1534614990,3,8
1534616140,2,10
1534617684,9,5
1534619674,6,4
1534620930,7,8
1534623274,9,10
1534624121,1,0
1534625793,5,5
1534627709,2,4
1534628549,2,6
1534630470,6,2
1534632109,2,33
1534633544,2,7
1534635758,2,10
1534637087,4,7
1534638525,6,0
1534640196,3,11
1534641280,3,7
1534642846,9,5
1534643809,2,0
1534645714,3,11
1534647940,4,13
1534648482,1,0
1534649734,5,5
1534651846,7,9
1534653064,3,13
1534653758,2,0
1534655083,6,4
1534656333,2,1
1534658191,7,12
1534659336,15,4
1534660112,1,1
1534661799,5,6
1534662867,5,8
1534664092,6,9
1534666467,6,12
1534667327,1,0
1534668505,2,9
1534669773,4,2
1534670917,3,0
1534672387,10,7
1534673668,5,6
1534675290,7,5
1534676189,2,2
1534678116,5,4
1534679741,3,7
1534680943,6,7
1534682498,3,7
1534683794,6,6
1534684472,2,1
1534685736,5,9
1534687838,9,9
1534688912,3,0
1534690596,4,7
1534691763,4,9
1534693353,6,16
1534694188,1,1
1534695336,5,6
1534696870,4,11
1534698333,2,0
1534699711,7,1
1534701028,4,4
1534702234,9,2
1534704154,11,6
1534705538,5,3
1534706942,4,0
1534708598,3,1
1534709741,2,2
1534711283,0,7
1534712737,4,3
1534714123,2,0
1534715735,1,2
1534716875,2,69
1534718562,2,4
1534719922,2,3
1534720481,1,0
1534722154,4,8
1534723478,0,3
1534724070,2,0
1534725205,0,3
1534726604,7,0
1534727737,8,7
1534729293,7,5
1534730203,5,0
1534731288,5,6
1534732897,5,3
1534733797,6,0
1534734885,12,2
1534736017,9,3
1534737414,5,0
1534738543,6,6
1534740165,10,4
1534741540,9,3
1534742923,6,0
1534744600,8,9
1534745741,9,2
1534747231,6,18
1534748734,11,6
1534749275,3,0
1534750528,10,9
1534751795,7,1
1534752936,6,10
1534754133,2,8
1534754556,2,0
1534756467,14,3
1534757309,2,0
1534758802,8,9
1534760924,16,3
1534762630,8,5
1534763739,4,5
1534764510,7,0
1534765348,5,6
1534766915,11,5
1534768017,3,0
1534769792,7,10
1534770939,5,4
1534772442,4,6
1534774192,66,9
1534775444,6,8
1534776601,4,0
1534778067,7,4
1534779327,6,5
1534781674,9,3
1534783073,10,3
1534784734,7,7
1534786109,8,0
1534786954,2,5
1534788877,0,3
1534790128,0,10
1534792536,5,9
1534793953,17,1
1534795798,16,3
1534797155,17,3
1534798587,21,1
1534799668,7,7
1534800526,2,0
1534801366,3,3
1534803045,7,3
1534804257,3,3
1534805795,6,1
1534806941,7,2
1534807718,19,0
1534809818,22,6
1534810470,2,0
1534812085,9,12
1534812161,1,0
1534814068,9,5
1534815682,7,4
1534817056,4,2
1534818528,6,0
1534820143,6,8
1534821355,6,2
1534822548,5,7
1534823791,4,2
1534825730,11,5
1534827037,5,4
1534828467,8,9
1534829323,3,0
1534830487,4,15
1534831808,6,4
1534833760,10,8
1534834592,4,1
1534835666,5,3
1534836514,9,0
1534837355,7,3
1534839036,15,4
1534840949,16,10
1534842340,7,4
1534842872,3,0
1534844481,8,9
1534845387,3,0
