DateTime,AddedIPs,RemovedIPs
1534328140,3,0
1534329755,0,2
1534331739,0,2
1534333671,0,1
1534338341,0,1
1534342478,0,1
1534344943,0,1
1534347754,1,1
1534351241,1,1
1534354877,0,2
1534357719,1,1
1534359333,1,2
1534363819,1,0
1534366604,1,1
1534367678,1,1
1534369247,1,1
1534371274,2,2
1534372965,2,0
1534373794,3,0
1534374872,1,1
1534380640,6,5
1534382072,1,3
1534383758,1,2
1534385452,0,1
1534386650,0,2
1534388751,1,2
1534389293,2,0
1534390967,2,0
1534392870,1,2
1534393711,0,2
1534394551,2,1
1534398152,1,0
1534399858,0,1
1534401756,1,0
1534403134,1,0
1534406190,2,0
1534407275,0,1
1534409138,0,1
1534410336,1,0
1534411836,0,2
1534414233,0,1
1534415314,1,1
1534416633,1,0
1534417836,1,1
1534421409,1,0
1534422615,1,0
1534424735,2,3
1534430548,2,1
1534431387,1,0
1534432479,0,2
1534434158,1,0
1534434986,1,0
1534436120,0,1
1534436910,2,0
1534437745,1,1
1534439677,1,0
1534440541,0,1
1534442192,0,1
1534443336,0,1
1534444947,1,1
1534446115,0,1
1534449386,0,2
1534450534,1,0
1534452931,1,3
1534454082,1,0
1534457668,1,0
1534460736,0,1
1534462955,1,5
1534464887,0,1
1534467446,0,1
1534469327,2,0
1534470989,0,1
1534472144,2,1
1534473694,0,1
1534475145,0,1
1534476472,1,0
1534482293,1,0
1534483716,1,0
1534486466,0,3
1534488155,1,1
1534490073,0,1
1534491303,1,0
1534493151,1,0
1534494511,1,0
1534495362,0,1
1534496567,0,1
1534497934,2,1
1534498957,1,2
1534500589,0,1
1534503397,1,0
1534505770,1,0
1534506156,0,1
1534510589,3,1
1534511747,1,0
1534513243,2,0
1534515280,1,2
1534516961,2,0
1534518339,3,3
1534518876,1,0
1534522480,0,5
1534524157,1,0
1534526074,0,1
1534528539,1,1
1534530821,1,2
1534533273,1,0
1534534645,1,0
1534535758,1,1
1534537711,1,0
1534539033,1,1
1534540237,1,0
1534541451,1,1
1534542722,1,2
1534543847,0,1
1534545071,2,1
1534546291,1,1
1534547447,2,0
1534548946,1,0
1534550146,1,1
1534551350,1,2
1534552963,0,2
1534555725,0,1
1534557391,3,0
1534558478,2,1
1534559740,1,0
1534561016,0,2
1534562151,0,3
1534563698,2,1
1534564599,0,1
1534565740,0,3
1534567249,1,1
1534568197,1,0
1534570953,0,1
1534573712,1,0
1534576539,1,0
1534578148,3,1
1534579423,0,1
1534580077,1,0
1534581749,3,0
1534583674,1,1
1534584522,0,1
1534586216,2,1
1534587337,0,1
1534590341,0,2
1534592309,2,0
1534596154,0,1
1534597012,3,1
1534598068,1,1
1534598914,2,0
1534599754,0,1
1534601209,4,3
1534603354,1,2
1534604745,1,1
1534606126,1,1
1534608084,2,3
1534609242,1,0
1534610551,3,5
1534613320,4,0
1534614990,1,1
1534616140,2,1
1534617685,4,3
1534619674,4,2
1534620930,2,4
1534623274,0,4
1534624121,1,0
1534625794,1,3
1534627709,1,1
1534628549,3,1
1534630471,4,0
1534632109,4,0
1534633544,1,2
1534635758,2,1
1534637087,3,3
1534638526,2,1
1534640197,1,1
1534641281,4,1
1534642847,4,3
1534643809,1,3
1534645715,2,3
1534647941,3,1
1534648482,1,0
1534649734,3,2
1534651846,1,2
1534653064,3,1
1534653759,1,1
1534655087,0,2
1534656333,0,2
1534658191,4,2
1534659337,1,2
1534660113,2,0
1534661799,1,0
1534664092,1,0
1534666467,5,0
1534667328,1,0
1534668505,0,2
1534669774,1,1
1534670917,3,1
1534672387,4,1
1534673668,2,2
1534675290,0,2
1534676189,1,0
1534678117,1,1
1534679741,4,4
1534680944,2,1
1534682499,3,3
1534683802,2,1
1534684472,3,0
1534685737,1,0
1534687838,3,6
1534688913,0,2
1534690596,0,2
1534691764,0,2
1534693353,1,2
1534694188,1,1
1534695336,2,1
1534696870,3,2
1534699712,0,3
1534701029,2,0
1534702234,2,1
1534704154,3,1
1534705538,4,2
1534706942,0,1
1534708599,7,0
1534709742,3,5
1534711287,2,3
1534712737,1,4
1534714123,3,2
1534715735,2,1
1534716875,3,2
1534718563,0,2
1534719926,3,1
1534722154,2,2
1534723478,1,3
1534724070,2,1
1534725210,3,3
1534726605,2,1
1534727738,0,2
1534729293,2,4
1534730204,2,0
1534731288,3,0
1534732897,1,1
1534733797,1,1
1534734885,2,2
1534736018,1,0
1534738544,1,2
1534740166,0,1
1534741540,4,0
1534742923,1,2
1534744600,1,2
1534745742,2,0
1534747231,3,0
1534748734,4,2
1534749275,1,1
1534750529,1,1
1534751795,4,1
1534752936,1,2
1534754133,1,1
1534754556,1,1
1534756467,4,2
1534757310,2,4
1534758801,2,1
1534760925,4,1
1534762630,3,2
1534765349,0,3
1534766915,0,7
1534769792,1,3
1534770940,4,2
1534772442,1,1
1534774192,1,2
1534775444,4,0
1534776606,0,3
1534779328,3,2
1534781674,5,0
1534783073,3,0
1534784735,0,2
1534786111,1,3
1534786954,0,1
1534788878,5,1
1534790128,3,2
1534791327,1,1
1534792536,1,1
1534793959,1,1
1534795799,2,1
1534797160,1,2
1534798587,4,3
1534799669,1,4
1534800526,4,1
1534801366,3,2
1534803045,1,1
1534804258,1,3
1534805795,0,1
1534806941,0,3
1534807720,3,0
1534809818,1,4
1534810471,1,0
1534812092,2,3
1534814068,0,2
1534815689,1,2
1534817062,2,1
1534818528,6,2
1534820143,4,5
1534821357,1,4
1534822548,2,4
1534823791,1,4
1534825731,0,4
1534827037,2,4
1534828467,2,2
1534829325,1,0
1534830487,3,1
1534831815,2,0
1534833760,1,2
1534834592,0,2
1534835666,0,1
1534836514,2,1
1534837356,0,1
1534839036,4,1
1534840949,2,2
1534842341,2,2
1534842872,1,0
1534844485,4,1
1534845388,0,2
1534847311,3,4
1534848994,3,4
1534850069,2,1
1534850909,1,1
1534852965,2,3
1534854654,4,4
1534855843,1,2
1534857039,0,2
1534858114,1,1
1534859791,3,2
1534860951,1,1
1534862860,3,1
1534864473,1,2
1534866071,2,2
1534867773,2,1
1534869047,0,6
1534870529,1,0
1534872511,0,4
1534874189,0,3
1534875340,1,1
1534876960,3,2
1534878175,3,2
1534879716,2,1
1534880868,4,3
1534882194,1,3
1534883437,2,4
1534885535,6,1
1534886068,1,1
1534886910,2,3
1534888588,2,0
1534889739,0,1
1534891362,4,0
1534892189,1,1
1534894115,1,3
1534894958,0,3
1534896641,2,3
1534899939,5,7
1534902161,4,6
1534902996,2,2
1534904080,1,1
1534904915,1,0
1534906593,2,4
1534908516,2,2
1534911043,2,0
1534912236,2,0
1534912962,2,1
1534914341,2,1
1534915730,1,4
1534917397,1,5
1534918545,0,3
1534920999,1,2
1534922067,1,1
1534923327,1,0
1534925441,4,2
1534926534,1,0
1534927711,1,3
1534928188,1,1
1534930125,1,2
1534932645,1,2
1534934134,1,0
1534935937,1,1
1534937310,0,1
1534940072,2,3
1534941333,0,2
1534942501,1,0
1534944521,2,4
1534947041,2,5
1534948126,1,0
1534949786,3,1
1534950877,0,2
1534952555,1,2
1534954481,0,1
1534955694,0,1
1534957534,1,2
1534958916,3,1
1534960538,2,1
1534963349,3,0
1534964732,1,1
1534966412,2,3
1534967798,2,0
1534968937,2,1
1534969712,2,1
1534971393,1,2
1534972467,2,2
1534974343,2,0
1534975843,0,1
1534976926,0,2
1534977755,1,0
1534979143,2,2
1534980670,1,0
1534982192,1,0
1534984120,2,1
1534985794,0,4
1534986884,0,1
1534988447,1,2
1534989399,1,1
1534990543,2,1
1534991336,1,0
1534992994,2,0
1534994078,1,1
1534995752,2,3
1534997038,1,1
1534999363,0,1
1535000201,0,2
1535002119,2,2
1535003790,3,3
1535004875,2,1
1535006557,1,2
1535008543,2,1
1535009816,0,2
1535010940,1,0
1535012068,1,1
1535012933,61,0
1535014533,1,15
1535015677,7,1
1535016516,6,4
1535019274,3,14
1535020125,0,3
1535021794,1,2
1535023723,4,3
1535025399,1,2
1535026544,0,1
1535028148,1,3
1535029537,1,1
1535030068,0,1
1535030911,1,1
1535033417,5,4
1535034527,1,1
1535036168,2,2
1535038125,4,4
1535039789,3,2
1535041711,0,1
1535043390,1,2
1535044469,3,3
1535045311,1,2
1535046628,0,1
1535047838,3,3
1535049040,2,3
1535049762,2,2
1535050598,1,1
1535052526,1,4
1535054198,5,4
1535055341,1,2
1535056663,4,4
1535058339,3,5
1535058867,1,1
1535060556,1,1
1535062242,4,4
1535064189,1,1
1535065543,3,4
1535066069,1,0
1535067768,2,4
1535069144,1,1
1535070359,1,5
1535071543,0,3
1535072202,2,1
1535073278,3,2
1535074112,0,1
1535075729,3,2
1535076880,1,3
1535078447,1,1
1535079948,6,1
1535081331,2,1
1535083060,2,1
1535084072,1,1
1535085691,2,2
1535086604,1,0
1535087745,2,2
1535088532,0,1
1535089360,2,0
1535091053,1,3
1535092245,1,1
1535093793,1,0
1535094884,1,1
1535096139,0,2
1535097348,5,1
1535098471,1,0
1535099689,1,2
1535102079,3,2
1535103761,3,1
