DateTime,Entries,UniqueIPs
1531959045,173,173
1531962332,172,172
1531973675,170,170
1531984533,171,171
1531989939,172,172
1531998879,174,174
1532005844,173,173
1532008597,171,171
1532011354,171,171
1532014888,172,172
1532027679,173,173
1532030207,174,174
1532033791,175,175
1532053867,176,176
1532055409,177,177
1532061773,178,178
1532078073,179,179
1532084744,178,178
1532091039,179,179
1532092479,180,180
1532097340,181,181
1532110245,179,179
1532112153,178,178
1532117679,180,180
1532122546,179,179
1532139286,178,178
1532149551,179,179
1532167325,178,178
1532171140,176,176
1532175281,175,175
1532177809,176,176
1532186075,174,174
1532195380,175,175
1532202153,174,174
1532235405,173,173
1532236552,173,173
1532238102,174,174
1532239416,176,176
1532241062,176,176
1532242234,177,177
1532243684,177,177
1532247027,178,178
1532248892,179,179
1532252322,180,180
1532256155,178,178
1532258914,182,182
1532261674,183,183
1532266879,181,181
1532268252,164,164
1532280941,165,165
1532301276,166,166
1532311664,165,165
1532316717,162,162
1532319641,162,162
1532322367,164,164
1532325398,163,163
1532330466,164,164
1532331680,163,163
1532336518,173,173
1532337646,174,174
1532340267,173,173
1532343043,177,177
1532366079,176,176
1532373275,177,177
1532374966,178,178
1532376635,179,179
1532402085,180,180
1532405111,179,179
1532407298,178,178
1532408755,176,176
1532411796,174,174
1532416543,173,173
1532422854,172,172
1532424047,173,173
1532428362,172,172
1532429722,173,173
1532432475,174,174
1532441672,172,172
1532443362,174,174
1532446113,175,175
1532456081,176,176
1532472341,177,177
1532486564,189,189
1532491843,188,188
1532493755,186,186
1532495681,187,187
1532507738,176,176
1532511755,173,173
1532517349,172,172
1532518704,173,173
1532528071,172,172
1532530354,168,168
1532531738,168,168
1532546820,167,167
1532554548,166,166
1532577058,165,165
1532581004,165,165
1532582083,166,166
1532593957,166,166
1532597643,161,161
1532598999,159,159
1532601349,158,158
1532607046,167,167
1532614481,167,167
1532617536,168,168
1532618637,169,169
1532620533,170,170
1532626208,169,169
1532641284,170,170
1532645411,171,171
1532650481,170,170
1532652954,171,171
1532655945,160,160
1532657448,157,157
1532665719,156,156
1532672071,157,157
1532678090,158,158
1532687769,157,157
1532689543,156,156
1532692603,157,157
1532710595,156,156
1532720436,155,155
1532734970,154,154
1532752968,155,155
1532756568,154,154
1532762069,154,154
1532772880,153,153
1532775393,154,154
1532778999,155,155
1532783671,156,156
1532790944,155,155
1532796581,155,155
1532810182,153,153
1532816083,151,151
1532824121,150,150
1532835790,150,150
1532839285,149,149
1532842549,146,146
1532847396,145,145
1532848478,146,146
1532860966,145,145
1532862869,145,145
1532865338,146,146
1532870072,145,145
1532872596,147,147
1532876192,146,146
1532877271,147,147
1532879800,148,148
1532883772,144,144
