DateTime,AddedIPs,RemovedIPs
1534704694,15,25
1534705413,10,11
1534706133,12,19
1534707094,23,16
1534707813,13,15
1534708533,17,16
1534709494,20,25
1534710213,18,14
1534710933,12,14
1534711654,13,16
1534712852,32,20
1534713573,13,4
1534714293,6,16
1534715013,16,6
1534715732,9,9
1534716453,13,8
1534717173,13,11
1534717894,12,10
1534718612,12,13
1534719334,5,9
1534720053,11,8
1534720773,12,13
1534721493,4,8
1534723413,17,24
1534724132,8,9
1534725094,7,17
1534725813,8,8
1534726533,6,18
1534727253,13,6
1534727972,10,7
1534728693,11,12
1534729412,8,7
1534730373,9,13
1534731333,21,6
1534732053,9,10
1534732773,12,5
1534733493,10,13
1534734213,11,11
1534735172,14,11
1534735893,11,5
1534736613,11,11
1534738053,13,16
1534738774,3,7
1534739493,10,11
1534740214,7,11
1534740933,6,9
1534741653,12,11
1534742373,10,8
1534743092,12,6
1534743813,8,5
1534744534,12,11
1534745252,5,9
1534745973,4,13
1534746692,6,5
1534747413,6,9
1534748133,13,9
1534749574,23,13
1534750294,8,6
1534751013,9,7
1534751733,9,7
1534752453,14,12
1534753173,13,9
1534753893,10,7
1534754854,9,9
1534755574,8,11
1534756292,6,5
1534757013,11,9
1534757732,12,7
1534758693,15,6
1534759653,16,9
1534760614,14,8
1534761332,13,7
1534762054,19,7
1534762772,4,4
1534763493,12,6
1534764213,14,6
1534764933,12,10
1534765894,17,8
1534766613,7,6
1534767332,3,7
1534768293,6,5
1534769014,8,8
1534769732,7,3
1534770454,10,7
1534771174,6,5
1534771894,5,8
1534774053,23,19
1534774772,5,2
1534775493,7,8
1534776213,11,10
1534776933,11,4
1534777892,4,7
1534778613,3,7
1534779333,5,6
1534780293,14,7
1534781012,8,8
1534782453,19,31
1534783173,10,11
1534783893,4,4
1534784613,9,6
1534785333,12,6
1534786293,26,7
1534787014,5,10
1534787734,11,5
1534788452,3,9
1534789172,12,3
1534790133,9,7
1534790853,10,8
1534792052,17,9
1534792773,12,8
1534793493,9,8
1534794213,6,9
1534794934,7,3
1534795653,12,6
1534796373,9,9
1534797093,13,8
1534797813,4,7
1534798534,13,7
1534799253,8,21
1534799974,11,7
1534800693,14,2
1534801414,15,6
1534802134,10,4
1534802854,4,9
1534803813,16,9
1534804774,13,10
1534805493,7,5
1534806214,7,5
1534806932,14,7
1534807653,12,5
1534808372,3,3
1534809093,9,6
1534809813,5,1
1534810532,10,4
1534812213,17,9
1534812935,9,3
1534813652,8,6
1534814373,7,7
1534815094,1,9
1534815813,6,8
1534816533,6,2
1534817494,6,12
1534818214,7,5
1534818933,5,6
1534819653,12,7
1534820373,6,4
1534821092,4,5
1534821814,9,6
1534822534,8,8
1534823459,12,10
1534824213,2,4
1534824933,2,4
1534825653,8,6
1534826373,4,4
1534827093,6,5
1534827813,13,5
1534828773,3,12
1534829493,2,10
1534830213,7,5
1534831173,5,11
1534831892,4,2
1534832614,9,5
1534833333,5,5
1534834054,7,5
1534834773,6,4
1534835492,4,4
1534836212,5,8
1534836934,11,4
1534837893,6,12
1534838854,9,13
1534839573,4,4
1534840293,11,8
1534841013,1,4
1534841733,2,3
1534842693,4,8
1534843413,10,7
1534844133,11,9
1534844853,4,7
1534845573,3,7
1534846533,5,9
1534847493,9,12
1534848213,6,9
1534848933,4,5
1534849652,4,5
1534850375,9,11
1534851092,2,9
1534851814,6,11
1534852534,4,11
1534853493,8,3
1534854213,6,4
1534854935,13,9
1534855892,12,7
1534856614,6,8
1534857332,2,7
1534858292,7,6
1534859014,8,5
1534859733,2,5
1534860454,3,11
1534861174,1,5
1534861892,0,4
1534862613,6,8
1534864053,25,9
1534865013,18,3
1534865733,41,3
1534866453,7,10
1534867412,6,10
1534868133,7,4
1534868853,9,10
1534869812,5,5
1534870773,5,6
1534872212,11,15
1534872933,5,20
1534873654,8,7
1534874613,8,7
1534875574,7,12
1534876293,5,8
1534877014,11,7
1534877735,17,10
1534878453,12,4
1534879413,3,12
1534880133,3,4
1534880853,5,6
1534881812,5,9
1534882772,7,10
1534883493,3,12
1534884212,2,3
1534885172,1,13
1534885892,5,7
1534886614,1,11
1534887332,2,7
1534888053,4,10
1534888772,5,8
1534889494,2,6
1534890454,8,12
1534891173,3,8
1534891893,6,7
1534892855,9,9
1534893814,6,13
1534895494,10,14
1534896214,3,3
1534897174,7,12
1534898133,25,5
1534899093,9,8
1534900053,7,14
1534901012,5,7
1534901973,5,4
1534902692,12,4
1534903412,3,9
1534904132,5,5
1534904853,0,9
1534905813,6,9
1534906773,15,9
1534907493,6,5
1534908214,6,7
1534908932,8,4
1534909653,6,10
1534910373,5,2
1534911094,3,5
1534911813,10,5
1534912533,16,5
1534913493,23,8
1534914213,25,14
1534914933,14,4
1534915653,11,2
1534916373,10,7
1534917333,17,4
1534918292,19,5
1534919013,12,10
1534919733,14,4
1534920452,8,3
1534921654,20,13
1534922373,19,2
1534923093,10,5
1534923813,13,2
1534924532,12,5
1534925253,4,6
1534925973,10,6
1534926932,8,11
1534927893,15,3
1534928853,4,3
1534929813,10,7
1534930774,6,10
1534931734,4,6
1534932693,8,6
1534933412,8,4
1534934132,9,7
1534934853,7,5
1534935574,7,5
1534936534,9,9
1534937492,10,4
1534938212,7,4
1534938933,7,2
1534939653,5,4
1534940374,7,7
1534941093,7,12
1534941814,8,9
1534942533,5,7
1534943253,4,4
1534944212,4,4
1534945173,5,8
1534945893,34,2
1534946613,5,3
1534947332,9,4
1534948053,6,0
1534949013,11,7
1534949733,7,7
1534950453,5,18
1534951175,2,16
1534951892,14,39
1534952613,4,7
1534953334,6,3
1534954054,7,5
1534954773,8,6
1534955733,20,7
1534956933,10,5
1534957653,6,6
1534958612,12,6
1534959573,10,6
1534960533,13,11
1534961493,9,5
1534962452,8,4
1534963414,7,11
1534964374,7,20
1534965093,5,8
1534965813,6,3
1534966533,8,5
1534967494,10,8
1534968213,4,1
1534969173,10,7
1534969893,8,3
1534970613,19,2
1534971632,5,14484
1534972293,14497,1
1534973013,5,1
1534973733,6,3
1534974513,4,3
1534975419,9,5
1534976132,4,2
1534978293,18,12
1534979253,7,10
1534980213,4,6
1534981173,9,8
1534982853,13,7
1534983573,5,5
1534984292,6,9
1534985014,7,21
1534985732,6,3
1534986453,2,6
1534987413,9,5
1534988373,13,5
1534989093,5,11
1534989813,9,3
1534990533,8,4
1534991253,1,0
1534992214,6,6
1534993231,0,15143
1534994136,15133,0
1534995094,9,9
1534995812,7,5
1534996533,3,5
1534997253,3,3
1534997973,7,4
1534998934,11,13
1534999894,11,15
1535000613,10,16
1535001333,12,8
1535002293,11,10
1535003013,4,9
1535003734,6,7
1535004692,12,11
1535005414,9,10
1535006133,6,10
1535006853,8,6
1535007575,10,11
1535008293,10,6
1535009014,6,16
1535009974,9,10
1535010693,6,10
1535011413,7,9
1535012133,18,4
1535012853,10,7
1535013574,4,6
1535014292,7,7
1535015013,6,5
1535015733,4,5
1535016454,6,5
1535017173,11,2
1535018132,7,2
1535019093,25,4
1535019813,5,6
1535020533,8,11
1535021494,12,10
1535022214,9,7
1535022932,2,6
1535023893,4,7
1535024613,8,6
1535025333,8,6
1535026052,8,3
1535026772,5,9
1535027493,4,3
1535028213,3,9
1535028933,5,4
1535029654,16,6
1535030372,9,2
1535031094,7,5
1535031814,4,14
1535032533,4,23
1535033492,15,5
1535034213,8,8
1535034933,3,6
1535035654,7,11
1535036373,11,5
1535037333,11,8
1535038053,7,3
1535038773,7,11
1535039493,1,4
1535040214,15,9
1535040933,7,6
1535041894,12,11
1535042613,3,10
1535043333,6,10
1535044054,3,6
1535044773,8,5
1535045732,12,15
1535046693,8,10
1535047654,10,10
1535048374,16,4
1535049094,9,8
1535049812,7,3
1535050532,7,4
1535051493,9,5
1535052214,12,7
1535052933,6,7
1535053653,5,6
1535054374,31,9
1535055094,8,6
1535055813,8,6
1535056534,6,9
1535057257,7,21
1535058693,31,14
1535059412,4,5
1535060132,7,8
1535060853,5,4
1535061573,4,7
1535062294,10,2
1535063012,8,3
1535063974,9,8
1535064695,17,9
1535065894,14,9
1535066613,5,2
1535067332,10,7
1535068309,5,10
1535069014,8,5
1535069733,6,4
1535070934,9,13
1535071653,4,7
1535072372,8,4
1535073092,3,3
1535073814,3,7
1535074533,7,12
1535075493,3,10
1535076453,8,13
1535077173,9,9
1535077892,7,3
1535078853,8,8
1535079573,7,7
1535080294,10,8
1535081013,6,8
1535081974,11,7
1535082693,3,9
1535083653,11,7
1535084372,13,4
1535085094,3,12
1535085812,7,7
1535086534,12,16
1535087253,12,5
1535087973,9,8
1535088693,4,6
1535089412,6,4
1535090133,12,8
1535090854,7,9
1535091573,8,9
1535092294,5,10
1535093014,6,5
1535093734,7,12
1535094694,6,9
1535095413,7,6
1535096132,1,6
1535096853,3,7
1535098054,14,7
1535098773,5,18
1535099493,3,8
1535100213,5,9
1535100933,4,8
1535101653,6,7
1535102372,7,5
1535103092,4,9
1535103813,6,6
1535104535,6,8
1535105254,2,21
