DateTime,AddedIPs,RemovedIPs
1523166032,29,72
1523187881,25,50
1523210024,25,51
1523232058,23,58
1523254107,26,92
1523275979,27,111
1523298053,2,79
1524071369,1236,1323
1524093956,35,12
1524115975,19,12
1524138043,42,8
1524159894,34,13
1524181964,42,21
1524204044,23,17
1524226125,31,8
1524247999,51,7
1524270050,52,45
1524291895,45,47
1524313967,41,33
1524336049,35,52
1524357913,40,33
1524379991,36,57
1524402053,49,26
1524424156,35,37
1524446071,36,53
1524468298,23,57
1524490358,35,51
1524512681,28,48
1524534774,22,41
1524556615,27,19
1524578895,32,58
1524600777,40,33
1524622844,29,40
1524644911,20,41
1524667015,69,39
1524689008,68,29
1524711164,80,49
1524733028,49,33
1524754951,48,38
1524776946,35,23
1524799006,38,29
1524820858,49,36
1524842939,37,48
1524865227,24,33
1524887080,36,57
1524908924,16,33
1524931009,45,28
1524953092,77,26
1524975230,42,33
1524997231,36,41
1525019391,45,40
1525041638,67,15
1525063958,36,30
1525086048,57,35
1525108118,58,39
1525130227,103,43
1525152279,66,47
1525174358,55,39
1525196435,17,28
1525218341,25,38
1525240370,23,13
1525262475,50,26
1525284471,56,29
1525306403,41,39
1525328445,60,50
1525350408,66,37
1525372371,117,21
1525394215,76,46
1525416268,52,47
1525438372,41,37
1525460473,37,34
1525482522,57,33
1525504391,64,22
1525526439,50,32
1525548311,39,24
1525570371,36,0
1525592231,29,23
1525614290,39,25
1525636382,58,34
1525658457,34,40
1525680575,36,23
1525702627,36,41
1525724942,40,31
1525747022,24,62
1525769157,24,20
1525791180,47,18
1525813261,44,17
1525835104,50,19
1525857173,43,18
1525879157,45,17
1525901060,48,3
1525923167,56,0
1525945251,23,0
1525967097,37,0
1525989189,44,0
1526011264,26,0
1526033108,45,0
1526054978,41,0
1526077141,52,0
1526099080,53,0
1526121315,35,0
1526143253,43,0
1526165363,29,0
1526187435,47,0
1526209705,40,0
1526231612,43,0
1526253652,32,0
1526275846,45,0
1526297826,45,0
1526320123,53,0
1526342207,44,0
1526364289,40,0
1526386253,55,0
1526408292,46,0
1526430530,42,0
1526452613,30,0
1526474880,33,0
1526497020,50,0
1526518920,28,0
1526541185,28,0
1526563577,43,0
1526585590,39,0
1526607654,38,0
1526629722,40,0
1526651875,51,0
1526674145,40,934
1526696033,61,23
1526718141,32,14
1526740379,44,25
1526762444,46,22
1526784751,35,27
1526807076,21,16
1526829153,59,29
1526851227,39,26
1526873336,27,36
1526895395,50,38
1526917470,42,38
1526939561,26,36
1526961436,28,24
1526983314,58,24
1527005485,79,26
1527027426,73,40
1527049505,64,20
1527071567,69,24
1527093408,43,38
1527115367,61,23
1527137305,51,21
1527159161,65,24
1527181315,75,22
1527203331,41,20
1527225431,33,17
1527247484,47,31
1527269336,44,47
1527291380,77,58
1527314189,36,55
1527359849,50,60
1527382728,48,21
1527404664,37,39
1527426738,25,26
1527448592,34,42
1527470433,43,18
1527492498,48,32
1527514377,58,16
1527536414,26,42
1527558527,38,48
1527580597,32,37
1527602483,42,22
1527624515,65,29
1527646573,129,43
1527668430,71,26
1527690503,40,39
1527712592,55,46
1527734442,79,78
1527756502,56,50
1527778586,39,53
1527800502,40,13
1527822494,49,14
1527844378,45,19
1527866421,76,39
1527888278,55,42
1527910363,53,35
1527933101,42,61
1527955072,79,54
1527977314,55,104
1527999896,44,56
1528021955,65,41
1528044041,35,39
1528066245,16,38
1528088170,33,49
1528110086,47,56
1528132146,37,38
1528154190,63,34
1528176292,54,22
1528198360,52,38
1528220441,45,45
1528242509,48,35
1528264695,26,28
1528286670,29,33
1528311968,39,27
1528335453,22,40
1528357461,23,14
1528379563,26,17
1528401725,33,46
1528423702,38,46
1528445567,23,40
1528467628,23,37
1528489733,49,37
1528511778,40,50
1528533624,28,40
1528555472,27,32
1528577319,38,30
1528599268,20,37
1528621304,31,27
1528643305,25,43
1528666391,26,35
1528688432,44,50
1528710508,33,35
1528733971,52,36
1528755860,62,35
1528777710,31,22
1528799569,43,47
1528821620,45,33
1528843700,52,34
1528865559,69,23
1528887696,32,38
1528909710,61,47
1528931681,38,41
1528953612,33,46
1528975481,70,39
1528997552,25,55
1529019638,25,38
1529041711,15,41
1529063794,39,36
1529085695,43,36
1529107709,36,40
1529129775,17,16
1529151635,30,19
1529173690,39,44
1529195642,53,38
1529217617,34,43
1529239474,32,34
1529261539,33,40
1529283636,38,41
1529305702,18,65
1529327564,43,34
1529349634,43,51
1529371699,31,32
1529393569,39,46
1529415613,69,24
1529437474,48,44
1529459544,59,34
1529481710,37,32
1529503708,56,43
1529525563,36,34
1529547643,47,19
1529569717,39,34
1529591560,44,54
1529613888,58,64
1529635968,61,78
1529658069,29,59
1529679979,30,72
1529701949,65,49
1529723809,58,63
1529745862,11,53
1529767962,30,71
1529790036,36,68
1529811878,43,41
1529833955,37,31
1529856103,24,44
1529878360,25,48
1529900426,19,0
1529922269,20,75
1529944111,28,39
1529966200,29,0
1529988267,25,50
1530010363,37,77
1530032496,53,25
1530054498,42,27
1530076381,28,35
1530098434,44,55
1530120492,50,46
1530142396,31,36
1530164428,10,42
1530186293,33,33
1530208337,20,40
1530230313,37,59
1530252614,31,156
1530274830,28,68
1530296822,29,40
1530318758,34,57
1530340810,19,55
1530362679,23,55
1530384522,21,49
1530406643,29,39
1530428665,20,50
1530450570,44,56
1530472598,26,80
1530494703,27,56
1530516749,16,0
1530538613,37,48
1530560656,39,35
1530582784,25,91
1530604883,35,108
1530626801,38,66
1530648863,54,43
1530670825,37,17
1530692666,36,28
1530714765,33,39
1530736614,30,43
1530758689,48,48
1530780749,44,63
1530802900,45,61
1530825341,45,38
1530847298,37,39
1530869318,21,31
1530891386,35,35
1530913483,52,0
1530935364,51,56
1530957480,24,24
1530979751,45,23
1531001812,29,25
1531023897,26,47
1531046207,35,26
1531068404,27,26
1531090357,41,55
1531112515,40,33
1531134529,43,26
1531156679,37,21
1531178660,36,29
1531200508,45,21
1531222361,25,30
1531244438,45,36
1531266508,34,40
1531288597,25,35
1531310704,31,37
1531332744,29,46
1531354592,35,58
1531376446,21,29
1531398520,28,47
1531420582,25,23
1531442468,27,46
1531464506,30,66
1531486588,26,29
1531508496,30,51
1531530625,28,45
1531552679,20,30
1531574543,19,61
1531596409,43,27
1531618305,39,22
1531640212,25,29
1531662160,23,38
1531684360,26,43
1531706324,15,38
1531728241,24,29
1531750407,34,34
1531772545,33,35
1531794397,27,51
1531816643,42,30
1531838679,30,33
1531860761,62,30
1531882874,36,45
1531904930,32,22
1531927025,31,56
1531949053,35,47
1531970900,33,27
1531992741,33,39
1532014594,46,80
1532036490,51,59
1532058533,43,56
1532080379,34,48
1532102472,33,62
1532124535,26,30
1532146836,36,51
1532168909,25,46
1532190850,24,53
1532212823,21,64
1532234915,29,86
1532256802,35,33
1532278771,34,39
1532300814,22,96
1532322813,39,79
1532344821,26,26
1532366919,39,41
1532389234,28,50
1532411305,29,37
1532433454,37,38
1532455305,95,32
1532477559,344,30
1532499545,274,22
1532521479,210,17
1532543563,129,20
1532565626,109,19
1532587764,89,26
1532610072,108,29
1532633611,141,37
1532655613,94,38
1532677474,101,28
1532699337,103,43
1532721395,52,46
1532743499,74,24
1532765566,48,13
1532787613,38,23
1532809471,23,21
1532831585,18,28
1532853634,19,21
1532875555,38,23
1532897399,36,23
1532919737,34,35
1532941718,27,11
1532963572,38,25
1532985640,56,22
1533007692,42,17
1533029540,20,17
1533051395,26,33
1533073247,22,29
1533095301,22,26
1533117454,23,13
1533139465,30,34
1533161550,29,39
1533183654,13,21
1533205700,53,27
1533227558,40,35
1533249625,29,41
1533271492,33,26
1533293565,20,23
1533315686,11,25
1533337717,13,31
1533359632,34,33
1533381894,8,33
1533403946,32,35
1533425791,21,41
1533447640,34,36
1533469962,13,24
1533492020,141,30
1533513918,39,43
1533536033,24,36
1533558028,18,25
1533580387,28,38
1533602430,34,36
1533624623,37,19
1533646580,16,30
1533668778,33,32
1533690998,15,35
1533713054,25,31
1533735151,18,30
1533757331,23,40
1533779317,21,42
1533801382,18,34
1533823280,24,37
1533845577,25,42
1533867620,23,31
1533889715,47,16
1533911717,23,21
1533933625,23,25
1533955700,25,37
1533977551,15,23
1533999625,25,34
1534021489,9,28
1534043331,8,25
1534065406,22,29
1534087472,20,23
1534109318,27,30
1534131408,20,27
1534153479,12,18
1534175326,19,17
1534197389,19,40
1534219480,36,28
1534241328,27,19
1534263373,12,20
1534285219,52,26
1534307236,37,14
1534329179,36,23
1534351470,31,31
1534373325,21,35
1534395394,24,22
1534417485,22,25
1534439553,18,29
1534461567,33,57
1534483481,11,37
1534505569,21,22
1534527432,15,34
1534549628,27,35
1534571550,8,30
1534593690,11,27
1534615738,30,17
1534637781,14,42
1534659645,16,23
1534681700,48,28
1534703899,20,18
1534725877,19,21
1534747931,32,14
1534769808,11,20
1534791722,42,18
1534813725,31,14
1534835570,29,15
1534857874,47,19
1534879944,7,16
1535055875,180,187
1535077982,25,140
1535100030,11,90
