DateTime,Entries,UniqueIPs
1534016171,1131,1164
1534020028,1125,1158
1534021939,1143,1175
1534025794,1148,1181
1534027698,1146,1179
1534029628,1147,1180
1534031536,1153,1186
1534033709,1171,1203
1534035640,1194,1226
1534037550,1216,1247
1534039463,1208,1240
1534041393,1218,1251
1534043315,1228,1259
1534045214,1224,1257
1534047152,1219,1251
1534049056,1231,1264
1534050994,1237,1270
1534052914,1235,1270
1534054834,1243,1279
1534056751,1248,1287
1534058670,1244,1283
1534062522,1234,1273
1534064456,1230,1268
1534066350,1242,1280
1534068270,1261,1298
1534070197,1250,1286
1534072112,1277,1313
1534074026,1283,1317
1534076011,1278,1313
1534079786,1259,1295
1534085776,1238,1270
1534087690,1249,1281
1534089878,1253,1285
1534091772,1259,1290
1534093713,1262,1293
1534095616,1259,1293
1534097559,1259,1293
1534099460,1267,1301
1534101379,1267,1301
1534105217,1249,1281
1534107141,1246,1278
1534109050,1241,1272
1534110967,1264,1297
1534112902,1249,1281
1534114826,1256,1288
1534116735,1259,1293
1534118669,1252,1286
1534120571,1244,1280
1534122500,1242,1277
1534124410,1230,1265
1534126586,1236,1270
1534128506,1240,1273
1534132335,1210,1244
1534134266,1216,1253
1534136172,1217,1252
1534138093,1203,1236
1534140022,1187,1220
1534141948,1187,1218
1534143860,1180,1211
1534145783,1169,1200
1534147694,1180,1211
1534149621,1164,1193
1534152037,1151,1179
1534153931,1140,1168
1534155855,1145,1175
1534157782,1137,1166
1534159693,1135,1164
1534161898,1112,1141
1534163773,1106,1135
1534167621,1097,1126
1534169801,1133,1162
1534171694,1161,1190
1534173616,1145,1175
1534175535,1125,1155
1534177457,1120,1150
1534179379,1102,1131
1534181290,1100,1132
1534183231,1082,1113
1534185147,1072,1102
1534187059,1054,1084
1534188983,1041,1072
1534190895,1054,1085
1534192816,1053,1083
1534194736,1058,1088
1534196662,1064,1093
1534198578,1057,1085
1534200497,1068,1096
1534204577,1018,1046
1534206491,1019,1047
1534208448,1008,1035
1534210349,1000,1027
1534214184,959,986
1534216126,957,982
1534221854,934,953
1534223786,940,959
1534225694,948,967
1534227647,968,989
1534229542,957,977
1534231459,970,990
1534233383,967,986
1534235292,974,993
1534237258,995,1015
1534239150,995,1015
1534241062,992,1012
1534242973,968,987
1534244906,962,980
1534246814,953,971
1534248761,968,987
1534250649,995,1014
1534252819,1019,1039
1534256653,985,1005
1534258830,967,987
1534260750,979,1000
1534262666,980,1001
1534264574,959,980
1534268417,926,945
1534270451,938,958
1534272256,959,979
1534274192,968,988
1534276094,986,1006
1534278029,996,1017
1534279951,991,1012
1534281856,989,1010
1534285693,968,987
1534287653,955,974
1534289557,962,981
1534291470,962,981
1534293631,942,960
1534295550,935,953
1534297470,940,956
1534299377,953,969
1534301307,966,982
1534305140,956,972
1534307068,981,997
1534308974,957,974
1534310899,966,983
1534314782,927,943
1534316666,932,948
1534318571,922,938
1534320508,922,938
1534322414,912,929
1534324369,905,926
1534326251,925,946
1534330093,927,948
1534332025,930,952
1534333936,929,951
1534335861,940,963
1534337782,925,948
1534339696,928,953
