DateTime,AddedIPs,RemovedIPs
1534016171,18,6
1534020028,10,19
1534021939,11,20
1534025794,15,13
1534027698,14,5
1534029628,14,9
1534031536,18,10
1534033709,20,5
1534035640,12,5
1534037550,20,15
1534039463,9,0
1534041393,5,6
1534043315,20,1
1534045214,10,15
1534047152,8,0
1534049056,12,16
1534050994,15,15
1534052914,16,5
1534054834,14,17
1534056751,20,13
1534058670,17,12
1534062522,10,18
1534064456,12,19
1534066350,14,10
1534068270,14,7
1534070197,18,12
1534072112,23,10
1534074026,19,17
1534076011,12,19
1534079786,21,36
1534085776,15,34
1534087690,14,6
1534089878,20,2
1534091772,19,28
1534093713,18,4
1534095616,18,17
1534097559,16,5
1534099460,17,10
1534101379,12,3
1534105217,3,22
1534107141,6,21
1534109050,10,13
1534110967,15,7
1534112902,9,0
1534114826,13,18
1534116735,12,8
1534118669,13,2
1534120571,13,5
1534122500,9,2
1534124410,14,11
1534126586,16,5
1534128506,10,8
1534132335,12,18
1534134266,12,18
1534136172,15,14
1534138093,12,5
1534140022,8,0
1534141948,12,9
1534143860,9,4
1534145783,8,0
1534147694,8,9
1534149621,8,9
1534152037,8,22
1534153931,5,0
1534155855,21,14
1534157782,13,20
1534159693,18,11
1534161898,3,8
1534163773,11,15
1534167621,13,19
1534169801,21,34
1534171694,17,0
1534173616,9,31
1534175535,4,0
1534177457,20,14
1534179379,14,7
1534181290,20,18
1534183231,4,3
1534185147,5,7
1534187059,7,12
1534188983,6,8
1534190895,13,21
1534192816,3,7
1534194736,7,8
1534196662,17,14
1534198578,10,0
1534200497,12,14
1534204577,3,21
1534206491,17,6
1534208448,10,11
1534210349,4,0
1534214184,7,24
1534216126,10,6
1534221854,25,23
1534223786,19,0
1534225694,16,0
1534227647,21,36
1534229542,9,0
1534231459,19,6
1534233383,9,16
1534235292,14,12
1534237258,25,10
1534239150,7,6
1534241062,8,0
1534242973,8,5
1534244906,10,17
1534246814,18,19
1534248761,15,13
1534250649,28,0
1534252819,12,18
1534256653,17,25
1534258830,4,13
1534260750,14,14
1534262666,9,0
1534264574,4,14
1534268417,8,14
1534270451,11,15
1534272256,20,6
1534274192,19,0
1534276094,17,5
1534278029,17,0
1534279951,5,7
1534281856,7,7
1534285693,14,24
1534287653,5,14
1534289557,6,12
1534291470,2,6
1534293631,1,14
1534295550,0,8
1534297470,11,6
1534299377,6,9
1534301307,13,7
1534305140,4,10
1534307068,11,16
1534308974,7,12
1534310899,21,24
1534314782,9,49
1534316666,12,27
1534318571,16,15
1534320508,9,15
1534322414,7,10
1534324369,16,4
1534326251,19,5
1534330093,15,4
1534332025,8,8
1534333936,16,11
1534335861,23,1
1534337782,16,19
1534339696,16,3
1534343558,9,13
1534345465,6,10
1534347386,3,12
1534349583,18,9
1534351462,16,17
1534353381,14,0
1534355313,13,15
1534357218,9,6
1534359144,3,9
1534361051,18,2
1534362984,5,11
1534365148,6,4
1534367067,3,7
1534368995,4,6
1534370896,4,5
1534372809,3,17
1534376659,26,7
1534378918,14,1
1534381257,11,5
1534383139,1,5
1534385052,5,2
1534389143,20,26
1534391063,15,14
1534392974,14,7
1534394894,15,7
1534396820,13,12
1534398743,6,18
1534402581,20,21
1534404491,25,12
1534406434,21,1
1534408340,15,10
1534410269,21,10
1534414094,16,6
1534416017,17,7
1534417939,32,6
1534419876,24,2
1534425863,23,9
1534427768,13,9
1534429699,18,6
1534432122,9,5
1534434011,6,11
1534435940,11,9
1534437864,18,3
1534439780,12,5
1534441693,15,4
1534443619,5,3
1534445538,9,13
1534447456,19,11
1534449379,7,0
1534451295,8,9
1534453233,3,8
1534455150,6,14
1534457055,6,8
1534458986,3,17
1534460892,9,8
1534463799,9,7
1534465698,16,10
1534469540,3,8
1534471471,8,8
1534473392,13,23
1534477474,12,3
1534479378,17,13
1534481556,8,18
1534483454,19,0
1534485374,12,17
1534489230,15,39
1534491150,18,8
1534493070,15,0
1534494972,19,21
1534496903,11,0
1534498818,19,8
1534500753,19,0
1534502658,23,8
1534506494,23,10
1534508419,18,2
1534510347,10,3
1534512267,16,0
1534514178,5,3
1534516105,23,0
1534518037,10,10
1534520180,7,5
1534522153,5,6
1534524034,4,9
1534525939,6,2
1534527854,7,5
1534529806,9,11
1534531714,24,12
1534533857,18,0
1534535770,8,6
1534537706,12,0
1534541786,9,0
1534543698,4,8
1534545641,9,6
1534547559,15,7
1534549965,8,12
1534553767,4,9
1534555708,10,12
1534557628,10,0
1534559541,14,6
1534561461,3,5
1534563372,7,4
1534565304,8,8
1534567214,17,3
1534569161,14,8
1534571075,21,16
1534572986,14,25
1534576840,11,41
1534578743,13,14
1534580660,11,10
1534582571,12,14
1534584497,9,7
1534588363,10,9
1534590283,8,4
1534592180,5,9
1534594106,7,14
1534596010,8,17
1534597963,14,11
1534599877,18,16
1534603693,19,24
1534605690,12,6
1534607543,16,11
1534609454,23,9
1534611375,11,12
1534613311,16,3
1534615237,8,13
1534617167,18,15
1534619059,14,3
1534620984,17,10
1534623157,25,5
1534625056,19,10
1534626981,17,5
1534628913,19,10
1534630841,8,6
1534632759,12,7
1534634656,10,11
1534636585,7,10
1534640443,10,3
1534642353,16,6
1534644260,11,5
1534646189,4,8
1534648093,8,0
1534650038,8,1
1534651952,9,3
1534653855,9,3
1534655796,13,8
1534657697,19,0
1534659628,17,12
1534661533,14,18
1534665373,17,43
1534669233,20,34
1534673061,5,14
1534674981,5,13
