DateTime,AddedIPs,RemovedIPs
1534616670,80,126
1534617622,67,88
1534618600,75,61
1534619780,80,78
1534620737,87,68
1534621728,101,90
1534622661,57,75
1534623616,80,71
1534624594,79,12
1534625532,65,29
1534626500,81,47
1534627474,73,94
1534628410,88,86
1534629369,71,75
1534630343,79,71
1534631300,72,73
1534632253,69,74
1534633219,56,65
1534634177,82,94
1534635159,64,14
1534636095,57,85
1534637062,80,73
1534638010,78,7
1534638995,80,75
1534640454,106,125
1534641377,103,71
1534642356,70,84
1534643294,70,74
1534644270,76,47
1534645208,58,63
1534646192,76,54
1534647133,62,72
1534648097,57,61
1534649076,61,104
1534650041,67,52
1534650974,64,75
1534651963,66,63
1534652889,57,75
1534653859,69,68
1534654816,53,74
1534655808,88,55
1534656737,53,62
1534657701,39,64
1534658659,64,95
1534659632,62,87
1534660582,64,75
1534661538,62,58
1534662498,66,65
1534663476,70,85
1534664411,57,76
1534665376,63,78
1534666337,53,82
1534667316,69,61
1534668254,74,71
1534669237,51,72
1534670177,60,60
1534671156,65,62
1534672093,65,98
1534673065,72,77
1534674009,84,83
1534674991,58,79
1534675932,76,64
1534676903,67,72
1534677852,73,83
1534678816,77,75
1534679788,78,77
1534680749,71,85
1534681693,92,107
1534682674,82,71
1534683624,85,82
1534684582,70,68
1534685537,72,72
1534686500,73,69
1534687476,69,76
1534688414,68,83
1534689371,87,67
1534690352,62,73
1534691293,61,78
1534692256,80,63
1534693213,78,83
1534694453,76,89
1534695376,79,75
1534696349,71,86
1534697303,75,84
1534698266,69,88
1534699209,75,92
1534700192,71,72
1534701133,80,86
1534702097,67,87
1534703091,64,77
1534704258,68,78
1534705218,67,81
1534706204,63,89
1534707145,67,92
1534708096,72,64
1534709068,74,106
1534710017,72,96
1534710982,65,7
1534711940,70,43
1534712904,68,74
1534713858,126,124
1534714813,108,111
1534715796,75,97
1534716743,75,67
1534717696,59,88
1534718670,75,113
1534719627,103,103
1534720576,75,82
1534721555,60,108
1534723515,76,178
1534724651,67,81
1534725616,69,176
1534726584,71,10
1534727544,80,183
1534728489,62,12
1534729474,86,134
1534730437,60,47
1534731423,54,78
1534732336,69,13
1534733296,85,81
1534734277,60,144
1534735239,83,99
1534736171,65,8
1534737147,73,172
1534738108,93,86
1534739066,71,18
1534740010,71,64
1534740985,77,187
1534741934,53,3
1534742892,103,81
1534743871,83,160
1534744830,172,126
1534745775,145,49
1534746766,84,162
1534747695,79,99
1534748662,67,17
1534749627,87,178
1534750582,63,12
1534751532,80,81
1534752511,72,168
1534753459,69,13
1534754427,94,180
1534755369,76,9
1534756349,97,114
1534757290,101,98
1534758273,70,86
1534759255,93,83
1534760185,92,99
1534761136,78,96
1534762112,97,76
1534763056,100,83
1534764027,111,98
1534764991,113,121
1534765959,87,13
1534766893,113,97
1534767859,118,113
1534768813,74,107
1534769799,121,95
1534770742,114,115
1534771695,91,116
1534774141,104,215
1534775052,98,113
1534776032,91,109
1534776987,182,150
1534777964,147,207
1534778891,142,164
1534779859,115,151
1534780821,121,115
1534782059,121,88
1534782975,114,101
1534783948,117,102
1534784892,112,108
1534785867,132,97
1534786815,114,108
1534787783,108,97
1534788738,131,79
1534789697,126,113
1534790652,142,93
1534791650,144,86
1534792828,148,447
1534793775,109,12
1534794728,110,76
1534795702,111,151
1534796659,118,42
1534797611,101,8
1534798581,83,27
1534799543,93,140
1534800493,106,7
1534801465,107,78
1534802425,90,92
1534803393,124,163
1534804334,114,5
1534805292,58,87
1534806280,50,134
1534807210,109,14
1534808172,128,91
1534809148,68,72
1534810097,114,57
1534811066,117,68
1534812282,131,63
1534813217,107,76
1534814181,125,67
1534815153,105,80
1534816099,97,63
1534817163,96,68
1534818273,78,55
1534819211,126,112
1534820169,115,62
1534821150,92,67
1534822098,85,73
1534823052,90,70
1534824016,70,67
1534824989,82,66
1534825939,74,70
1534826890,90,57
1534827875,94,71
1534828840,93,85
1534829774,85,71
1534830737,70,69
1534831693,80,68
1534832688,73,90
1534833615,71,63
1534834574,91,79
1534835562,72,83
1534836500,82,65
1534837457,64,69
1534838436,61,82
1534839377,18,93
1534840361,9,100
1534841299,12,158
1534842265,16,106
