DateTime,Entries,UniqueIPs
1534616669,2058,2060
1534617620,2053,2055
1534618599,2063,2065
1534619778,2047,2049
1534620735,2041,2043
1534621725,2027,2029
1534622659,2030,2032
1534623614,2016,2018
1534624593,2022,2024
1534625529,2030,2032
1534626498,2027,2029
1534627473,2025,2027
1534628409,2030,2033
1534629368,2014,2017
1534630341,1980,1983
1534631299,1952,1955
1534632251,1952,1955
1534633217,1944,1947
1534634176,1940,1943
1534635157,1904,1907
1534636094,1916,1919
1534637060,1893,1896
1534638009,1877,1880
1534638994,1881,1884
1534640453,1862,1865
1534641374,1848,1851
1534642355,1836,1839
1534643292,1830,1833
1534644269,1834,1837
1534645207,1831,1834
1534646190,1809,1812
1534647131,1800,1803
1534648096,1798,1801
1534649074,1793,1796
1534650040,1785,1788
1534650972,1776,1779
1534651961,1776,1779
1534652888,1772,1776
1534653857,1771,1775
1534654815,1768,1772
1534655807,1764,1768
1534656735,1763,1767
1534657699,1747,1751
1534658656,1748,1752
1534659630,1734,1738
1534660580,1733,1737
1534661535,1733,1737
1534662496,1725,1729
1534663475,1718,1722
1534664409,1712,1716
1534665374,1709,1713
1534666335,1705,1709
1534667314,1715,1719
1534668251,1720,1724
1534669235,1701,1705
1534670175,1698,1702
1534671154,1695,1699
1534672092,1700,1704
1534673063,1693,1696
1534674008,1693,1696
1534674990,1684,1687
1534675930,1681,1684
1534676901,1682,1685
1534677850,1691,1694
1534678815,1702,1705
1534679787,1702,1705
1534680747,1698,1701
1534681692,1707,1710
1534682672,1722,1725
1534683621,1711,1714
1534684581,1715,1719
1534685536,1711,1715
1534686498,1712,1716
1534687474,1718,1722
1534688412,1725,1729
1534689370,1735,1738
1534690350,1736,1739
1534691292,1744,1747
1534692254,1758,1761
1534693212,1754,1757
1534694451,1752,1755
1534695374,1760,1763
1534696348,1749,1752
1534697300,1750,1753
1534698265,1762,1765
1534699208,1763,1767
1534700191,1757,1761
1534701131,1760,1764
1534702095,1751,1754
1534703090,1758,1761
1534704257,1756,1759
1534705217,1759,1762
1534706203,1757,1760
1534707144,1751,1754
1534708094,1754,1757
1534709066,1745,1748
1534710016,1746,1749
1534710980,1750,1753
1534711939,1754,1757
1534712903,1755,1758
1534713855,1760,1763
1534714812,1752,1755
1534715795,1749,1752
1534716741,1752,1755
1534717695,1749,1752
1534718668,1738,1741
1534719625,1729,1732
1534720574,1737,1740
1534721553,1738,1741
1534723513,1701,1704
1534724648,1696,1699
1534725615,1670,1673
1534726583,1678,1681
1534727542,1666,1669
1534728487,1651,1654
1534729472,1631,1634
1534730436,1616,1619
1534731420,1609,1612
1534732334,1594,1597
1534733295,1603,1606
1534734275,1597,1600
1534735237,1592,1595
1534736170,1592,1595
1534737146,1590,1593
1534738107,1598,1601
1534739065,1610,1613
1534740008,1608,1611
1534740983,1608,1611
1534741931,1605,1608
1534742891,1605,1608
1534743869,1606,1609
1534744828,1605,1608
1534745774,1612,1615
1534746764,1613,1616
1534747694,1615,1618
1534748659,1609,1612
1534749625,1608,1611
1534750581,1600,1603
1534751530,1598,1600
1534752510,1585,1587
1534753458,1585,1587
1534754425,1572,1574
1534755367,1572,1575
1534756348,1579,1582
1534757288,1580,1583
1534758271,1574,1577
1534759253,1575,1578
1534760184,1570,1573
1534761135,1572,1575
1534762111,1572,1575
1534763055,1585,1588
1534764025,1594,1597
1534764989,1601,1604
1534765957,1597,1600
1534766892,1600,1603
1534767858,1603,1606
1534768812,1600,1603
1534769798,1611,1614
1534770740,1616,1619
1534771693,1625,1628
1534774139,1631,1634
1534775050,1639,1642
1534776031,1639,1642
1534776985,1642,1645
1534777963,1640,1643
1534778890,1649,1652
1534779858,1648,1651
1534780819,1663,1666
1534782057,1658,1661
1534782974,1662,1665
1534783947,1666,1670
1534784890,1674,1678
1534785865,1677,1681
1534786814,1671,1675
1534787782,1671,1675
1534788737,1679,1683
1534789696,1686,1690
1534790649,1712,1717
1534791649,1742,1747
1534792827,1763,1768
1534793774,1791,1796
1534794726,1819,1824
1534795700,1851,1856
1534796658,1876,1881
1534797609,1908,1913
1534798579,1929,1935
1534799542,1941,1947
1534800491,1960,1966
1534801462,1986,1992
1534802424,1994,2000
1534803392,2003,2009
1534804332,2039,2045
1534805290,2045,2051
1534806279,2035,2041
1534807209,2057,2063
1534808170,2074,2080
1534809146,2102,2108
1534810096,2128,2134
1534811064,2145,2151
1534812279,2189,2195
1534813215,2209,2215
1534814180,2243,2249
1534815151,2284,2290
1534816097,2305,2311
1534817161,2345,2351
1534818271,2346,2352
1534819210,2409,2415
1534820168,2446,2451
1534821148,2463,2468
1534822095,2465,2470
1534823051,2496,2501
1534824013,2507,2512
1534824987,2523,2528
1534825938,2536,2541
1534826889,2559,2565
1534827873,2575,2581
1534828839,2600,2607
1534829773,2612,2619
1534830734,2614,2621
1534831691,2617,2624
1534832686,2628,2635
1534833613,2642,2649
1534834573,2647,2654
1534835560,2659,2666
1534836497,2663,2670
1534837455,2656,2663
1534838434,2649,2656
1534839375,2642,2649
1534840357,2632,2639
1534841297,2623,2630
1534842261,2610,2617
1534843210,2603,2610
1534844191,2591,2598
1534845154,2577,2584
1534846097,2566,2573
1534847056,2554,2561
1534848017,2540,2547
1534848991,2529,2536
1534849938,2519,2526
1534850897,2500,2507
1534851877,2481,2488
1534853092,2481,2488
1534854011,2469,2476
1534854987,2461,2468
1534855954,2490,2497
1534856899,2554,2561
1534857856,2712,2719
1534858813,2779,2786
1534859790,2918,2925
1534860742,3019,3026
1534861699,3057,3064
1534862672,3104,3110
1534863644,3129,3135
1534864581,3134,3140
1534865541,3134,3140
1534866510,3126,3132
1534867491,3128,3134
1534868416,3138,3144
1534869387,3132,3138
1534870331,3145,3151
1534871309,3146,3152
1534872270,3153,3159
1534873213,3162,3168
1534874179,3165,3171
1534875146,3161,3167
1534876095,3172,3178
