DateTime,AddedIPs,RemovedIPs
1534616669,5,10
1534617620,4,5
1534618599,10,11
1534619778,3,6
1534620735,10,5
1534621725,6,9
1534622659,3,7
1534623614,9,4
1534624593,7,4
1534625529,8,0
1534626498,5,4
1534627473,5,10
1534628409,16,8
1534629368,4,5
1534630341,5,9
1534631299,7,10
1534632251,9,10
1534633217,4,5
1534634176,14,14
1534635157,13,6
1534636094,12,12
1534637060,17,20
1534638009,13,22
1534638994,17,13
1534640453,35,36
1534641374,17,21
1534642355,18,19
1534643292,15,30
1534644269,19,24
1534645207,7,8
1534646190,14,21
1534647131,14,11
1534648096,13,10
1534649074,9,14
1534650040,14,10
1534650972,10,8
1534651961,12,12
1534652888,8,6
1534653857,14,17
1534654815,9,17
1534655807,11,12
1534656735,18,14
1534657699,3,7
1534658656,8,11
1534659630,3,6
1534660580,12,12
1534661535,15,8
1534662496,13,10
1534663475,8,7
1534664409,12,15
1534665374,13,12
1534666335,12,18
1534667314,18,13
1534668251,16,17
1534669235,6,12
1534670175,11,9
1534671154,7,10
1534672092,17,13
1534673063,4,7
1534674008,15,17
1534674990,8,9
1534675930,7,16
1534676901,11,6
1534677850,13,7
1534678815,20,9
1534679787,12,15
1534680747,10,7
1534681692,16,6
1534682672,21,10
1534683621,4,5
1534684581,12,7
1534685536,11,5
1534686498,9,7
1534687474,12,6
1534688412,11,10
1534689370,16,2
1534690350,8,7
1534691292,15,8
1534692254,16,8
1534693212,8,2
1534694451,16,8
1534695374,8,9
1534696348,9,9
1534697300,7,8
1534698265,12,5
1534699208,9,9
1534700191,8,16
1534701131,3,8
1534702095,8,8
1534703090,12,10
1534704257,9,6
1534705217,9,9
1534706203,3,9
1534707144,3,8
1534708094,3,10
1534709066,2,8
1534710016,5,15
1534710980,4,7
1534711939,8,8
1534712903,11,6
1534713855,5,9
1534714812,5,8
1534715795,6,6
1534716741,3,6
1534717695,7,10
1534718668,4,10
1534719625,5,9
1534720574,8,12
1534721553,7,9
1534723513,17,33
1534724648,8,26
1534725615,10,25
1534726583,8,13
1534727542,9,27
1534728487,4,12
1534729472,10,16
1534730436,9,19
1534731420,1,3
1534732334,6,22
1534733295,20,10
1534734275,4,11
1534735237,9,13
1534736170,10,12
1534737146,6,8
1534738107,20,14
1534739065,18,11
1534740008,15,10
1534740983,17,11
1534741931,9,12
1534742891,14,10
1534743869,8,12
1534744828,10,9
1534745774,13,9
1534746764,13,4
1534747694,10,9
1534748659,4,7
1534749625,6,6
1534750581,7,7
1534751530,9,16
1534752510,5,13
1534753458,13,7
1534754425,4,10
1534755367,13,9
1534756348,16,13
1534757288,11,7
1534758271,7,12
1534759253,8,14
1534760184,12,11
1534761135,11,12
1534762111,16,14
1534763055,19,11
1534764025,16,10
1534764989,16,19
1534765957,11,19
1534766892,10,9
1534767858,9,12
1534768812,7,14
1534769798,16,16
1534770740,12,10
1534771693,14,10
1534774139,29,28
1534775050,10,16
1534776031,7,6
1534776985,11,13
1534777963,6,9
1534778890,11,9
1534779858,7,8
1534780819,15,12
1534782057,13,12
1534782974,12,7
1534783947,10,9
1534784890,17,8
1534785865,19,4
1534786814,2,0
1534787782,8,4
1534788737,18,3
1534789696,13,7
1534790649,27,0
1534791649,48,5
1534792827,29,8
1534793774,38,6
1534794726,36,4
1534795700,47,1
1534796658,32,4
1534797609,40,7
1534798579,28,8
1534799542,21,5
1534800491,27,4
1534801462,32,10
1534802424,14,6
1534803392,19,9
1534804332,46,8
1534805290,15,5
1534806279,2,11
1534807209,31,10
1534808170,50,10
1534809146,28,13
