DateTime,Entries,UniqueIPs
1433333787,101,381192
1433333787,101,381192
1433333787,101,381192
1433333787,101,381192
1433333787,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1438796967,101,381192
1441246525,103,382232
1444359278,112,383252
1446592594,114,385300
1452023189,115,386324
1456986150,107,386328
1459872962,108,386584
1460478568,109,387608
1462498435,118,387604
1465305233,119,387860
1467904696,122,389972
1470167278,134,405918
1473169220,119,388457
1473283131,117,392014
1475589293,132,397598
1478173292,134,399646
1481145897,139,403486
1483495873,138,403742
1486522156,140,405790
1488923495,139,399630
1491334704,144,409886
1493762773,146,411934
1496897415,148,413982
1501721110,153,424227
1507153338,154,425251
1509995749,157,427555
1512589748,159,427557
1515164180,147,428765
1518032614,171,429601
1520471040,159,429789
1522154355,175,431654
1522795262,145,431670
1525193298,146,432694
1525193298,146,432694
1525193298,146,432694
1525193298,146,432694
1525193298,146,432694
1525193298,146,432694
1528406399,149,433207
1530653065,149,433975
1533687433,156,434514
