DateTime,Entries,UniqueIPs
1433333787,36,64240
1433333787,36,64240
1433333787,36,64240
1433333787,36,64240
1433333787,36,64240
1438796967,36,64240
1438796967,36,64240
1438796967,36,64240
1438796967,36,64240
1438796967,36,64240
1438796967,36,64240
1438796967,36,64240
1444359278,45,68596
1454432278,46,68612
1456986150,32,68120
1462498435,33,69144
1470167278,227,73302
1473169220,224,73277
1473283131,240,72745
1475589293,243,72449
1483495873,247,72441
1486522156,244,75065
1488923495,223,71836
1491334704,244,75065
1496897415,245,76089
1501721110,246,76345
1504740224,241,70210
1512589748,240,70978
1515164180,70,71646
1518032614,241,72770
1520471040,70,69342
1522154355,250,70717
1522795262,251,71741
1522795262,256,71761
1525193298,257,73809
1525193298,257,73809
1525193298,257,73809
1525193298,257,73809
1525193298,257,73809
1525193298,257,73809
1533687433,259,75089
