DateTime,Entries,UniqueIPs
1433333787,414,2577570
1433333787,414,2577570
1433333787,414,2577570
1433333787,414,2577570
1433333787,414,2577570
1436356244,416,2579618
1438796967,418,2582690
1438796967,418,2582690
1438796967,418,2582690
1438796967,418,2582690
1438796967,418,2582690
1438796967,418,2582690
1438796967,418,2582690
1438796967,418,2582690
1441246525,420,2587810
1444359278,427,2728090
1446592594,430,2736538
1449013155,431,2802074
1452023189,432,2818458
1454432278,425,2849322
1456986150,422,2849066
1459872962,424,2859306
1460478568,426,2859818
1462498435,435,2859302
1465305233,437,2859814
1467904696,462,2863022
1470167278,473,2838958
1473169220,354,2851248
1473283131,398,2853196
1475589293,531,2845925
1481145897,530,2844893
1483495873,534,2846941
1486522156,519,2848762
1488923495,522,2854106
1491334704,519,2851546
1493762773,531,2881242
1496897415,537,2884890
1499195950,483,2650258
1501721110,524,2671470
1504740224,524,2674542
1507153338,450,2677756
1509995749,451,2678780
1512589748,454,2679038
1515164180,453,2678014
1518032614,459,2680336
1520471040,451,2660276
1522154355,454,2661396
1522795262,442,2661432
1525193298,446,2663224
1525193298,446,2663224
1525193298,446,2663224
1525193298,446,2663224
1525193298,446,2663224
1525193298,446,2663224
1528406399,445,2672440
1530653065,448,2675000
1533687433,447,2711096
