DateTime,Entries,UniqueIPs
1433333787,70,1095463
1433333787,70,1095463
1433333787,70,1095463
1433333787,70,1095463
1433333787,70,1095463
1436356244,71,1096487
1438796967,73,1098535
1438796967,73,1098535
1438796967,73,1098535
1438796967,73,1098535
1438796967,73,1098535
1438796967,73,1098535
1438796967,73,1098535
1438796967,73,1098535
1441246525,74,1099559
1444359278,69,1099552
1446592594,71,1100832
1449013155,72,1101088
1452023189,74,1103136
1454432278,75,1104160
1465305233,76,1105184
1470167278,77,1106208
1473169220,75,1103520
1473283131,76,1107616
1475589293,80,1109025
1481145897,81,1110049
1483495873,82,1111073
1486522156,84,1112609
1491334704,79,1106593
1493762773,81,1108897
1496897415,82,1109921
1499195950,79,1096353
1501721110,81,1102497
1504740224,84,1112225
1507153338,85,1112353
1509995749,83,1113633
1512589748,98,1106717
1515164180,88,1108769
1518032614,89,1109793
1520471040,88,1108521
1522154355,87,1107497
1522795262,88,1107561
1525193298,90,1109609
1525193298,90,1109609
1525193298,90,1109609
1525193298,90,1109609
1525193298,90,1109609
1525193298,90,1109609
1528406399,93,1111401
1530653065,94,1112425
1533687433,95,1113449
