DateTime,Entries,UniqueIPs
1433333787,324,2795840
1433333787,324,2795840
1433333787,324,2795840
1433333787,324,2795840
1433333787,324,2795840
1436356244,325,2796864
1438796967,328,2799168
1438796967,328,2799168
1438796967,328,2799168
1438796967,328,2799168
1438796967,328,2799168
1438796967,328,2799168
1438796967,328,2799168
1438796967,328,2799168
1441246525,328,2798656
1444359278,327,2799418
1446592594,330,2801722
1449013155,329,2802234
1452023189,332,2812474
1454432278,335,2814778
1456986150,356,2818645
1459872962,357,2694874
1460478568,341,2688602
1462498435,343,2689210
1465305233,348,2694330
1467904696,354,2696762
1470167278,378,2698170
1473169220,353,2815881
1473283131,356,2695922
1475589293,403,2700180
1478173292,414,2712084
1481145897,419,2717268
1483495873,418,2719060
1486522156,419,2712724
1488923495,427,2696260
1491334704,419,2706836
1493762773,420,2707092
1496897415,421,2708116
1499195950,424,2709142
1501721110,417,2721106
1504740224,418,2718803
1507153338,420,2720083
1509995749,422,2725459
1512589748,427,2727254
1515164180,419,2731866
1518032614,439,2731602
1520471040,441,2737746
1522154355,455,2737113
1522795262,447,2737149
1525193298,448,2738173
1525193298,448,2738173
1525193298,448,2738173
1525193298,448,2738173
1525193298,448,2738173
1525193298,448,2738173
1528406399,448,2738165
1530653065,450,2739445
1533687433,451,2740470
