DateTime,Entries,UniqueIPs
1503103204,884,9596
1503190323,884,9596
1503277684,881,9593
1503365043,884,9596
1503452162,879,9560
1503539285,882,9563
1503626404,880,9561
1503713522,891,9572
1503800644,887,9568
1503887762,886,9567
1503974883,889,9570
1504062244,887,9823
1504149362,883,9564
1504236484,880,9561
1504323603,882,9563
1504497842,870,9551
1504584962,876,9557
1504672324,864,9545
1504759443,858,9284
1504846562,860,9286
1504933685,858,9284
1505151603,864,9290
1505238722,859,9030
1505325843,859,8775
1505412964,857,8773
1505587442,855,8771
1505674563,846,8762
1505761685,851,8001
1505848805,852,8002
1505935925,854,8004
1506023042,853,8003
1506110416,849,7999
1506197523,844,7484
1506284884,838,7478
1506372002,840,7480
1506459122,840,7480
1506546243,833,7473
1506633365,836,7476
1506720483,833,7218
1506807846,833,7218
1506895451,839,7224
1506982563,844,7229
1507070165,831,7216
1507157767,828,7213
1507244885,827,7212
1507332003,830,7215
1507419123,840,7225
1507506965,817,6947
1507594082,820,6950
1507681203,809,6683
1507768322,809,6683
1507855442,806,6679
1507942563,815,6943
1508029925,810,6682
1508117283,817,6689
1508204402,813,6685
1508291522,822,6693
1508378644,817,6688
1508465770,830,6701
1508552883,838,6710
1508640004,845,6717
1508727363,835,6707
1508814723,836,6709
1508901843,828,6700
1508989203,826,6952
1509076322,834,6960
1509163443,836,6962
1509250804,824,6950
1509337924,823,6949
1509425043,824,7974
1509512163,812,7962
1509686642,819,7969
1509773762,818,7968
1509860882,809,7959
1509948016,825,7976
1510035122,819,7970
1510122485,819,7970
1510209604,819,7970
1510296722,830,7981
1510383845,824,7975
1510470964,819,7970
1510558324,813,6115
1510645444,812,6625
1510732563,813,6371
1510819682,814,6372
1510907525,817,6376
1510994645,818,6377
1511081764,812,6371
1511169122,819,6378
1511256243,822,6381
1511343605,826,6385
1511430723,821,6379
1511517845,834,6647
1511605213,832,6644
1511779682,848,6853
1511866811,860,6865
1511953929,859,6864
1512041044,853,6858
1512128163,852,6602
1512302406,848,6598
1512389523,925,6675
1512476643,947,6697
1512564004,961,6711
1512651364,969,6464
1512738723,984,6479
1512825843,979,6474
1512912963,973,6468
1513000083,985,6480
1513087204,996,6492
1513174564,999,6495
1513261925,996,6492
1513349043,1013,6509
1513436163,1008,6504
1513523284,1015,6511
1513610645,1022,6773
1513697763,1033,6784
1513784882,1027,6778
1513872247,1079,7085
1514046722,1088,7094
1514134084,1077,7083
1514308802,1080,7086
1514395925,1088,7094
1514483283,1092,7098
1514570644,1094,7100
1514657763,1091,7352
1514744884,1080,7341
1514832003,1076,7337
1514919124,1079,7340
1515006243,1086,7348
1515093366,1089,7351
1515180483,1097,7359
1515267842,1094,7101
1515354964,1085,7092
1515442084,1105,7112
1515529443,1121,7128
1515616565,1133,7395
1515703682,1127,7389
1515790812,1136,7398
1515965042,1129,7264
1516052164,1146,7281
1516139283,1154,7289
1516226409,1159,7294
1516314005,1172,7307
1516401122,1184,7318
1516488244,1190,7324
1516575373,1198,7331
1516662483,1195,7838
1516749602,1199,7587
1516836723,1201,7589
1516923842,1208,7341
1517010974,1210,7343
1517098323,1200,7078
1517185442,1191,7069
1517272561,1199,6312
1517359683,1207,6320
1517446810,1215,6327
1517533924,1225,6337
1517621043,1228,6341
1517708404,1216,6329
1517795522,1214,6327
1517882643,1238,6606
1517969764,1238,6606
1518057125,1242,6354
1518144247,1251,6363
1518231366,1250,6617
1518318728,1243,6610
1518405847,1236,6603
1518493207,1231,6598
1518580567,1228,6595
1518667688,1245,7379
1518755045,1239,7373
1518842167,1259,7393
1519016420,1252,7386
1519103531,1271,7405
1519190647,1271,7405
1519277765,1267,7401
1519364892,1276,7411
1519452019,1278,7413
1519539381,1270,7405
1519626486,1265,7145
1519713612,1259,7139
1519800727,1296,7432
1519888089,1297,7433
1519975205,1301,7437
1520062332,1295,7431
1520149446,1300,7436
1520236591,1306,7443
1520323924,1306,7696
1520411043,1312,7702
1520498162,1311,7701
1520585284,1324,7714
1520672414,1314,7704
1520759765,1310,7700
1520846884,1314,7704
1520934003,1316,7705
1521021122,1325,7714
1521108244,1330,7719
1521195604,1345,7734
1521282727,1351,7740
1521369848,1344,7733
1521457217,1351,7740
1521544323,1356,7745
1521631444,1356,7745
1521718806,1356,7745
1521805924,1360,7749
1521893284,1357,7746
1521980652,1356,7745
1522067765,1355,7744
1522154884,1357,7746
1522242010,1363,7752
1522329124,1367,7756
1522416244,1367,7756
1522503362,1362,7751
1522590724,1366,7754
1522677842,1370,7758
1522764963,1371,7759
1522852085,1368,7756
1522939204,1377,7765
1523026324,1373,7761
1523113683,1375,7764
1523200802,1370,7759
1523287923,1370,7759
1523375042,1365,7754
1523462163,1362,7751
1523549283,1355,7489
1523637366,1359,7493
1523724483,1352,7486
1523811604,1346,7480
1523898967,1346,7479
1523986084,1351,7484
1524073204,1333,7720
1524160323,1327,7714
1524247445,1324,7456
1524334564,1331,7463
1524421700,1321,7453
1524509044,1328,7460
1524596411,1319,6940
1524683524,1311,6932
1524770642,1315,6936
1524857763,1318,6939
1524944882,1323,6944
1525032247,1310,5908
1525119366,1317,5915
1525206483,1322,5921
1525293843,1309,5908
1525380966,1307,5906
1525468088,1307,6161
1525555202,1292,6146
1525642563,1295,7172
1525729683,1292,7169
1525817045,1293,7170
1525904164,1280,7220
1525991525,1275,7215
1526078884,1283,7223
1526166244,1288,7228
1526253602,1275,7215
1526361365,1270,7209
1526448726,1272,7211
1526535843,1285,7224
1526622964,1288,7482
1526710324,1292,7486
1526797443,1284,6967
1526884804,1282,6965
1526971926,1281,6964
1527059044,1280,7218
1527146402,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
1527233523,1271,7465
