DateTime,AddedIPs,RemovedIPs
1531681215,6,1
1531688415,2,0
1531695616,1,0
1531699217,4,0
1531724416,1,0
1531728015,0,1
1531731615,3,5
1531735216,0,3
1531746015,1,0
1531756815,0,1
1531760415,1,0
1531764015,1,0
1531771215,1,0
1531774815,2,2
1531792814,0,1
1531803615,1,0
1531828814,1,0
1531836016,1,0
1531843214,0,1
1531846816,0,1
1531854016,1,0
1531857615,1,0
1531864814,0,1
1531868416,1,0
1531875615,2,0
1531882815,0,1
1531890022,1,0
1531897217,1,0
1531900815,8,0
1531904415,0,2
1531911616,7,0
1531915215,1,0
1531922417,0,1
1531926017,0,1
1531933215,0,1
1531944016,0,6
1531947616,0,1
1531951216,0,1
1531954816,0,1
1531965614,0,1
1531969217,0,1
1531976416,0,1
1531980015,0,1
1531990815,0,1
1532008816,0,3
1532019615,0,1
1532026817,0,1
1532030416,1,1
1532034020,1,1
1532037615,1,0
1532041216,1,0
1532048415,0,1
1532052015,1,0
1532055615,0,1
1532059213,1,0
1532062813,0,1
1532073616,2,1
1532077216,0,2
1532084417,2,1
1532088021,2,0
1532109617,2,1
1532113216,1,1
1532116814,4,0
1532120416,1,1
1532127616,2,0
1532152816,2,1
1532160016,0,2
1532163616,0,1
1532167217,0,1
1532174415,0,1
1532192417,1,1
1532196015,1,1
1532206817,3,0
1532210416,1,0
1532214018,6,0
1532217617,0,1
1532221216,0,1
1532242816,0,4
1532246417,0,10
1532250015,1,4
1532253615,0,7
1532257215,2,4
1532264414,0,3
1532275215,2,7
1532278814,0,4
1532282412,2,0
1532286020,0,4
1532289615,2,0
1532293214,0,1
1532296817,1,0
1532300416,0,1
1532304014,0,2
1532322013,0,2
1532325615,2,0
1532329214,1,2
1532336412,1,3
1532350814,0,1
1532365219,1,1
1532368815,0,1
1532372419,1,0
1532376013,0,1
1532379614,0,4
1532386814,0,3
1532397614,0,1
1532401213,1,0
1532412013,1,0
1532415613,1,0
1532430014,1,0
1532433614,1,2
1532437213,1,0
1532444414,0,1
1532451615,1,0
1532458813,0,2
1532462414,1,0
