DateTime,Entries,UniqueIPs
1533280028,6047,6047
1533283629,6052,6052
1533287219,6085,6085
1533290825,6219,6219
1533294437,6388,6388
1533298045,6520,6520
1533301649,6601,6601
1533305260,6731,6731
1533308860,6802,6802
1533312467,6878,6878
1533316063,6930,6930
1533319668,6979,6979
1533323268,7038,7038
1533326878,7089,7089
1533330487,7162,7162
1533334093,7214,7214
1533337681,7188,7188
1533341282,7196,7196
1533344881,7204,7204
1533348479,7221,7221
1533352080,7248,7248
1533355681,7234,7234
1533359286,7280,7280
1533362887,7291,7291
1533366483,7289,7289
1533370080,7314,7314
1533373686,7342,7342
1533377293,7349,7349
1533380894,7355,7355
1533384494,7345,7345
1533388087,7341,7341
1533391682,7336,7336
1533395292,7364,7364
1533398892,7351,7351
1533402505,7424,7424
1533406101,7449,7449
1533409692,7471,7471
1533413300,7499,7499
1533416902,7528,7528
1533420502,7582,7582
1533424101,7595,7595
1533427701,7581,7581
1533431299,7583,7583
1533434901,7584,7584
1533438505,7614,7614
1533442099,7612,7612
1533445704,7639,7639
1533449305,7639,7639
1533452900,7640,7640
1533456504,7645,7645
1533460105,7661,7661
1533463707,7693,7693
1533467307,7688,7688
1533470903,7612,7612
1533474493,7582,7582
1533478097,7555,7555
1533481702,7574,7574
1533485301,7553,7553
1533488899,7554,7554
1533492497,7573,7573
1533496097,7559,7559
1533499699,7568,7568
1533503307,7575,7575
1533506907,7591,7591
1533510499,7603,7603
1533514096,7583,7583
1533517702,7596,7596
1533521307,7578,7578
1533524898,7581,7581
1533528500,7584,7584
1533532101,7572,7572
1533535705,7598,7598
1533539305,7603,7603
1533542900,7595,7595
1533546508,7596,7596
1533550105,7605,7605
1533553702,7637,7637
1533557303,7642,7642
1533560906,7668,7668
1533564503,7689,7689
1533568108,7695,7695
1533571710,7730,7730
1533575314,7729,7729
1533578908,7722,7722
1533582513,7731,7731
1533586110,7725,7725
1533589713,7755,7755
1533593310,7768,7768
1533596910,7779,7779
1533600517,7793,7793
1533604106,7751,7751
1533607713,7789,7789
1533611310,7783,7783
1533614910,7798,7798
1533618510,7786,7786
1533622113,7790,7790
1533625721,7787,7787
1533629309,7733,7733
1533632909,7740,7740
1533636515,7765,7765
1533640116,7775,7775
1533643713,7777,7777
1533647308,7771,7771
1533650907,7774,7774
1533654511,7730,7730
1533658113,7729,7729
1533661710,7739,7739
1533665309,7749,7749
1533668911,7749,7749
1533672507,7715,7715
1533676110,7719,7719
1533679711,7748,7748
1533683311,7742,7742
1533686898,7750,7750
1533690514,7726,7726
1533694113,7729,7729
1533697712,7717,7717
1533701311,7760,7760
1533704919,7777,7777
1533708516,7794,7794
1533712114,7800,7800
1533715713,7781,7781
1533719310,7790,7790
1533722912,7798,7798
1533726511,7816,7816
1533730112,7844,7844
1533733714,7856,7856
1533737316,7884,7884
1533740916,7904,7904
1533744518,7933,7933
1533748118,7958,7958
1533751724,7997,7997
1533755325,8023,8023
1533758923,8025,8025
1533762524,7989,7989
1533766123,8028,8028
1533769724,8045,8045
1533773331,8070,8070
1533776923,8074,8074
1533780527,8069,8069
1533784126,8067,8067
1533787728,8069,8069
1533791330,8087,8087
1533794927,8107,8107
1533798528,8111,8111
1533802127,8106,8106
1533805734,8102,8102
1533809330,8122,8122
1533812929,8149,8149
1533816531,8166,8166
1533820130,8180,8180
1533823731,8185,8185
1533827320,8219,8219
1533830930,8239,8239
1533834537,8236,8236
1533838135,8239,8239
1533841739,8237,8237
1533845338,8260,8260
1533848939,8263,8263
1533852537,8271,8271
1533856149,8307,8307
1533859742,8328,8328
1533863340,8348,8348
1533866948,8329,8329
1533870539,8331,8331
1533874137,8339,8339
1533877740,8355,8355
1533881341,8345,8345
1533884937,8354,8354
1533888540,8365,8365
1533892144,8373,8373
1533895743,8375,8375
1533899343,8378,8378
1533902942,8377,8377
1533906543,8384,8384
1533910140,8352,8352
1533913740,8364,8364
1533917344,8359,8359
1533920940,8370,8370
1533924542,8353,8353
1533928136,8339,8339
1533931740,8349,8349
1533935345,8357,8357
1533938944,8372,8372
1533942541,8392,8392
1533946150,8389,8389
1533949739,8403,8403
1533953340,8415,8415
1533956952,8400,8400
1533960544,8424,8424
1533964142,8416,8416
1533967740,8407,8407
1533971341,8395,8395
1533974941,8396,8396
1533978545,8405,8405
1533982149,8381,8381
1533985749,8392,8392
1533989351,8403,8403
1533992942,8411,8411
1533996542,8417,8417
1534000149,8405,8405
1534003744,8422,8422
1534007351,8412,8412
1534010944,8398,8398
1534014538,8387,8387
1534018134,8388,8388
1534021748,8412,8412
1534025346,8407,8407
1534028930,8405,8405
1534032553,8429,8429
1534036144,8448,8448
1534039737,8463,8463
1534043353,8452,8452
1534046952,8474,8474
1534050542,8496,8496
1534054143,8496,8496
1534057752,8484,8484
1534061345,8498,8498
1534064955,8520,8520
1534068552,8517,8517
1534072151,8521,8521
1534075754,8555,8555
1534079356,8577,8577
1534082949,8583,8583
1534086552,8556,8556
1534090152,8583,8583
1534093759,8624,8624
1534097356,8620,8620
1534100958,8631,8631
1534104558,8646,8646
1534108166,8717,8717
1534111770,8740,8740
1534115367,8755,8755
1534118968,8771,8771
1534122564,8750,8750
1534126164,8759,8759
1534129762,8763,8763
1534133366,8746,8746
1534136963,8781,8781
1534140559,8762,8762
1534144159,8720,8720
1534147760,8700,8700
1534151360,8714,8714
1534154961,8712,8712
1534158559,8695,8695
1534162161,8705,8705
1534165760,8682,8682
1534169356,8722,8722
1534172966,8816,8816
1534176560,8809,8809
1534180167,8887,8887
1534183781,9012,9012
1534187420,9039,9039
1534190982,9083,9083
1534194583,9088,9088
1534198177,9108,9108
1534201779,9136,9136
1534205385,9144,9144
1534208978,9152,9152
1534212586,9172,9172
1534216187,9227,9227
1534219791,9258,9258
1534223391,9274,9274
1534226989,9276,9276
1534230587,9306,9306
1534234199,9334,9334
1534237790,9362,9362
1534241394,9358,9358
1534244997,9394,9394
1534248594,9405,9405
1534252199,9409,9409
1534255790,9456,9456
1534259399,9510,9510
1534263000,9553,9553
1534266603,9555,9555
1534270204,9599,9599
1534273805,9624,9624
1534277411,9678,9678
1534281008,9705,9705
1534284617,9701,9701
1534288218,9753,9753
1534291819,9755,9755
1534295421,9780,9780
1534299023,9822,9822
1534302627,9869,9869
1534306223,9967,9967
1534309827,9965,9965
1534313427,9974,9974
1534317025,9990,9990
1534320628,10022,10022
1534324234,10061,10061
1534327838,10052,10052
1534331433,10105,10105
1534335036,10142,10142
1534338638,10148,10148
1534342238,10162,10162
1534345846,10266,10266
1534349446,10285,10285
1534353044,10261,10261
1534356642,10258,10258
1534360244,10289,10289
1534363848,10300,10300
1534367470,10347,10347
1534371042,10343,10343
1534374647,10366,10366
1534378254,10369,10369
1534381852,10366,10366
1534385451,10362,10362
1534389045,10389,10389
1534392661,10488,10488
1534396254,10502,10502
1534399854,10491,10491
1534403451,10488,10488
1534407056,10508,10508
1534410652,10536,10536
1534414260,10616,10616
1534417864,10689,10689
1534421528,10800,10800
1534425093,10845,10845
1534428704,10895,10895
1534432284,10977,10977
1534435888,11041,11041
1534439497,11105,11105
1534443099,11143,11143
1534446698,11186,11186
1534450301,11219,11219
1534453896,11238,11238
1534457504,11267,11267
1534461098,11265,11265
1534464702,11299,11299
1534468292,11320,11320
1534471899,11338,11338
1534475501,11400,11400
1534479104,11420,11420
1534482701,11442,11442
1534486294,11464,11464
1534489902,11525,11525
1534493507,11547,11547
1534497109,11567,11567
1534500713,11601,11601
1534504316,11579,11579
1534507915,11612,11612
1534511515,11660,11660
1534515116,11654,11654
1534518723,11757,11757
1534522310,11789,11789
1534525928,11850,11850
1534529527,11941,11941
1534533135,11974,11974
1534536740,12055,12055
1534540337,12107,12107
1534543945,12150,12150
1534547542,12159,12159
1534551148,12213,12213
1534554749,12227,12227
1534558346,12264,12264
1534561942,12291,12291
1534565550,12319,12319
1534569145,12340,12340
1534572740,12361,12361
1534576358,12386,12386
1534579949,12408,12408
1534583552,12415,12415
1534587156,12446,12446
1534590754,12456,12456
1534594359,12472,12472
1534597958,12497,12497
1534601552,12496,12496
1534605159,12515,12515
1534608766,12563,12563
1534612362,12590,12590
1534615966,12611,12611
1534619567,12638,12638
1534623165,12673,12673
1534626768,12667,12667
1534630374,12670,12670
1534633986,12728,12728
1534637574,12735,12735
1534641181,12763,12763
1534644770,12761,12761
1534648371,12774,12774
1534651976,12808,12808
1534655574,12816,12816
1534659176,12851,12851
1534662778,12872,12872
1534666374,12880,12880
1534669981,12896,12896
1534673585,12904,12904
1534677178,12936,12936
1534680786,12918,12918
1534684386,12938,12938
1534687977,12946,12946
1534691584,12965,12965
1534695193,13035,13035
1534698788,13042,13042
1534702399,13127,13127
1534705998,13136,13136
1534709599,13200,13200
1534713200,13185,13185
1534716793,13180,13180
1534720409,13186,13186
1534724002,13199,13199
1534727600,13250,13250
1534731206,13274,13274
1534734812,13291,13291
1534738415,13322,13322
1534742007,13343,13343
1534745606,13383,13383
1534749205,13424,13424
1534752808,13451,13451
1534756408,13477,13477
1534760018,13489,13489
1534763615,13519,13519
1534767202,13501,13501
1534770812,13551,13551
1534774407,13529,13529
1534778008,13460,13460
1534781607,13452,13452
1534785209,13441,13441
1534788805,13457,13457
1534792412,13545,13545
1534796020,13646,13646
1534799620,13720,13720
1534803223,13768,13768
1534806826,13814,13814
1534810428,13864,13864
1534814028,13921,13921
1534817629,13928,13928
1534821225,13907,13907
1534824825,13875,13875
1534828432,13906,13906
1534832027,13939,13939
1534835636,13954,13954
1534839230,13946,13946
1534842829,13932,13932
1534846427,13939,13939
1534850029,13941,13941
1534853626,13990,13990
1534857233,13977,13977
1534860831,13965,13965
1534864422,13936,13936
1534868028,13914,13914
1534871626,13949,13949
1534875224,13961,13961
1534878830,13989,13989
1534882434,14000,14000
1534886033,14023,14023
1534889629,14056,14056
1534893235,14069,14069
1534896839,14096,14096
1534900430,14092,14092
1534904040,14117,14117
1534907641,14111,14111
1534911232,14055,14055
1534914829,14088,14088
1534918441,14102,14102
1534922038,14141,14141
1534925644,14135,14135
1534929229,14118,14118
1534932835,14122,14122
1534936431,14086,14086
1534940037,14055,14055
1534943626,14031,14031
1534947230,14031,14031
1534950827,13931,13931
1534954422,13916,13916
1534958026,13946,13946
1534961635,14116,14116
1534965242,14158,14158
1534968844,14153,14153
1534972434,14142,14142
1534976038,14129,14129
1534979635,14115,14115
1534983234,14131,14131
1534986840,14148,14148
1534990433,14157,14157
1534994034,14129,14129
1534997627,14078,14078
1535001228,14001,14001
1535004832,14025,14025
1535008434,14074,14074
1535012043,14081,14081
1535015631,14066,14066
1535019251,14040,14040
1535022834,14010,14010
1535026432,14017,14017
1535030032,14012,14012
1535033640,13992,13992
1535037244,13958,13958
1535040834,13911,13911
1535044430,13855,13855
1535048033,13873,13873
1535051635,13886,13886
1535055238,13867,13867
1535058828,13863,13863
1535062424,13836,13836
1535066024,13859,13859
1535069630,13883,13883
1535101907,13870,13870
1535105628,13889,13889
