DateTime,AddedIPs,RemovedIPs
1533362418,89,68
1533364322,56,60
1533370082,65,53
1533372002,66,61
1533375843,91,56
1533379682,69,69
1533383762,65,60
1533387606,72,63
1533391443,63,67
1533393362,64,79
1533397202,60,82
1533401042,69,90
1533407044,104,71
1533408962,87,73
1533412815,65,85
1533414723,83,71
1533418562,77,83
1533422643,53,91
1533426722,83,78
1533430562,48,62
1533434413,60,73
1533436323,68,84
1533440402,68,90
1533444243,76,79
1533448082,80,54
1533451923,66,48
1533455763,56,49
1533459611,75,50
1533461523,62,59
1533465362,56,73
1533469203,71,57
1533473282,65,69
1533477122,67,57
1533479044,91,67
1533483123,67,62
1533486962,59,63
1533490804,68,60
1533492723,60,68
1533494642,126,96
1533498482,71,76
1533502323,63,86
1533506162,77,84
1533510018,44,99
1533511923,89,79
1533515763,61,68
1533519603,67,72
1533523442,77,100
1533529203,80,86
1533531122,82,76
1533534963,100,77
1533538816,58,60
1533540722,69,61
1533544562,77,61
1533546482,69,68
1533552243,70,66
1533556082,81,61
1533559922,60,53
1533563762,56,55
1533567618,59,59
1533569522,84,66
1533573362,65,72
1533577442,66,73
1533581282,92,55
1533585122,77,87
1533588963,82,78
1533592813,79,86
1533597842,48,97
1533599762,81,80
1533603609,50,80
1533605522,68,66
1533609362,73,88
1533613202,88,92
1533617042,74,84
1533621122,89,61
1533624973,76,50
1533627142,75,71
1533630962,75,79
1533634802,67,54
1533638643,54,67
1533640563,67,54
1533642482,121,102
1533646322,73,78
1533650162,80,67
1533652324,71,75
1533656163,84,72
1533660002,79,66
1533664083,75,81
1533669124,90,79
1533671042,90,76
1533674882,81,98
1533678722,67,94
1533682563,67,103
1533684722,21,4528
1533686642,4499,0
1533688562,52,69
1533692402,67,86
1533696243,70,79
1533700083,85,83
1533702003,73,80
1533707762,93,69
1533709682,72,67
1533713522,75,61
1533717363,82,62
1533721202,61,63
1533725042,70,56
1533728882,73,60
1533732722,65,61
1533736563,65,58
1533740417,82,73
1533742322,80,82
1533746162,83,84
1533750242,110,71
1533756242,66,77
1533758162,70,75
1533762008,86,80
1533765843,70,98
1533767763,52,94
1533771602,88,105
1533775442,63,76
1533779282,51,70
1533783122,62,77
1533786962,84,98
1533790820,72,70
1533792727,102,79
1533796565,58,45
1533800402,69,72
1533804242,82,50
1533806163,58,79
1533811923,79,62
1533815763,77,69
1533819843,75,64
1533821763,66,67
1533825603,60,63
1533827523,80,89
1533833282,73,59
1533836404,73,71
1533838324,95,74
1533844082,85,65
1533847923,74,97
1533849842,72,80
1533855619,54,84
1533859442,82,92
1533862082,43,78
1533864002,3,0
1533865923,77,60
1533867843,56,76
1533873616,68,92
1533875525,67,90
1533879362,97,62
1533883203,56,54
1533887042,69,58
1533890882,76,59
1533894722,53,63
1533896643,67,49
1533904323,54,56
1533906243,81,70
1533908162,58,59
1533912003,52,59
1533915843,82,71
1533919682,64,54
1533923522,79,74
1533927362,76,63
1533931222,87,75
1533933123,60,68
1533938883,59,81
1533940802,54,83
1533944642,86,87
1533948482,51,68
1533952322,57,62
1533956163,69,70
1533960017,78,102
1533961922,70,78
1533965762,85,65
1533969602,54,49
1533973442,69,54
1533977282,53,48
1533981122,61,45
1533984962,65,58
1533988817,65,60
1533990722,64,62
1533992643,81,67
1533998403,65,67
1534000322,69,52
1534004162,60,73
1534006322,73,60
1534008243,60,73
1534010163,57,60
1534014242,61,71
1534016162,67,78
1534020005,67,82
1534021922,62,76
1534027682,61,88
1534031523,92,68
1534035609,55,78
1534037522,66,72
1534041363,61,75
1534047123,79,96
1534049044,75,87
1534052883,73,58
1534056722,65,46
1534060563,63,42
1534064416,70,49
1534066323,70,50
1534070164,70,62
1534075922,114,101
1534081684,70,73
1534085763,79,71
1534089842,62,61
1534091762,75,71
1534095603,80,71
1534099444,66,58
1534103282,81,88
1534105204,78,72
1534110962,68,98
1534114807,55,99
1534118642,95,102
1534122482,50,82
1534124402,72,86
1534128482,88,91
1534134242,153,184
1534140009,75,61
1534141922,76,55
1534147683,81,54
1534149603,77,71
1534153923,89,78
1534157763,85,62
1534163762,194,296
1534165682,316,246
1534167602,80,84
1534171683,78,91
1534175523,96,61
1534179362,90,65
1534183208,101,90
1534185122,89,96
1534187043,3,0
1534188962,97,75
1534192803,76,97
1534196642,77,109
1534200483,47,89
1534204563,98,90
1534208413,53,84
1534210322,74,77
1534214163,75,91
1534218003,93,116
1534221842,81,92
1534225682,122,72
1534229523,67,64
1534233362,70,69
1534237215,97,52
1534239123,73,79
1534242962,62,65
1534246803,69,58
1534250642,60,65
1534254723,64,63
1534260723,108,101
1534264562,81,68
1534270323,92,68
1534272243,104,85
1534276082,83,80
1534279922,79,82
1534281843,58,95
1534287609,65,124
1534289523,95,93
1534291445,93,95
1534293602,145,152
1534295522,71,81
1534301283,85,96
1534305122,71,111
1534308963,103,93
1534312817,95,79
1534314723,70,46
1534318562,110,150
1534320483,212,150
1534326242,74,54
1534330082,86,70
1534332002,69,66
1534333923,66,69
1534335843,69,66
1534337763,67,61
1534341614,59,85
1534343523,82,77
1534345443,65,71
1534347362,71,65
1534349523,65,71
1534351443,85,67
1534355282,83,72
1534359122,91,71
1534362962,87,88
1534365122,74,94
1534368963,87,105
1534372802,71,81
1534376643,88,105
1534378803,0,4
1534381215,59,86
1534383123,86,75
1534386962,79,92
1534392963,75,107
1534394882,75,88
1534396803,103,66
1534402562,75,47
1534406418,85,78
1534408323,84,64
1534412162,81,63
1534414082,64,76
1534417923,83,71
1534423922,74,65
1534427762,75,53
1534432083,65,81
1534434003,81,65
1534435924,102,135
1534437843,71,71
1534441683,76,67
1534445522,87,71
1534449362,93,74
1534453211,66,79
1534457042,67,74
1534458962,65,95
1534463763,91,105
1534467611,52,68
1534471442,239,172
1534473362,237,324
1534477447,83,102
1534483443,84,100
1534485362,94,60
1534491122,129,91
1534494962,75,57
1534498804,64,61
1534502642,72,55
1534506482,59,70
1534510323,67,60
1534512243,67,71
1534518011,81,61
1534520162,66,74
1534524002,58,63
1534527843,76,65
1534529767,80,53
1534535762,68,90
1534539624,62,82
1534541762,67,83
1534545602,51,77
1534549922,85,79
1534553762,47,82
1534557615,65,57
1534559523,62,80
1534563362,80,62
1534565283,134,159
1534567202,74,77
1534571043,87,71
1534574882,53,47
1534578723,64,56
1534582563,75,55
1534587364,71,62
1534589283,70,62
1534593122,66,57
1534596963,75,71
1534602722,134,104
1534606562,76,77
1534612323,93,72
1534614243,59,52
1534616163,61,72
1534622163,70,85
1534626024,60,75
1534627922,68,74
1534631763,62,93
1534635603,93,80
1534640412,43,72
1534642322,70,62
1534646162,63,81
1534650002,81,96
1534653842,78,94
1534657682,75,65
1534659602,65,75
1534661522,125,108
1534663442,47,48
1534669209,66,40
1534671122,82,51
1534674962,79,55
1534678802,74,62
1534682643,66,58
1534686482,68,62
1534688403,74,67
1534694418,76,67
1534696322,88,74
1534702082,74,82
1534704242,77,70
1534708083,67,74
1534710002,76,67
1534715762,71,91
1534719612,63,111
1534721523,86,83
1534725602,43,86
1534729442,69,58
1534733282,73,84
1534737122,82,95
1534740963,79,105
1534744812,82,60
1534746722,76,49
1534750563,67,51
1534754402,72,70
1534758243,72,50
1534762082,80,49
1534765922,80,67
1534769763,60,69
1534774082,115,118
1534779842,64,78
1534783922,88,54
1534787762,79,88
1534791613,89,78
1534795442,99,84
1534797362,91,87
1534801202,58,98
1534805042,53,104
1534806963,94,109
1534812962,63,68
1534817042,65,77
1534818962,72,79
1534820883,142,123
1534822803,176,209
1534826643,81,83
1534830722,106,75
1534834562,59,50
1534838411,75,76
1534840322,78,60
1534844162,66,63
1534848002,58,56
1534851842,62,63
1534855922,79,63
1534859763,74,102
1534861686,7,0
1534863613,80,70
1534865523,70,84
1534869362,102,73
1534873202,95,80
1534877042,97,67
1534880882,92,104
1534884722,81,83
1534886643,71,118
1534892414,66,109
1534894323,102,85
1534896242,61,82
1534900082,84,101
1534905842,70,79
1534909922,106,110
1534911845,78,87
1534917613,84,83
1534919522,78,65
1534923362,55,66
1534925283,73,58
1534931282,85,45
1534935122,51,58
1534938963,66,65
1534942809,68,65
1534946642,70,67
1534948562,88,61
1534952403,85,72
1534956243,90,77
1534958162,0,2
1534960082,81,66
1534963922,89,65
1534967762,85,89
1534971613,68,107
1534975442,79,110
1534977363,72,108
