DateTime,Entries,UniqueIPs
1514978116,303254,312797
1514991316,303253,312796
1515010818,303252,312795
1515080116,303250,312791
1515080418,303248,312789
1515094816,303249,312790
1515140116,303248,312789
1515201317,303247,312788
1515230722,303246,312787
1515233716,303245,312786
1515234017,303242,312783
1515234616,303237,312778
1515238515,303228,312769
1515249617,303232,312773
1515273617,303230,312771
1515332417,303231,312772
1515336916,303233,312775
1515370215,303234,312776
1515424817,303251,312793
1515431416,303250,312792
1515450316,303249,312791
1515504016,303248,312790
1515579316,303246,312788
1515588317,303240,312782
1515588916,303239,312781
1515628516,303240,312782
1515680116,303248,312790
1515692417,303247,312789
1515693316,303245,312787
1515704116,303246,312788
1515713417,303247,312789
1515714017,303255,312797
1515714316,303257,312799
1515714916,303258,312800
1515718517,303259,312801
1515720318,303260,312802
1515782115,303259,312801
1515808217,303260,312802
1515831920,303255,312797
1515838216,303254,312796
1515993918,303262,312804
1515994217,303266,312808
1515994817,303271,312813
1515995116,303272,312814
1516009816,303277,312819
1516028116,303276,312818
1516028418,303278,312821
1516062616,303281,312824
1516063217,303286,312829
1516102219,303282,312825
1516151716,303281,312824
1516185617,303280,312823
1516200916,303287,312830
1516212017,303285,312828
1516310115,303284,312827
1516406418,303289,312832
1516406716,303291,312834
1516417217,303293,312836
1516497315,303294,312837
1516497616,303295,312838
1516499116,303297,312840
1516511716,303298,312841
1516513216,303301,312844
1516547416,303302,312845
1516579217,303315,312858
1516579516,303321,312864
1516598416,303322,312865
1516700417,303321,312864
1516717218,303322,312865
1516737916,303321,312864
1516744216,303320,312863
1516751115,303321,312864
1516799417,303323,312866
1516977315,303324,312867
1517042416,303323,312866
1517059219,303310,312852
1517059219,303311,312853
1517059818,303300,312842
1517060416,303299,312841
1517061616,303300,312842
1517065517,303329,312871
1517065816,303418,312961
1517066116,303508,313054
1517066419,303602,313148
1517067017,303790,313340
1517067315,303881,313433
1517067617,303965,313518
1517067917,304038,313593
1517068222,304120,313679
1517068817,304303,313862
1517069415,304485,314047
1517070017,304662,314231
1517070320,304750,314322
1517070617,304839,314413
1517070916,304922,314501
1517071216,305009,314590
1517071517,305098,314686
1517071815,305186,314776
1517072115,305269,314861
1517072417,305291,314883
1517092215,305290,314882
1517114116,305289,314881
1517115916,305288,314880
1517219715,305287,314879
1517264417,305286,314878
1517409018,305288,314880
1517482216,305287,314879
1517557818,305284,314876
1517558716,305280,314872
1517559616,305279,314870
1517560516,305274,314865
1517561716,305273,314864
1517586915,305272,314863
1517592317,305271,314862
1517607016,305272,314863
1517607617,305273,314864
1517607916,305274,314865
1517654417,305272,314863
1517668817,305271,314861
1517673316,305272,314862
1517687715,305274,314865
1517823315,305273,314864
1517825715,305268,314859
1517827816,305264,314855
1517835617,305261,314852
1517922016,305259,314850
1517922317,305248,314839
1517926816,305247,314838
1517999716,305246,314837
1518022515,305248,314839
1518078616,305247,314838
1518169217,305246,314837
1518170418,305244,314835
1518172217,305239,314830
1518175217,305232,314822
1518175517,305228,314817
1518177316,305223,314812
1518177618,305220,314809
1518433218,305219,314808
1518448516,305212,314801
1518449116,305199,314788
1518449725,305187,314772
1518450317,305179,314764
1518508818,305178,314763
1518512116,305176,314761
1518512418,305167,314752
1518515716,305161,314746
1518516017,305147,314732
1518516316,305142,314727
1518516916,305141,314726
1518534017,305140,314725
1518554418,305139,314724
1518605117,305138,314723
1518606017,305137,314722
1518617415,305133,314718
1518618017,305129,314714
1518622219,305125,314702
1518622516,305122,314698
1518639316,305121,314697
1518701417,305110,314686
1518710421,305109,314685
1518711316,305108,314684
1518733816,305107,314683
1518813917,305106,314682
1518815716,305105,314681
1518945617,305102,314678
1518945917,305096,314672
1518946217,305087,314663
1518947716,305080,314656
1518960018,305079,314655
1519027817,305078,314654
1519122616,305076,314652
1519133716,305073,314649
1519134017,305066,314642
1519134318,305064,314640
1519152916,305064,314639
1519213816,305063,314638
1519247716,305062,314637
1519287616,305057,314632
1519290316,305052,314627
1519291216,305047,314623
1519294217,305046,314622
1519294517,305039,314615
1519295116,305038,314614
1519297217,305030,314605
1519297818,305025,314600
1519313417,305021,314596
1519370116,305020,314595
1519373716,305012,314587
1519374617,305010,314585
1519375217,305008,314583
1519375817,305002,314577
1519376116,305001,314576
1519379116,305000,314575
1519392917,304998,314573
1519393516,304988,314563
1519393817,304983,314558
1519395015,304980,314555
1519395316,304964,314539
1519395617,304951,314526
1519482019,304943,314517
1519482619,304940,314514
1519503016,304939,314513
1519600517,304953,314527
1519600817,304997,314571
1519636817,304996,314570
1519637716,304976,314549
1519638017,304974,314547
1519640116,304970,314543
1519640717,304952,314525
