DateTime,AddedIPs,RemovedIPs
1441823109,0,1
1441959907,0,1
1449229507,0,1
1451111410,0,1
1453388411,1,0
1460115910,0,1
1462554307,0,1
1467925208,109,0
1467925510,17,0
1468135806,0,1
1468243207,0,1
1477577108,93,0
1477577407,2,0
1479316808,1,0
1479371707,2,0
1481810408,0,1
1483876208,2,0
1492154408,5,0
1492464308,0,1
1494297608,0,1
1496014209,0,1
1496331909,0,1
1498512310,86,0
1498531209,1,0
1499815518,0,1
1501367712,0,0
1504760414,0,1
1505429114,0,0
1505431215,0,0
1507814114,0,1
1510142415,0,1
1515234016,0,1
1515831919,0,1
1515835516,0,1
1519395015,0,1
1520504417,0,1
1521198616,0,1
1524093917,0,0
1524097217,0,0
1524099316,40,0
1524124218,0,0
1525264520,0,2
1526309719,0,0
1526925618,0,991
1527313810,0,0
1527315310,0,0
1527345312,0,0
1527347413,0,0
1527350722,0,0
1527371112,0,0
1527392114,0,0
1527400211,0,0
1527992713,0,0
1528004710,0,0
1528308012,0,0
1528311910,0,0
1528313411,0,0
1528320310,0,0
1528324221,0,0
1528326621,0,0
1528331723,0,0
1528333221,0,0
1534151131,0,0
