DateTime,AddedIPs,RemovedIPs
1534914927,234,0
1534915229,236,0
1534915528,234,0
1534915825,236,0
1534916126,236,0
1534916433,235,0
1534917028,474,0
1534917327,235,0
1534917627,234,0
1534918226,458,0
1534918524,233,0
1534918831,238,0
1534919130,233,0
1534919432,237,0
1534919726,233,0
1534920032,231,0
1534920330,236,0
1534920931,468,0
1534921228,232,0
1534921531,231,0
1534921834,227,0
1534922131,231,0
1534922433,232,0
1534923031,465,0
1534923332,226,0
1534923630,235,0
1534923926,231,0
1534924223,232,0
1534924525,231,0
1534924830,239,0
1534925127,227,0
1534925430,230,0
1534925729,231,0
1534926033,232,0
1534926333,202,0
1534926929,426,0
1534927229,226,0
1534927827,459,0
1534928131,225,0
1534928426,230,0
1534928728,233,0
1534929333,458,0
1534929631,230,0
1534930233,457,0
1534930834,454,0
1534931133,203,0
1534931732,406,0
1534932329,394,0
1534932935,183,0
1534933232,277,0
1534933830,269,0
1534934129,209,0
1534934429,205,0
1534934730,205,0
1534935031,207,0
1534935633,402,0
1534936232,398,0
1534936533,198,0
1534936834,204,0
1534937431,414,0
1534937733,195,0
1534938031,212,0
1534938330,201,0
1534938632,195,0
1534938931,200,0
1534939231,205,0
1534939526,170,0
1534940128,355,0
1534940428,210,0
1534940728,201,0
1534941030,211,0
1534941329,200,0
1534941630,198,0
1534942226,397,0
1534942526,199,0
1534942827,200,0
1534943123,204,0
1534943426,200,0
1534944032,399,0
1534944327,203,0
1534944632,196,0
1534945228,407,0
1534945526,212,0
1534945835,206,0
1534946126,205,0
1534947033,550,0
1534947330,205,0
1534947626,203,0
1534947925,201,0
1534948523,414,0
1534948823,204,0
1534949124,208,0
1534949424,201,0
1534949723,202,0
1534950025,206,0
1534950325,203,0
1534950925,411,0
1534951225,201,0
1534951526,204,0
1534951825,197,0
1534952126,178,0
1534952429,114,0
1534953023,310,0
1534953327,179,0
1534953629,201,0
1534953924,207,0
1534954226,207,0
1534954823,404,0
1534955426,425,0
1534955725,204,0
1534956324,204,0
1534956929,283,0
1534957227,274,0
1534957525,181,0
1534957825,161,0
1534958128,161,0
1534958424,164,0
1534959028,326,0
1534959624,261,0
1534959926,179,0
1534960524,364,0
1534960824,187,0
1534961426,392,0
1534961724,200,0
1534962026,207,0
1534962325,202,0
1534962630,203,0
1534962928,207,0
1534963227,200,0
1534963525,211,0
1534963825,202,0
1534964427,392,0
1534964728,198,0
1534965027,198,0
1534965327,201,0
1534965629,204,0
1534966228,392,0
1534966528,201,0
1534966831,193,0
1534967430,395,0
1534967730,190,0
1534968032,198,0
1534968329,190,0
1534968629,200,0
1534969234,194,0
1534969529,393,0
1534969828,198,0
1534970129,191,0
1534970729,389,0
1534971032,193,0
1534971629,385,0
1534971923,195,0
1534972230,189,0
1534972833,393,0
1534973429,387,0
1534973727,182,0
1534974029,192,0
1534974629,390,0
1534974930,192,0
1534975228,203,0
1534975528,83,0
1534976132,7,0
1534976426,377,0
1534976733,243,0
1534977333,392,0
1534977633,200,0
1534978230,378,0
1534978830,388,0
1534979129,209,0
1534979728,414,0
1534980027,208,0
1534980631,406,0
1534981231,408,0
1534982434,824,0
1534982734,208,0
1534983330,387,0
1534983632,171,0
1534984233,401,0
1534984831,415,0
1534985132,202,0
1534985430,203,0
1534985734,204,0
1534986031,203,0
1534986633,403,0
1534986933,207,0
1534987231,206,0
1534987824,414,0
1534988433,398,0
1534988733,200,0
1534989034,209,0
1534989333,204,0
1534989634,213,0
1534990226,429,0
1534990533,211,0
1534990833,218,0
1534991433,420,0
1534991729,169,0
1534992034,177,0
1534992633,363,0
1534993234,432,0
1534993531,218,0
1534994133,443,0
1534994430,223,0
1534995033,443,0
1534995333,222,0
1534995630,220,0
1534995924,220,0
1534996225,213,0
1534996526,216,0
1534996825,221,0
1534997127,216,0
1534997426,219,0
1534998025,433,0
1534998327,211,0
1534998925,410,0
1534999524,435,0
1534999825,221,0
1535000128,215,0
1535000425,216,0
1535000724,216,0
1535001027,211,0
1535001323,210,0
1535001925,421,0
1535002225,216,0
1535002825,418,0
1535003125,215,0
1535003426,209,0
1535003723,208,0
1535004029,209,0
1535004627,373,0
1535004923,211,0
1535005225,206,0
1535005826,419,0
1535006125,210,0
1535006426,214,0
1535006723,214,0
1535007029,204,0
1535007331,206,0
1535007626,209,0
1535007924,212,0
1535008227,207,0
1535008528,205,0
1535008833,199,0
1535009426,411,0
1535010030,418,0
1535010329,207,0
1535010631,203,0
1535010931,205,0
1535011226,210,0
1535011529,205,0
1535011833,213,0
1535012128,211,0
1535012432,210,0
1535012732,204,0
1535013330,418,0
1535013626,207,0
1535014234,414,0
1535014829,405,0
1535015128,203,0
1535015429,206,0
1535015728,205,0
1535016028,209,0
1535016333,203,0
