DateTime,AddedIPs,RemovedIPs
1526830389,256,0
1526836520,0,768
1526847325,0,256
1526919345,0,256
1526920202,256,0
1526926527,256,256
1526927646,256,0
1526938418,256,0
1526998529,256,0
1527004803,256,0
1527070554,256,0
1527093940,256,0
1527098403,0,256
1527099321,0,1536
1527104727,0,256
1527131770,256,0
1527174932,0,512
1527185717,0,256
1527207325,0,256
1527264930,0,768
1527265803,256,0
1527289203,0,0
1527291002,0,0
1527293725,0,0
1527296402,0,0
1527298203,0,0
1527300003,0,0
1527301432,0,0
1527301803,0,0
1527303603,0,0
1527304530,0,0
1527305403,0,0
1527307203,0,0
1527308124,0,0
1527309903,0,0
1527311730,0,0
1527312602,0,0
1527314403,0,0
1527315920,0,0
1527316202,0,0
1527318003,0,0
1527318931,0,0
1527319803,0,0
1527320731,0,0
1527321604,0,0
1527323402,0,0
1527324321,0,0
1527325204,0,0
1527326630,0,0
1527327002,0,0
1527328803,0,0
1527330456,0,0
1527330603,0,0
1527332403,0,0
1527333330,0,0
1527334203,0,0
1527336004,0,0
1527336936,0,0
1527337803,0,0
1527339604,0,0
1527340524,0,0
1527341403,0,0
1527342328,0,0
1527344125,0,0
1527345003,0,0
1527346803,256,0
1527348603,0,0
1527351316,0,512
1527353120,0,0
1527354922,0,0
1527355802,0,0
1527356725,0,0
1527358521,0,256
1527360323,0,0
1527362120,0,0
1527363003,0,0
1527364803,0,0
1527365724,0,0
1527366800,0,0
1527368403,0,0
1527370025,0,0
1527371120,0,0
1527372924,0,0
1527373803,0,0
1527375604,0,0
1527377402,0,0
1527379203,0,0
1527380128,0,0
1527381003,0,0
1527382803,0,0
1527384189,0,0
1527385527,0,0
1527387331,0,0
1527388202,0,0
1527390004,0,0
1527390933,0,0
1527391803,0,0
1527392725,0,0
1527394533,0,0
1527395404,0,0
1527396327,0,0
1527397204,0,0
1527398129,0,0
1527399003,0,0
1527431002,0,256
1527435003,256,0
1527438653,0,256
1527524695,0,256
1527546604,0,256
1527552931,256,0
1527617725,256,0
1527704844,256,0
1527709527,256,0
1527718516,0,256
1527754958,256,0
1527780200,0,256
1527783961,512,0
1527859444,256,0
1527881403,0,256
1527912004,0,0
1527914728,0,0
1527916909,0,0
1527919205,0,0
1527921003,0,0
1527923733,0,0
1527924604,0,0
1527926404,0,0
1527927794,0,0
1527928203,0,0
1527930004,0,0
1527930933,0,0
1527931803,0,0
1527933605,0,0
1527934530,0,0
1527935403,0,0
1527937205,0,0
1527938127,0,0
1527939004,0,0
1527940803,0,0
1527941739,0,0
1527942604,0,0
1527943526,0,0
1527945327,0,0
1527946204,0,0
1527947129,0,0
1527948005,0,0
