DateTime,AddedIPs,RemovedIPs
1528876037,256,256
1528906537,1792,1792
1528908874,256,256
1528912861,512,512
1528914638,256,256
1528916060,256,256
1528925415,256,256
1528927226,256,256
1528929019,256,256
1528936668,256,256
1528938034,256,256
1528954226,512,512
1528956422,256,256
1528963242,256,256
1528967299,256,256
1528968627,256,256
1528988448,1792,1792
1528992033,256,256
1529002835,256,256
1529010035,256,256
1529015431,256,256
1529026015,256,256
1529029360,256,256
1529032908,256,256
1529040139,512,512
1529042438,256,256
1529071233,1792,1792
1529074842,256,256
1529076410,256,256
1529080204,256,256
1529083850,256,256
1529085625,256,256
1529087238,256,256
1529089234,256,256
1529091042,256,256
1529092853,256,256
1529096434,256,256
1529100035,256,256
1529102337,256,256
1529103638,256,256
1529105063,256,256
1529109025,256,256
1529112645,256,256
1529113217,256,256
1529114454,256,256
1529118031,256,256
1529118938,256,256
1529121630,256,256
1529124086,256,256
1529125238,256,256
1529127544,512,512
1529128838,256,256
1529152459,256,256
1529154930,256,256
1529156305,256,256
1529157648,256,256
1529158545,256,256
1529161240,2560,2560
1529167014,256,256
1529168423,256,256
1529172029,256,256
1529175636,256,256
1529192361,256,256
1529197586,512,512
1529213433,256,256
1529251308,2816,2816
1529253020,512,512
1529260221,256,256
1529269295,256,256
1529280041,256,256
1529281829,512,512
1529298036,256,256
1529299841,256,256
1529308841,256,256
1529326842,2304,2304
1529328616,256,256
1529334024,256,256
1529340691,256,256
1529343028,256,256
1529344440,256,256
1529350225,256,256
1529355656,256,256
1529361907,256,256
1529365921,256,256
1529369216,256,256
1529371848,512,512
1529378389,256,256
1529380854,256,256
1529386238,512,512
1529388040,256,256
1529389833,256,256
1529413617,256,256
1529415037,256,256
1529416855,256,256
1529420570,256,256
1529424047,256,256
1529427398,256,256
1529431239,256,256
1529443829,256,256
1529446832,2304,2304
1529454620,256,256
1529463197,256,256
1529473526,256,256
1529474428,256,256
1529483436,256,256
1529500526,256,256
1529501435,256,256
1529503226,2048,2048
1529505018,1536,1536
1529507725,3584,3584
1529512217,256,256
1529519426,256,256
1529521389,256,256
1529535612,256,256
1529601324,1280,1280
1529605819,256,256
1529615718,256,256
1529618438,256,256
1529622030,256,256
1529684124,1024,1024
1529684912,256,256
1529699405,256,256
1529746236,256,256
1529770535,512,512
1529770942,256,256
1529778474,256,256
1529800580,256,256
1529856027,768,768
1529857827,256,256
1529866820,256,256
1529875820,256,256
1529878924,256,256
1529900698,256,256
1529938825,768,768
1529943884,256,256
1529973252,256,256
1530029739,768,768
1530045025,256,256
1530112666,256,256
1530124222,256,256
1530202539,1024,1024
1530204324,256,256
1530210653,256,256
1530217816,256,256
1530225024,256,256
1530232229,256,256
1530279006,256,256
1530286476,3328,3328
1530289823,256,256
1530297942,256,256
1530298838,256,256
1530300649,256,256
1530311431,256,256
1530318631,512,512
1530338446,256,256
1530374436,1280,1280
1530377131,256,256
1530381626,256,256
1530384327,512,512
1530390631,512,512
1530392456,256,256
1530397829,256,256
1530458132,1024,1024
1530459017,256,256
1530462627,256,256
1530470745,256,256
1530472525,256,256
1530477025,256,256
1530484225,256,256
1530486036,256,256
1530489668,256,256
1530491439,256,256
1530548135,1792,1792
1530549933,256,256
1530563439,512,512
1530570627,256,256
1530577830,256,256
1530595032,256,256
1530634530,1792,1792
1530636343,256,256
1530724692,1024,1024
1530727227,256,256
1530729040,256,256
1530734438,256,256
1530743429,256,256
1530803706,1792,1792
1530804620,256,256
1530808222,256,256
1530815419,256,256
1530822626,512,512
1530838004,256,256
1530856840,256,256
1530864052,256,256
1530882076,256,256
1530889523,256,256
1530893732,2048,2048
1530894605,512,512
1530901019,768,768
1530908519,256,256
1530916222,256,256
1530922922,512,512
1530987338,768,768
