DateTime,Entries,UniqueIPs
1534752002,36859,38656
1534752511,36894,38697
1534752970,36913,38717
1534753459,36928,38735
1534754427,36966,38761
1534755369,37015,38812
1534755602,37519,39364
1534756349,37594,39430
1534757290,37669,39503
1534758273,37697,39526
1534759255,37754,39584
1534760185,38020,39859
1534761136,38024,39880
1534762112,38078,39927
1534763056,38255,40099
1534764027,38378,40234
1534764991,38451,40300
1534765959,38493,40346
1534766402,38614,40469
1534766893,38725,40573
1534767859,38803,40656
1534768813,38788,40637
1534769799,38876,40724
1534770001,39014,40863
1534770742,39061,40906
1534771695,39104,40952
1534774141,38887,40691
1534775052,38919,40722
1534776032,38920,40722
1534776987,39078,40910
1534777202,39152,40988
1534777964,39296,41148
1534778891,39402,41263
1534779859,39454,41313
1534780821,39713,41596
1534782059,39650,41513
1534782975,39659,41534
1534783948,39699,41586
1534784402,39767,41662
1534784892,39830,41740
1534785867,39909,41844
1534786815,39912,41857
1534787783,39909,41857
1534788002,40013,41964
1534788738,40129,42110
1534789697,40210,42199
1534790652,40498,42525
1534791650,40331,42371
1534792828,40454,42491
1534793549,40452,42488
1534793775,40498,42520
1534794728,40518,42555
1534795202,40592,42630
1534795702,40632,42653
1534796659,40676,42681
1534797370,40670,42675
1534797611,40700,42708
1534798581,40739,42742
1534798802,40787,42791
1534799304,40792,42796
1534799543,40797,42797
1534800493,40794,42772
1534801209,40791,42769
1534801465,40792,42732
1534802425,40748,42682
1534803130,40834,42769
1534803393,40879,42810
1534804334,40930,42856
1534805053,40917,42843
1534805292,40854,42772
1534806280,40753,42649
1534806732,40727,42621
1534806984,40727,42621
1534807210,40793,42684
1534808172,40812,42700
1534808890,40818,42706
1534809148,40999,42896
1534809602,39416,41263
1534810097,39445,41293
1534810572,39458,41306
1534811066,39463,41298
1534812282,39470,41281
1534812980,39473,41284
1534813217,39494,41295
1534814181,39590,41386
1534815153,39582,41372
1534816099,39551,41336
1534817163,39697,41477
1534818273,39644,41407
1534818983,39646,41409
1534819211,39611,41352
1534820169,39657,41393
1534820402,39748,41484
1534821150,39768,41496
1534822098,39751,41475
1534822810,39745,41469
1534823052,39738,41455
1534824016,39699,41414
1534824748,39761,41479
1534824989,39692,41411
1534825939,39637,41348
1534826652,39650,41361
1534826890,39651,41349
1534827875,39704,41396
1534828840,39742,41424
1534829774,39700,41370
1534830737,39642,41310
1534831202,39732,41400
1534831693,39685,41334
1534832688,39660,41281
1534833615,39635,41257
1534834574,39603,41216
1534834802,39772,41397
1534835562,39734,41355
1534836500,39675,41286
1534837457,39598,41199
1534838436,39550,41145
1534839377,39507,41097
1534840361,39318,40896
1534841299,39073,40639
1534842265,38988,40546
1534843212,38778,40330
1534844192,38537,40080
1534845157,38344,39877
1534845602,38461,39998
1534846098,38233,39753
1534847057,38034,39542
1534848019,37825,39317
1534848993,37594,39074
1534849202,37715,39198
1534849939,37462,38930
1534850901,37175,38628
1534851881,36949,38393
1534853093,37062,38518
1534853773,37058,38514
1534854012,36858,38314
1534854988,36890,38359
1534855959,36990,38460
1534856402,37117,38588
1534856900,37241,38712
1534857858,37461,38933
1534858815,37551,39022
1534859792,37967,39449
1534860002,38049,39535
1534860743,38239,39724
1534861701,38321,39799
1534862675,38519,39994
1534863645,38634,40101
1534864582,38760,40221
1534865543,38688,40136
1534866512,38679,40109
1534867492,38749,40163
1534868418,38966,40398
1534869388,38641,40057
1534870332,38871,40305
1534871311,38708,40091
1534872272,38694,40059
1534873215,38935,40311
1534874180,38883,40254
1534874402,38969,40343
1534875148,38614,39957
1534876098,38559,39895
1534877067,38461,39798
1534878027,38687,40038
1534878994,38733,40073
1534879936,38736,40070
1534880920,38796,40123
1534881877,38946,40274
1534882834,38972,40303
1534883785,38956,40288
1534884739,38947,40270
1534885203,39072,40398
1534885693,39093,40415
1534886697,39114,40451
1534887616,39166,40505
1534888574,39207,40541
1534888802,39295,40631
1534889563,39280,40611
1534890521,39267,40601
1534891463,39332,40675
1534892442,39277,40618
1534893384,39370,40716
1534894345,39359,40710
1534895568,39188,40521
1534896269,35894,37082
1534896736,35905,37094
1534897691,35926,37117
1534898189,35924,37115
1534898657,36110,37310
1534899626,35955,37135
1534900120,36039,37220
1534900585,36106,37281
1534901535,36321,37508
1534902026,36325,37512
1534902492,36361,37543
1534903483,36460,37641
1534903938,36456,37636
1534904410,36470,37657
1534905374,36474,37657
1534905878,36473,37657
1534906332,36502,37689
1534906802,36587,37776
1534907300,36556,37739
1534908019,36561,37744
1534908286,36551,37729
1534909210,36568,37739
1534909929,36572,37743
1534910168,36587,37753
1534910402,36667,37834
1534911154,36666,37827
1534911865,36673,37834
1534912094,36689,37841
1534913056,36674,37823
1534913767,36663,37812
1534914018,36674,37817
1534915000,36736,37878
1534915698,36739,37882
1534915935,36716,37860
1534916892,36669,37813
1534917631,36668,37812
1534917858,36782,37926
1534918813,36753,37892
1534919571,36750,37889
1534919788,36725,37865
1534920737,36746,37890
1534921456,36874,38019
1534921704,36965,38108
1534922667,37025,38169
1534923370,37022,38167
1534923612,37042,38186
1534924584,37055,38199
1534924802,37170,38315
1534925302,37171,38316
1534925532,37309,38457
1534926518,37502,38659
1534927210,37505,38662
1534927456,37703,38870
1534928414,37893,39068
1534929391,38231,39421
1534930344,38457,39657
1534931301,38638,39841
1534932258,38974,40184
1534933215,39142,40357
1534934194,39328,40553
1534935137,39517,40752
1534935602,39620,40858
1534936096,39802,41044
1534937058,40001,41259
1534938019,40248,41519
1534938993,40376,41632
1534939202,40471,41731
1534939937,40660,41926
1534940893,40631,41874
1534941875,40457,41688
1534942833,40434,41664
1534943776,40447,41681
1534944750,40441,41684
1534945695,40457,41707
1534946682,40580,41838
1534947608,40567,41826
1534948582,40445,41706
1534949536,40378,41632
1534950002,40482,41739
1534950515,40225,41477
1534951471,40241,41490
1534952419,40376,41630
1534953396,40384,41639
1534953602,40467,41724
1534954350,40562,41823
1534955291,40652,41914
1534956259,40745,42006
1534957220,40816,42065
1534958179,40916,42155
1534959141,40955,42194
1534960098,41050,42292
1534961065,41260,42505
1534962018,41326,42571
1534962971,41427,42660
1534963948,41444,42675
1534964402,41535,42769
1534964904,41575,42804
1534965881,41554,42778
1534966813,41678,42911
1534967775,41692,42922
1534968002,41741,42973
1534968897,41784,43026
1534969694,41790,43032
1534969944,41924,43178
1534971141,41834,43081
1534971638,41835,43082
1534972093,42142,43408
1534973084,42261,43535
1534973537,42257,43531
