DateTime,AddedIPs,RemovedIPs
1534800123,60,0
1534801202,55,0
1534801324,50,0
1534802523,34,0
1534802532,0,2
1534803723,51,0
1534804324,16,0
1534805043,88,88
1534806132,16,0
1534806963,84,94
1534807323,26,0
1534808523,67,0
1534809724,55,0
1534810323,11,0
1534810924,50,0
1534812124,58,0
1534812723,25,0
1534812963,52,99
1534813323,29,0
1534813332,0,1
1534814524,33,0
1534815123,3,0
1534815724,31,0
1534816323,34,0
1534817043,65,129
1534817523,29,0
1534818123,45,0
1534818962,68,0
1534819324,39,0
1534820883,115,64
1534821122,4,0
1534821723,15,0
1534822803,123,60
1534822924,22,1
1534823523,47,0
1534824123,26,0
1534824725,83,71
1534825324,30,0
1534825923,3,0
1534826644,139,171
1534827123,31,0
1534827792,40,3
1534828324,40,0
1534828923,36,0
1534829523,27,0
1534830123,37,0
1534830724,145,0
1534831323,32,0
1534831392,0,1
1534832645,94,72
1534833123,35,0
1534833723,10,0
1534834562,0,54
1534834923,28,0
1534834992,0,1
1534835523,5,0
1534836124,22,0
1534836723,40,0
1534837324,33,0
1534837922,7,0
1534838411,75,0
1534838592,51,0
1534839723,37,0
1534840323,101,14
1534840923,26,0
1534841282,14,61
1534841523,18,0
1534842192,17,1
1534842722,7,0
1534843323,14,0
1534843923,56,0
1534844162,62,15
1534844523,77,0
1534845124,54,98
1534845723,34,0
1534845792,0,3
1534846323,25,0
1534846923,18,0
1534848002,56,0
1534848124,35,0
1534849396,60,7
1534850523,24,0
1534851842,105,10
1534852323,33,0
1534853043,25,46
1534854123,20,0
1534855324,36,0
1534855922,71,11
1534856523,46,1
1534856883,0,98
1534857125,15,0
1534857724,10,0
1534858324,26,0
1534858924,9,0
1534859763,112,0
1534860193,19,2
1534860724,65,0
1534861324,38,0
1534862523,21,0
1534863124,34,0
1534863613,53,18
1534863793,6,4
1534864322,1,0
1534864563,0,113
1534864923,27,0
1534865523,66,0
1534866123,31,0
1534866723,27,0
1534867393,56,2
1534867923,55,0
1534868523,34,0
1534869362,126,12
1534869724,53,0
1534870323,29,0
1534870997,18,1
1534871524,15,0
1534872244,29,107
1534872723,12,0
1534873202,83,0
1534873324,9,0
1534873923,27,0
1534874538,32,1
1534875122,4,0
1534875723,22,0
1534876082,0,76
1534877042,137,0
1534877523,23,0
1534878196,6,5
1534878723,11,0
1534879323,15,0
1534880523,48,0
1534880883,80,151
1534881124,50,0
1534881737,73,1
1534882924,41,0
1534884124,3,0
1534884722,77,0
1534885323,12,0
1534885393,0,2
1534885924,21,0
1534886643,86,19
1534887123,2,0
1534887723,16,0
1534888564,0,165
1534888993,35,0
1534889524,27,0
1534890123,29,0
1534890723,52,0
1534891323,31,0
1534891923,4,0
1534892414,64,0
1534892593,28,1
1534893125,40,0
1534893724,25,0
1534894324,130,96
1534895522,10,0
1534895523,5,0
1534896242,65,11
1534896724,22,4
1534897324,6,0
1534897924,12,0
1534898523,46,0
1534899123,4,0
1534900083,75,136
1534900323,25,0
1534900924,12,0
1534902124,18,0
1534902724,36,0
1534903393,43,1
1534903923,1,0
1534904523,33,0
1534905842,79,6
1534906323,14,0
1534906923,28,0
1534906937,0,1
1534907525,10,0
1534908004,0,134
1534908123,24,0
1534908723,23,0
1534909323,16,0
1534909922,86,0
1534910596,54,4
1534911845,85,7
1534912323,3,0
1534912923,34,0
1534913523,28,0
1534914124,15,0
1534914196,0,1
1534914724,22,0
1534915324,39,0
1534915684,0,180
1534916523,60,0
1534917123,16,0
1534917613,81,0
1534917735,26,1
1534918924,39,0
1534919523,106,68
1534920123,5,0
1534921324,32,0
1534921333,0,1
1534921924,26,0
1534922523,33,0
1534923122,4,0
1534923362,48,57
1534923724,30,0
1534924323,35,0
1534924936,43,1
1534925283,66,15
1534926124,36,0
1534926723,18,0
1534927205,15,59
1534927324,34,0
1534928597,65,2
1534929124,39,0
1534929793,37,0
1534930323,42,0
1534930923,50,0
1534931287,74,93
1534931524,77,0
1534932193,32,0
1534933324,28,0
1534934524,12,0
1534935122,51,0
1534935723,20,0
1534936323,24,0
1534936923,34,0
1534938123,18,0
1534938964,72,107
1534939393,15,0
1534940523,8,0
1534941123,5,0
1534941603,196,192
1534941724,19,0
1534942809,65,0
1534942995,22,0
1534944123,23,0
1534944723,19,0
1534945324,37,1
1534945924,16,0
1534946642,70,116
1534947724,40,0
1534948562,91,0
1534948923,14,0
1534950124,14,1
1534950194,0,2
1534950724,19,0
1534951323,29,0
1534951924,19,0
1534952405,73,51
1534952523,11,0
1534953124,37,0
1534953734,29,0
1534954324,72,66
1534954924,14,0
1534955524,40,0
1534956243,105,1
1534956723,14,0
1534957394,29,0
1534957924,16,0
1534958162,0,1
1534958523,9,0
1534959123,29,0
1534960082,115,13
1534960324,41,0
1534960994,36,2
1534962004,0,116
1534962124,36,0
1534962725,40,0
1534963324,34,0
1534963924,113,0
1534964524,20,2
1534964534,0,1
1534965844,34,64
1534967523,36,0
1534967762,82,0
1534968124,14,0
1534968194,2,0
1534969325,11,0
1534970523,8,0
1534971613,60,15
1534971724,19,0
1534971794,0,1
1534972323,12,0
1534972569,0,166
1534972924,20,0
1534973523,18,0
1534974192,25,0
1534974723,19,0
1534975442,113,0
1534976523,29,0
1534977364,90,82
1534977723,28,0
1534978322,1,0
1534978991,29,0
1534979525,13,0
1534980124,20,0
1534980722,1,0
1534981202,88,11
1534981324,42,0
1534982591,35,0
1534983364,37,175
1534983724,25,0
1534984323,16,0
1534984923,11,0
1534985282,48,0
1534985523,37,0
1534986195,30,0
1534986726,34,0
1534987443,42,88
1534987923,67,0
1534988524,54,1
1534989362,98,1
1534989791,18,1
1534990924,34,0
1534991284,0,70
1534991523,49,0
1534992123,39,0
1534992723,25,0
1534993213,71,0
1534993391,50,3
1534993924,25,0
1534994523,19,1
1534995724,17,0
1534996322,4,0
1534997042,99,97
1534997524,37,0
1534998123,21,1
1534998963,108,11
1534999323,54,0
1535000523,37,0
1535000882,1,153
1535001723,55,0
1535002323,4,0
1535002803,96,0
1535002924,33,0
1535003523,44,0
1535004191,34,1
1535005323,33,0
1535006643,71,117
1535007724,29,0
1535008572,47,0
1535008923,33,0
1535009524,15,0
1535010482,109,40
1535011331,31,1
1535012524,40,0
1535013123,24,0
1535013723,29,0
1535014324,117,16
1535014923,61,0
1535014995,0,1
1535016245,50,54
1535017324,32,0
1535018163,100,124
1535018591,16,3
1535019723,32,0
1535020923,49,0
1535021524,19,0
1535022018,85,0
1535022124,19,4
1535022192,1,0
1535023323,69,0
1535023924,91,59
1535024524,4,0
1535025124,47,0
1535025732,51,0
1535026322,3,0
1535026923,47,0
1535027522,3,0
1535027763,59,54
1535028124,35,1
1535029324,7,0
1535030523,20,0
1535031123,24,0
1535031603,53,11
1535031723,8,0
1535032323,22,0
1535032933,25,4
1535033524,0,98
1535034124,38,1
1535035445,68,1
1535035923,27,0
1535036592,42,3
1535037124,42,0
1535037724,10,0
1535038324,29,0
1535038924,37,0
1535039523,59,61
1535040123,8,1
1535040724,40,1
1535041444,26,64
1535041923,1,0
1535042523,30,0
1535043122,3,0
1535043362,91,0
1535043792,33,1
1535044324,39,0
1535045284,109,60
1535045523,64,0
1535046124,43,0
1535047209,0,69
1535047392,45,1
1535048524,65,1
1535049123,28,0
1535049723,20,1
1535051042,128,3
1535051523,18,0
1535052123,33,0
1535052723,46,0
1535052962,57,19
1535053323,5,0
1535053924,32,0
1535054164,0,116
1535054595,6,2
1535055124,12,1
1535055723,22,0
1535056324,17,0
1535056802,78,0
1535056923,25,0
1535057523,46,0
1535058134,19,1
1535058724,18,0
1535059323,13,0
1535059923,10,0
1535060643,63,14
1535060882,0,137
1535061723,46,0
1535062923,13,0
1535063523,18,0
1535064123,10,1
1535065392,4,3
1535066403,155,1
1535066642,44,98
1535067724,21,1
1535068923,16,1
1535068993,0,1
1535069523,14,0
1535069762,0,82
1535070123,54,0
1535071323,30,0
1535072163,99,0
1535072596,47,1
1535073123,16,1
1535073604,0,90
1535073723,27,0
1535074323,27,1
1535074923,13,0
1535075524,15,0
1535076012,72,0
1535076195,67,1
1535076723,22,0
1535077324,45,0
1535077924,80,7
1535078524,26,1
1535079363,65,49
1535079792,46,0
1535080323,20,0
1535080923,33,0
1535081522,3,0
1535082002,76,6
1535082124,29,0
1535083230,34,0
1535083395,40,2
1535084163,28,163
1535084523,31,0
1535085123,7,0
1535085724,14,0
1535086082,69,0
1535086323,14,0
1535086938,8,1
1535087523,17,0
1535088003,0,73
1535088123,39,0
1535088722,9,0
1535089324,19,0
1535089924,110,0
1535090595,38,1
1535091844,111,52
1535092324,7,0
1535092923,21,0
1535093763,0,65
1535094195,59,2
1535095323,43,0
1535095683,107,0
1535095924,28,0
1535096523,18,0
1535097611,55,99
1535097797,40,4
1535098323,13,0
1535098924,9,0
1535099524,74,11
1535100124,11,0
1535101443,65,91
1535101922,7,0
1535102524,21,0
1535103363,63,0
1535103725,14,0
1535104324,79,0
