DateTime,AddedIPs,RemovedIPs
1481083451,43,5
1481170829,1,4
1481257967,3,3
1481345084,21,6
1481432206,50,2
1481519314,16,7
1481606415,1,5
1481693577,21,3
1481780659,4,3
1481867832,75,3
1481954916,37,2
1482042015,46,1
1482129141,35,2
1482216269,6,3
1482303391,8,4
1482390552,7,9
1482477677,5,1
1482564752,1,3
1482651896,8,5
1482738986,2,7
1482826144,4,3
1482913253,4,4
1483000355,1,1
1483087454,6,3
1483174590,7,5
1483261701,4,2
1483348812,21,3
1483435975,3,2
1483523061,6,3
1483610190,3,2
1483697305,2,4
1483784447,9,3
1483871825,5,6
1483958903,1,4
1484046288,3,1
1484133387,2,5
1484220516,4,4
1484307637,6,2
1484394757,6,3
1484481869,8,5
1484569253,6,6
1484656339,19,6
1484743458,7,13
1484830585,7,6
1484917739,5,6
1485004820,3,7
1485091938,2,9
1485179049,5,4
1485266181,30,4
1485353316,6,5
1485440445,4,5
1485527547,2,5
1485614663,4,8
1485701814,5,11
1485788899,0,5
1485876072,1,2
1485963153,6,3
1486050249,5,11
1486137401,2,15
1486224528,4,11
1486311626,3,9
1486398781,3,9
1486485854,3,7
1486573009,3,10
1486660115,4,5
1486747489,8,8
1486834721,28,6
1486921950,6,3
1487009343,4,9
1487096455,5,4
1487183588,2,4
1487270647,3,3
1487357788,1,2
1487444933,4,7
1487532036,1,7
1487619157,1,3
1487706266,5,6
1487793395,1,4
1487880517,2,8
1487967629,1,5
1488054756,1,2
1488141848,5,22
1488228979,3,4
1488316122,13,6
1488403246,5,5
1488490356,0,2
1488577450,3,12
1488664601,1,2
1488751715,0,3
1488838829,5,7
1488925993,3,4
1489013060,16,2
1489100184,2,3
1489187317,4,7
1489274448,6,3
1489361548,3,10
1489448670,5,10
1489535780,2,3
1489622909,3,4
1489710043,3,8
1489884277,2,13
1489971403,0,5
1490058550,1,8
1490145629,4,3
1490232767,4,8
1490319879,1,1
1490407009,1,9
1490494123,1,12
1490581229,3,19
1490668369,1,10
1490755474,2,7
1490842597,6,8
1490929706,3,19
1491016840,4,22
1491103965,6,26
1491191049,1,1
1491278196,1,8
1491452426,25,10
1491539556,8,6
1491626718,1,2
1491713789,5,12
1491800909,6,7
1491888026,4,7
1491975160,10,11
1492062270,6,13
1492149392,16,6
1492236524,26,2
1492323639,10,4
1492410745,8,4
1492497875,6,6
1492584996,2,2
1492672108,5,9
1492759242,6,4
1492846367,6,8
1492933481,11,4
1493020572,2,5
1493107731,5,7
1493194878,8,2
1493281988,7,7
1493369076,3,0
1493456212,13,16
1493543339,8,12
1493630468,2,2
1493717823,4,16
1493804911,4,3
1493892128,3,6
1493979153,1,10
1494066263,4,10
1494153397,7,5
1494240502,11,2
1494327696,2,6
1494414738,3,14
1494501855,11,12
1494588983,2,5
1494676118,0,34
1494850647,1,21
1494937728,3,7
1495024738,2,5
1495111939,1,3
1495199077,6,24
1495286447,5,1
1495373551,3,58
1495460665,2,3
1495547788,2,2
1495635171,4,4
1495722250,3,3
1495809649,2,7
1495896764,7,5
1495983893,4,19
1496071110,1,8
1496158369,1,2
1496245461,1,6
1496335053,2,2
1496422142,15,7
1496509468,4,3
1496596576,2,3
1496683692,2,4
1496770855,5,6
1496857933,1,1
1497032184,5,13
1497119300,1,3
1497206430,1,5
1497293544,1,7
1497467785,2,14
1497554927,2,9
1497642060,2,4
1497729187,3,9
1497816299,3,2
1497903452,2,9
1497990529,3,0
1498077684,3,10
1498164797,3,15
1498251860,2,1
1498426090,2,14
1498513223,7,5
1498600355,6,18
1498687719,2,3
1498774877,1,14
1498861959,2,23
1498949051,2,8
1499036183,2,2
1499210456,3,8
1499297550,3,2
1499471779,4,75
1499558943,1,41
1499646048,3,41
1499733146,1,1
1499907391,5,9
1499994770,2,0
1500081857,6,8
1500168971,1,11
1500256099,3,39
1500343303,1,1
1500430603,3,6
1500517689,1,1
1500604839,1,24
1500691950,1,3
1500865973,1,15
1500953337,1,4
1501127539,1,10
1501214928,3,6
1501302048,1,20
1501389166,34,13
1501476282,1,2
1501563380,2,2
1501737622,13,6
1501824744,7,5
1501999312,5,14
1502086372,4,15
1502173747,3,3
1502260829,1,0
1502347932,5,27
1502435084,38,23
1502522185,2,3
1502609289,10,32
1502696444,3,2
1502783535,1,2
1502870919,2,22
1502958287,4,3
1503132765,10,22
1503306984,2,4
1503394105,8,2
1503481210,26,6
1503568354,9,8
1503655722,23,55
1503742839,1,35
1503829956,38,59
1503917053,3,3
1504004205,2,0
1504091301,29,2
1504178411,33,45
1504265553,37,101
1504352663,4,53
1504439780,32,1
1504527150,1,58
1504614260,1,7
1504701380,1,8
1504788510,26,1
1504875644,2,76
1504962727,61,4
1505049858,5,38
1505136980,2,37
1505224426,3,2
1505311473,1,0
1505485713,2,76
1505572818,27,27
1505660514,1,24
1505747550,2,28
1505834661,2,3
1505921805,2,15
1506008905,32,3
1506096275,55,6
1506183399,2,1
1506445262,1,10
1506532365,1,30
1506619683,42,19
1506706838,34,51
1506793954,3,10
1506881470,1,40
1507056040,22,23
1507143156,6,3
1507230269,27,2
1507317573,4,34
1507404747,2,1
1507491888,1,4
1507578970,2,0
1507666356,27,3
1507753454,17,21
1507840847,3,0
1507927927,1,3
1508015075,3,2
1508189317,5,7
1508363576,5,8
1508450902,23,3
1508538007,45,1
1508625397,6,3
1508712506,2,5
1508799640,2,2
1508886655,3,4
1508973875,23,2
1509061500,2,5
1509148584,3,7
1509236600,1,3
1509323780,1,42
1509411157,1,2
1509498507,3,1
1509585875,1,9
1509673238,3,50
1509760350,9,27
1509847483,13,4
1509934615,4,33
1510021698,5,2
1510109078,24,2
1510196167,6,21
1510283549,1,3
1510370663,19,3
1510457783,2,35
1510544904,2,0
1510632033,6,3
1510719154,9,4
1510806256,6,2
1510893378,1,0
1511155000,2,8
1511242115,1,0
1511329234,1,0
1511416325,4,13
1511503478,3,67
1511590586,18,24
1511678212,2,5
