DateTime,AddedIPs,RemovedIPs
1527640809,16,0
1527655463,12,6
1527670090,6,0
1527684749,20,0
1527699365,14,0
1527714270,17,0
1527728888,12,0
1527743527,5,2
1527758184,13,0
1527772806,10,1
1527787449,8,1
1527802088,9,0
1527816738,5,1
1527831389,5,0
1527846006,6,5
1527860657,7,0
1527875301,5,0
1527889925,5,0
1527904580,9,2
1527919326,5,0
1527934657,2,0
1527949532,0,0
1527964132,1,1
1527979007,1,0
1527994459,6,1
1528009229,3,1
1528023860,6,0
1528038492,3,1
1528053128,4,1
1528067764,2,0
1528082405,4,0
1528111687,3,2
1528126328,5,0
1528140970,0,1
1528155608,0,2
1528170251,1,3
1528184887,0,1
1528199535,1,0
1528214172,10,0
1528228813,17,1
1528243450,9,2
1528258093,25,0
1528272728,10,1
1528287373,11,1
1528302020,14,1
1528318836,8,1
1528335394,5,2
1528350017,7,0
1528364653,5,1
1528379545,7,1
1528394178,7,2
1528408828,6,5
1528423462,6,1
1528438088,8,1
1528452740,5,0
1528467374,8,0
1528482010,12,0
1528496648,6,0
1528511285,2,1
1528525946,2,0
1528540577,1,1
1528555208,5,0
1528569863,2,1
1528584387,5,1
1528599126,6,0
1528613770,2,1
1528628410,5,1
1528643053,4,1
1528657691,3,2
1528672333,2,0
1528686976,3,0
1528701621,2,1
1528716250,1,0
1528731052,4,2
1528745769,7,2
1528760419,2,2
1528775058,6,0
1528789689,2,0
1528804327,0,1
1528818974,6,0
1528833625,2,0
1528848511,1,0
1528863125,7,0
1528877768,2,3
1528892427,1,0
1528907056,6,2
1528921687,3,0
1528936342,1,1
1528950965,6,0
1528965614,2,0
1528980261,16,2
1528994888,23,0
1529009526,13,0
1529024164,15,0
1529038817,13,1
1529053450,11,1
1529068100,12,0
1529082729,10,0
1529097791,7,0
1529112486,6,0
1529127226,6,1
1529141769,5,0
1529156405,6,0
1529171060,20,2
1529185928,11,1
1529200585,19,0
1529215211,6,1
1529229855,6,0
1529244492,9,0
1529259133,6,2
1529274011,7,0
1529288676,6,0
1529303295,8,0
1529317927,6,1
1529332573,4,0
1529347215,8,0
1529362101,3,2
1529376733,4,0
1529391366,6,1
1529406028,5,2
1529420655,14,1
1529435291,13,0
1529449951,11,0
1529464569,4,1
1529479216,11,1
1529493847,7,1
1529508486,7,0
1529524105,2,1
1529538735,8,0
1529553370,5,3
1529568050,5,0
1529582893,4,0
1529597537,6,0
1529612414,2,1
1529627050,5,1
1529641940,5,1
1529656569,7,0
1529671211,3,0
1529685849,2,0
1529700488,2,0
1529715136,6,0
1529729765,3,0
1529744416,2,0
1529759307,4,0
1529773933,4,1
1529788576,2,0
1529803210,3,0
1529817848,5,0
1529832493,2,1
1529847384,1,0
1529862261,7,0
1529876889,3,1
1529891800,13,3
1529906410,22,1
1529921054,5,1
1529935701,21,0
1529950327,18,0
1529965211,11,1
1529979849,5,0
1529994491,7,0
1530009132,9,1
1530023768,11,0
1530038408,40,0
1530053047,26,0
1530067692,32,5
1530082354,28,1
1530096992,8,2
1530111619,8,0
1530126261,16,2
1530140900,12,0
1530155533,13,0
1530170170,10,0
1530184814,10,0
1530199455,12,0
1530214089,13,3
1530228735,11,2
1530243740,11,0
1530258494,9,5
1530273386,7,0
1530288008,4,1
1530302655,10,0
1530317296,3,0
1530331942,11,2
1530346577,6,1
1530361217,7,5
1530375857,6,1
1530390485,7,0
1530405750,7,0
1530420500,3,1
1530435126,7,0
1530449767,7,0
1530464417,5,2
1530479050,6,0
1530493689,6,0
1530508331,3,0
1530522971,5,0
1530537608,2,2
1530552248,10,0
1530566900,14,0
1530581531,8,1
1530596172,11,0
1530610809,16,1
1530625447,9,1
1530640092,10,1
1530654727,4,1
1530669372,5,1
1530684016,6,3
1530698665,4,1
1530713550,4,0
1530728432,6,1
1530743049,7,0
1530757688,4,0
1530772331,11,1
1530786975,7,2
1530801605,2,2
1530816254,4,0
1530831138,4,1
1530845782,4,0
1530860410,3,2
1530875063,3,0
1530889688,12,1
1530904332,11,0
1530919220,6,0
1530933849,6,0
1530963368,7,0
1530978005,7,1
1530992661,8,1
1531007290,6,1
1531022169,5,1
1531036834,8,1
1531051469,5,0
1531066404,7,1
1531081088,3,0
1531095849,6,0
1531110491,5,0
1531125384,5,0
1531140020,1,1
1531154646,5,1
1531169794,1,2
1531184418,4,0
1531199051,3,1
1531213933,2,2
1531228587,8,0
1531243463,9,0
1531258337,8,2
1531272975,5,1
1531287657,8,1
1531302260,4,0
1531316895,8,1
1531331529,5,1
1531346435,4,1
1531361061,6,0
1531375689,4,1
1531390332,1,0
1531405224,7,0
1531419854,7,1
1531434748,5,0
1531449367,5,0
1531464012,4,0
1531478653,2,0
1531493300,5,0
1531507949,1,1
1531522836,2,1
1531537449,6,1
1531552101,5,0
1531566988,4,0
1531581607,6,0
1531596250,2,0
1531611144,2,2
1531625772,6,1
1531640654,2,0
1531655547,6,0
1531670432,6,2
1531685049,9,3
1531699687,3,0
1531714346,8,1
1531729216,1,0
1531744096,4,0
1531758734,7,0
1531773391,4,0
1531788252,4,0
1531802890,9,0
1531817531,5,1
1531832485,4,2
1531847061,4,1
1531861690,3,1
1531876338,3,2
1531890978,7,1
1531905616,4,0
1531920264,2,2
1531935139,6,0
1531949769,4,0
1531964665,0,1
1531979292,3,1
1531993957,9,0
1532008835,4,1
1532023451,6,0
1532038342,2,1
1532052976,4,1
1532067850,7,0
1532082730,2,1
1532112011,4,0
1532126649,1,1
1532141290,4,2
1532155931,2,0
1532170570,4,0
1532185215,2,1
1532199863,5,0
1532214503,3,1
1532229129,3,0
1532244011,9,1
1532258651,2,1
1532273292,0,1
1532287945,1,1
1532302595,5,2
1532317452,0,4
1532347252,6,0
1532361864,6,2
1532376503,7,0
1532391144,5,1
1532406014,7,1
1532420652,2,1
1532435290,6,1
1532449946,3,0
1532464826,7,0
1532479464,7,1
1532494343,5,1
1532508983,2,0
1532523606,2,4
1532538263,4,0
1532553141,2,1
1532567765,4,0
1532582425,1,0
1532597061,4,0
1532611946,1,5
1532626815,3,0
1532641455,5,1
1532656347,3,0
1532670964,4,2
1532685622,4,0
1532700255,1,2
1532714884,1,0
1532729536,6,0
1532744409,4,0
1532759059,6,0
1532773933,4,0
1532788567,5,1
1532803208,1,2
1532817849,6,3
1532832495,0,1
1532847386,2,0
1532862016,7,2
1532891289,1,0
1532905931,5,0
1532920580,4,2
1532935209,2,0
1532949858,6,0
1532964487,3,2
1532979131,3,0
1532993778,4,1
1533008650,6,1
1533023286,2,2
1533038189,5,0
1533053069,4,1
1533067930,3,0
1533082811,6,1
1533097449,1,2
1533112090,7,1
1533126732,5,0
1533170665,3,0
1533185534,0,3
1533200453,1,1
1533215066,3,2
1533229707,0,2
1533244347,9,2
1533258982,5,1
1533273604,1,0
1533288255,3,1
1533302889,10,0
1533317542,5,0
1533332168,8,1
1533347064,9,3
1533361946,5,0
1533376835,8,1
1533391461,5,1
1533406088,8,3
1533420970,1,0
1533435605,9,0
1533450251,2,0
1533464898,7,0
1533479527,8,1
1533494173,8,0
1533509060,6,1
1533523699,8,0
1533538330,1,0
1533553224,4,0
1533568095,9,1
1533582747,6,0
1533597868,8,0
1533612743,1,1
1533627613,1,0
1533642251,5,0
1533656899,1,2
1533671564,4,2
1533686167,5,3
1533700817,6,0
1533715459,1,0
1533730337,4,1
1533744978,6,1
1533759607,3,0
1533774247,3,0
1533788904,3,1
1533803530,2,1
1533818180,5,2
1533832825,5,2
1533847450,6,0
1533862112,4,5
1533876725,4,1
1533891385,5,1
1533906260,4,0
1533921141,5,1
1533936020,5,1
1533950646,4,0
1533965287,7,2
1533979925,7,0
1533994585,4,0
1534009208,2,0
1534023852,9,1
1534038735,3,0
1534053372,1,0
1534068256,5,0
1534082892,3,0
1534097546,4,0
1534112183,4,0
1534127061,6,0
1534141687,3,0
1534156341,2,0
1534170967,1,0
1534185613,4,1
1534200267,8,1
1534215143,4,1
1534230050,2,1
1534244647,1,0
1534259288,2,0
1534273930,4,0
1534288573,5,0
1534303224,6,1
1534317848,4,0
1534332490,4,1
1534347131,0,1
1534361765,10,0
1534376653,2,0
1534391548,2,0
1534406164,4,1
1534420844,4,1
1534435450,6,1
1534450343,5,0
1534464965,5,0
1534479609,0,1
1534494247,6,0
1534508887,2,1
1534538167,10,2
1534552804,1,2
1534567469,1,0
1534582092,7,0
1534597012,3,0
1534611870,2,0
1534626488,7,0
1534641134,3,1
1534655785,8,1
1534670416,3,0
1534685064,2,0
1534699687,5,0
1534714345,7,2
1534728967,8,0
1534743618,4,0
1534758254,5,1
1534774112,9,0
1534788728,3,0
1534803373,10,1
1534818009,9,0
1534832669,2,1
1534847543,10,0
1534862168,2,1
1534876807,2,0
1534891454,7,1
1534906086,1,1
1534920728,8,0
1534935624,4,0
1534950251,4,1
1534964891,2,0
1534979777,6,0
1534994667,2,0
1535009536,1,0
1535024407,9,0
1535039051,4,0
1535053700,3,0
1535068345,4,0
1535083234,12,0
1535098113,3,0
