DateTime,AddedIPs,RemovedIPs
1494257981,518,425
1494336324,480,465
1494423211,415,483
1494449807,567,471
1494522706,432,460
1494584376,461,462
1494688549,515,492
1494858206,470,478
1494937598,489,498
1494991091,501,484
1495043753,478,489
1495217458,609,543
1495369668,427,485
1495438355,452,490
1495488034,566,417
1495567806,471,469
1495651406,580,467
1495735759,528,501
1495822310,500,487
1495901430,422,399
1495983928,431,444
1496062911,496,517
1496134592,519,492
1496220948,986,879
1496240674,868,836
1496326502,374,403
1496412741,532,474
1496440946,477,520
1496695784,930,688
1496767806,582,619
1496852635,555,735
1496959970,666,584
1497044629,834,860
1497105796,786,812
1497277609,892,891
1497348421,978,907
1497431647,979,848
1497482057,487,531
1497551389,477,456
1497637557,497,481
1497720327,839,826
1497801988,736,802
1497885864,500,455
1497964394,649,629
1497989828,530,511
1498075890,791,799
1498161171,548,492
1498236874,870,794
1498317730,802,806
1498387048,776,849
1498472265,925,867
1498554702,968,927
1498640269,1019,976
1498694066,598,637
1498775468,567,511
1498837592,534,563
1498998493,912,904
1499082505,531,562
1499162599,946,896
1499244064,477,525
1499296016,935,867
1499381765,503,522
1499449183,494,485
1499525895,464,487
1499601141,477,443
1499681740,714,728
1499705832,919,893
1499789686,800,815
1499875288,910,854
1499959949,889,920
1500044823,940,891
1500130359,478,523
1500216814,884,869
1500311457,928,923
1500391290,552,509
1500478191,926,898
1500520991,583,608
1500576229,884,959
1500659727,944,837
1500819016,844,778
1500847048,670,579
1500931737,651,778
1501013368,950,1027
1501092840,1045,849
1501176448,575,550
1501257905,622,596
1501415142,596,614
1501500070,608,603
1501523665,593,563
1501610007,449,498
1501694166,720,620
1501779385,602,597
1501860495,628,568
1501873067,512,557
1502025930,555,543
1502109893,840,850
1502131505,869,861
1502216675,781,788
1502302922,879,879
1502386170,946,973
1502446254,867,892
1502644891,939,913
1502731060,823,779
1502808298,901,893
1502893355,876,894
1502980440,918,861
1503066619,932,905
1503086195,849,861
1503335995,962,931
1503418920,1044,867
1503503042,686,675
1503587890,852,1125
1503675019,844,548
1503698489,487,509
1503848280,535,519
1503933044,562,584
1504018191,939,875
1504103882,959,1003
1504119032,941,885
1504203348,468,442
1504281774,560,525
1504326198,785,834
1504405286,790,824
1504455169,841,842
1504534640,890,830
1504619585,835,857
1504698925,945,943
1504774074,846,823
1504860638,908,863
1504885999,547,509
1505052758,859,839
1505138178,502,506
1505217668,735,553
1505302821,657,756
1505375995,889,971
1505439545,662,656
1505496742,956,901
1505563339,812,835
1505649395,798,817
1505735087,1164,907
1505810257,732,916
1505877274,592,565
1505936630,614,566
1506014785,541,564
1506098119,603,536
1506112032,828,877
1506198082,834,799
1506261102,907,878
1506345083,841,824
1506424736,933,928
1506505585,1025,975
1506551417,1029,995
1506637423,608,567
1506719945,950,1002
1506806702,886,858
1506886672,840,825
1506969656,824,833
1507049943,952,869
1507132246,836,886
1507217319,936,901
1507302544,618,598
1507463966,983,969
1507540634,780,802
1507627247,898,833
1507709741,904,875
1507757870,836,882
1507843194,855,857
1507920045,886,887
1507985531,804,750
1508069114,476,444
1508140707,1034,809
1508226098,1107,1035
1508310958,745,954
1508394187,898,871
1508480634,926,908
1508525837,986,816
1508606592,468,489
1508668311,793,807
1508750941,822,800
1508784321,580,542
1508861089,566,461
1508945089,850,915
1509027449,895,885
1509056530,860,843
1509142054,792,812
1509224564,856,872
1509309453,501,481
1509395585,892,915
1509472376,957,910
1509558274,912,912
1509637224,1010,987
1509723601,948,864
1509739161,913,927
1509889725,858,867
1510042241,1001,902
1510095839,857,834
1510168783,875,877
1510255699,794,808
1510335725,1136,879
1510510032,763,817
1510591615,872,975
1510678972,953,827
1510763328,897,919
1510848191,966,978
1510933082,942,879
1510938055,848,875
1511081181,859,850
1511113259,806,792
1511194666,860,859
1511279095,877,873
1511287978,1212,947
1511372524,785,987
1511450677,1014,873
1511519052,980,968
1511628990,925,1047
1511700397,776,781
1511773469,866,843
1511824436,888,856
1511891226,926,903
1511970029,877,915
1512054874,1056,881
1512061805,931,1094
1512235359,662,606
1512309205,784,820
1512396506,828,869
1512478921,974,883
1512550956,933,957
1512611704,883,876
1512687341,874,952
1512766545,635,592
1512778938,851,860
1512927516,882,878
1513010366,927,879
1513094641,1002,947
1513178993,975,977
1513266079,939,911
1513331136,936,912
1513378991,905,918
1513457489,825,828
1513508655,870,860
1513592268,845,911
1513672329,1040,947
1513733112,952,932
1513788144,955,932
1513851772,919,924
1513926543,819,863
1513992824,912,892
1514079738,824,839
1514114016,1083,916
1514195671,800,1031
1514279456,874,856
1514305557,816,842
1514381370,960,814
1514538545,1004,977
1514580808,977,920
1514634666,852,810
1514715372,937,799
1514885937,971,1119
1514971578,975,915
1515020375,734,630
1515106366,872,1004
1515190319,987,899
1515286471,956,970
1515444372,872,889
1515527893,856,862
1515605727,960,895
1515677241,829,888
1515756260,916,846
1515791107,820,879
1515963809,909,850
1516048461,839,851
1516132824,952,894
1516211192,884,880
1516269220,914,923
1516438286,944,957
1516493825,909,956
1516550746,932,854
1516635564,893,935
1516697994,1061,1008
1516736189,836,1392
1516823337,1436,855
1516905336,923,914
1516974325,870,953
1517061087,890,843
1517136498,926,931
1517222316,907,902
1517308742,1185,894
1517395387,934,1128
1517477119,1096,1016
1517503217,907,1083
1517585399,895,814
1517613814,854,953
1517773388,1119,921
1517828727,898,963
1517909035,1025,897
1517994073,938,949
1518032055,960,923
1518113549,860,729
1518193801,1040,961
1518275726,613,832
1518352831,578,528
1518435071,901,904
1518517118,952,891
1518599506,914,880
1518649518,1084,873
1518734049,529,550
1518814192,701,570
1518884458,495,543
1518955613,497,482
1519037944,570,564
1519119055,995,879
1519176313,899,960
1519252826,973,902
1519329432,1093,930
1519407593,977,901
1519580450,995,964
1519663105,900,893
1519748173,1001,913
1519832442,1185,939
1519912559,951,1164
1519938606,910,970
1520009693,853,866
1520086459,922,935
1520172708,661,561
1520245312,583,576
1520328951,915,947
1520349786,943,932
1520436738,888,776
1520522589,1059,906
1520608939,960,980
1520613721,586,599
1520776024,1393,889
1520862393,929,909
1520935439,1098,933
1521019823,940,903
1521068557,928,945
1521153710,896,968
1521236835,1017,947
1521322409,534,596
1521402567,948,857
1521488002,989,939
1521574488,1037,926
1521660066,960,901
1521744603,984,953
1521827916,956,969
1521910589,550,617
1521992113,664,549
1522078624,709,671
1522164673,1049,912
1522246295,1212,921
1522327076,660,711
1522413525,985,956
1522495423,943,894
1522667347,1429,1047
1522690632,933,974
1522777245,898,864
1522862689,1163,1000
1522946292,642,773
1523026128,855,741
1523195020,1197,1054
1523267864,1319,1025
1523352691,953,929
1523437647,1225,1110
1523472139,761,731
1523552496,573,542
1523638212,799,614
1523650197,566,634
1523808221,687,632
1523888568,602,587
1523973529,1079,1020
1524052389,1053,1042
1524127620,689,730
1524213567,967,1020
1524242184,1006,1126
1524304072,786,847
1524383547,859,803
1524419589,684,658
1524500514,803,562
1524585746,1005,937
