DateTime,Entries,UniqueIPs
1507217319,27589,27589
1507302544,27609,27609
1507463966,27623,27623
1507540634,27601,27601
1507627247,27666,27666
1507709741,27695,27695
1507757870,27649,27649
1507843194,27647,27647
1507920045,27646,27646
1507985531,27700,27700
1508069114,27732,27732
1508140707,27957,27957
1508226098,28029,28029
1508310958,27820,27820
1508394187,27847,27847
1508480634,27865,27865
1508525837,28035,28035
1508606592,28014,28014
1508668311,28000,28000
1508750941,28022,28022
1508784321,28060,28060
1508861089,28165,28165
1508945089,28100,28100
1509027449,28110,28110
1509056530,28127,28127
1509142054,28107,28107
1509224564,28091,28091
1509309453,28111,28111
1509395585,28088,28088
1509472376,28135,28135
1509558274,28135,28135
1509637224,28158,28158
1509723601,28242,28242
1509739161,28228,28228
1509889725,28219,28219
1510042241,28318,28318
1510095839,28341,28341
1510168783,28339,28339
1510255699,28325,28325
1510335725,28582,28582
1510510032,28528,28528
1510591615,28425,28425
1510678972,28551,28551
1510763328,28529,28529
1510848191,28517,28517
1510933082,28580,28580
1510938055,28553,28553
1511081181,28562,28562
1511113259,28576,28576
1511194666,28577,28577
1511279095,28581,28581
1511287978,28846,28846
1511372524,28644,28644
1511450677,28785,28785
1511519052,28797,28797
1511628990,28675,28675
1511700397,28670,28670
1511773469,28693,28693
1511824436,28725,28725
1511891226,28748,28748
1511970029,28710,28710
1512054874,28885,28885
1512061805,28722,28722
1512235359,28778,28778
1512309205,28742,28742
1512396506,28701,28701
1512478921,28792,28792
1512550956,28768,28768
1512611704,28775,28775
1512687341,28697,28697
1512766545,28740,28740
1512778938,28731,28731
1512927516,28735,28735
1513010366,28783,28783
1513094641,28838,28838
1513178993,28836,28836
1513266079,28864,28864
1513331136,28888,28888
1513378991,28875,28875
1513457489,28872,28872
1513508655,28882,28882
1513592268,28816,28816
1513672329,28909,28909
1513733112,28929,28929
1513788144,28952,28952
1513851772,28947,28947
1513926543,28903,28903
1513992824,28923,28923
1514079738,28908,28908
1514114016,29075,29075
1514195671,28844,28844
1514279456,28862,28862
1514305557,28836,28836
1514381370,28982,28982
1514538545,29009,29009
1514580808,29066,29066
1514634666,29108,29108
1514715372,29246,29246
1514885937,29098,29098
1514971578,29158,29158
1515020375,29262,29262
1515106366,29130,29130
1515190319,29218,29218
1515286471,29204,29204
1515444372,29187,29187
1515527893,29181,29181
1515605727,29246,29246
1515677241,29187,29187
1515756260,29257,29257
1515791107,29198,29198
1515963809,29257,29257
1516048461,29245,29245
1516132824,29303,29303
1516211192,29307,29307
1516269220,29298,29298
1516438286,29285,29285
1516493825,29238,29238
1516550746,29316,29316
1516635564,29274,29274
1516697994,29327,29327
1516736189,28771,28771
1516823337,29352,29352
1516905336,29361,29361
1516974325,29278,29278
1517061087,29325,29325
1517136498,29320,29320
1517222316,29325,29325
1517308742,29616,29616
1517395387,29422,29422
1517477119,29502,29502
1517503217,29326,29326
1517585399,29407,29407
1517613814,29308,29308
1517773388,29506,29506
1517828727,29441,29441
1517909035,29569,29569
1517994073,29558,29558
1518032055,29595,29595
1518113549,29726,29726
1518193801,29805,29805
