DateTime,Entries,UniqueIPs
1500415464,47897,48442
1500501919,48098,48646
1500674953,47323,47909
1500761428,43819,44457
1500847890,46472,47172
1500934360,45638,46339
1501020917,43821,44512
1501107571,42415,43099
1501194030,40201,40739
1501280595,38785,39226
1501453520,34413,34804
1501540070,33157,33524
1501626531,32268,32630
1501712967,31948,32295
1501972697,30550,30905
1502059192,30076,30454
1502232266,29812,30206
1502318706,28818,29209
1502405200,28162,28551
1502491658,27452,27824
1502578128,26414,26774
1502751329,25843,26202
1502837818,24327,24726
1502924316,23700,24091
1503010761,23040,23422
1503097208,22088,22456
1503270142,21105,21477
1503356601,17299,17548
1503443201,17612,17865
1503529806,16180,16419
1503702904,14031,14263
1504048905,10606,10806
1504654700,9315,9771
1504914304,11361,11870
1505260520,11384,11860
1505869265,9599,9862
1506215250,8312,8517
1506474817,14531,14912
1506561303,14476,14896
1506647770,14523,14908
1506734243,14566,14928
1506820711,14575,14928
1506907244,14543,14916
1506993792,14553,14912
1507080289,14581,14936
1507166734,14522,14892
1507253218,14509,14896
1507339796,14566,14912
1507426214,14558,14920
1507513097,14536,14916
1507599621,14505,14912
1507686194,14516,14916
1507772703,14496,14904
1507859216,14435,14880
1507945665,14526,14912
1508032383,14552,14892
1508118860,14518,14896
1508205322,14555,14904
1508291861,14521,14904
1508378339,14406,14844
1508464756,14414,14836
1508551206,14541,14904
1508637668,14528,14900
1508724148,14503,14892
1508810593,14491,14900
1508897073,14519,14904
1508983630,14468,14872
1509070167,14472,14884
1509156889,14533,14896
1509243305,14526,14900
1509329796,14527,14904
1509416228,14560,14904
1509502755,14575,14912
1509589290,14547,14904
1509675793,14545,14916
1509762266,14602,14924
1509848895,14668,14912
1509935462,14636,14920
1510021923,14658,14916
1510108499,14704,14948
1510194903,14677,14928
1510281450,14608,14904
1510367901,14605,14912
1510454443,14589,14912
1510540995,14595,14904
1510627490,14607,14912
1510713902,14589,14920
1510800459,14439,14828
1510887255,14526,14896
1510973721,14600,14896
1511060387,14612,14920
1511146804,14606,14920
1511233283,14609,14916
1511319744,14620,14936
1511406184,14582,14920
1511492858,14609,14912
1511579374,14640,14928
1511665810,14639,14912
1511752308,14624,14932
1511838884,14632,14932
1511925304,14625,14924
