DateTime,Entries,UniqueIPs
1484417702,3851,603018312
1484763782,3857,602997128
1484850368,3855,602966152
1484936897,3857,602954120
1485023426,3858,602944904
1485283013,3860,602901128
1485369542,3856,602885768
1485456182,3858,602873992
1485629971,3861,602858632
1485889467,3861,602840456
1485976468,3864,602826888
1486236614,3868,602790024
1486496583,3869,602817928
1486583758,3871,602806920
1486670442,3872,602790024
1486756918,3872,602771592
1486843345,3870,602756232
1487103512,3869,602748040
1487190080,3873,602737032
1487276582,3873,602725768
1487363332,3871,602712456
1487450463,3871,602697096
1487710552,3875,602677896
1487796968,3873,602658696
1487883659,3872,602645384
1487970068,3872,602638216
1488056582,3871,602622600
1488316983,3881,602610312
1488403898,3880,602593928
1488490645,3881,602577032
1488577382,3888,602570888
1488663965,3888,602562952
1488924071,3888,602544520
1489010583,4001,631893107
1489097530,3888,602513800
1489184582,3890,602505864
1489271127,3892,602492552
1489470183,3894,602477192
1489556985,3890,602465672
1489730125,3890,602433928
1489816842,3892,602420872
1490076933,3893,602407560
1490163381,3892,602387080
1490336584,3893,602351496
1490423148,3894,602338184
1490683383,3893,602326920
1490942942,3894,602280328
1491029727,3895,602267016
1491289525,3900,602253960
1491376236,3901,602243208
1491463382,3902,602231944
1491550130,3902,602216584
1491724142,3901,602203016
1491897639,3905,602191240
1491984183,3905,602173832
1492071203,3904,602162568
1492157953,3904,602148232
1492591320,3907,602132872
1492677782,3909,602122888
1492764388,3910,602099336
1492851189,3911,602088072
1493110722,3911,602072712
1493197184,3911,602063496
1493283640,3910,602056328
1493456570,3912,602032776
1493715916,3907,602027656
1493802378,3905,602017416
1493888839,3905,602013576
1493975298,3909,601994120
1494061786,3906,601980808
1494321211,3906,601966984
1494407645,3906,601950600
1494494137,3905,601934216
1494580605,3907,601918856
1494753484,3907,601897352
1494926446,3908,601883016
1495012917,3908,601876616
1495099380,3910,601859208
1495185783,3908,601853064
1495272283,3910,601833608
1495531641,3909,601815176
1495618112,3912,601797768
1495704541,3912,601775496
1495877509,3912,601767368
1496136880,3914,601750216
1496223344,3915,601735880
1496309811,3915,601721544
1496396271,3916,601705672
1496482724,3915,601692360
1496828544,3916,601674184
1496914992,3914,601661896
1497001531,3919,601646536
1497087989,3918,601626056
1497174451,3918,601621960
1497347376,3924,601611720
1497433837,3922,601596360
1497520300,3921,601585096
1497606761,3921,601568712
1497693239,3919,601551304
1497952610,3923,601533896
1498039068,3921,601524680
1498211942,3922,601511880
1498298443,3927,601486280
1498557929,3929,601478856
1498731100,3933,601454536
1498817877,3932,601435080
1498904291,3935,601423048
1499164133,3936,601411016
1499250688,3939,601398472
1499337637,3939,601386184
1499424183,3938,601383112
1499770703,3943,601364680
1499857241,3944,601285832
1499943694,3945,601262536
1500203313,3946,601233864
1500376368,3947,601220552
1500636184,3946,601198536
1500722681,3950,601172936
1501070124,3951,601169608
1501156830,3972,601308360
1501243409,4002,601308360
1501416714,4003,601302216
1501590275,4004,601297608
1501936984,4015,601248456
1502283330,4019,601223368
1502370044,4018,601216200
1502542963,4024,601200840
1502803383,4019,601179080
1502889906,4041,601255675
1502976624,4030,601305544
1503063122,4032,601289160
1503236954,4031,601285064
1503410126,4031,601269192
1503583224,4032,601249736
1503669784,4035,601233864
1503843126,4038,601225672
1504103306,4039,601215432
1504450106,4042,601212360
1504623639,4044,601211592
1504796877,4048,601201352
1504884183,4052,601192136
1504970679,4052,601182152
1505230710,4052,601172936
1505490920,4058,601125576
1505577643,4062,601114056
1505923546,4065,601097928
1506009967,4067,601085640
1506096470,4072,601072584
1506183784,4071,601058248
1506444072,4073,601035976
1506530582,4073,601019848
1506617174,4075,601012936
1506704124,4076,601001416
1506790804,4076,600992200
1507051254,4079,600982984
1507137783,4078,600980936
1507225214,4079,600961736
1507311677,4084,600942280
1507398183,4086,600932040
1507658424,4089,600921800
1507744983,4087,600908488
1507832065,4090,600892360
1507918658,4088,600868808
1508005186,4088,600851400
1508264694,4089,600825800
1508351221,4090,600812232
1510084723,4113,600584904
1510171221,4112,600571848
1510257782,4112,600543176
1510344460,4113,600524744
1510431782,4112,600498120
1510691746,4114,600488392
1510778272,4113,600475592
1510864702,4116,600458952
1510951382,4116,600450760
1511037931,4120,600439240
1511298100,4113,600417480
1511384582,4115,600389832
1511471647,4114,600378568
1511558582,4116,600367304
1511645652,4113,600338632
1511905875,4120,600333768
1511992477,4119,600311240
1512078920,4121,600298696
1512165629,4121,600280520
1512252118,4123,600202696
1512512128,4127,600189896
1512598775,4129,600180424
1512685383,4126,600159688
1512771961,4131,600148936
1512945468,4131,600134344
1513205722,4131,600124872
1513292273,4135,600099272
1513378806,4138,600087496
1513466073,4136,600079048
1513726205,4134,600060616
1513812885,4134,600044232
1513899783,4137,600014536
1513986961,4138,600003272
1514160021,4139,599989448
1514505929,4141,599986376
1514679782,4146,599977416
1515025976,4147,600020936
1515113042,4149,600002504
1515199516,4150,599988168
1515286528,4153,599961544
1515546067,4152,599956680
1515632583,4152,599941320
1515719068,4153,599929032
1515805702,4152,599915976
1515892225,4155,599904712
1516151972,4157,599874760
1516238455,4156,599853768
1516324983,4156,599829192
