DateTime,AddedIPs,RemovedIPs
1442182267,0,346758059
1442269230,346758059,0
1453534814,0,2097152
1495482316,0,233907652
1495568795,233907652,0
1500066089,0,456
1500152550,456,448
1500238995,448,1944
1500325466,1944,71648
1500411930,71648,66281
1500498376,66281,913
1500585017,913,920
1500671589,920,1113
1500758090,1113,84233
1500844514,84233,65737
1500931014,65737,912
1501017434,912,5345
1501103910,5345,547
1501190489,547,672
1501276961,672,857
1501363410,857,432
1501449860,432,634
1501536381,634,5920
1501622844,5920,117576
1501709332,117576,9130
1501795814,9130,135718
1501882316,135718,976
1501968744,976,68760
1502055195,68760,1632
1502141659,1632,1841
1502228218,1841,632
1502314636,632,6825
1502401222,6825,602
1502487678,602,1544
1502574147,1544,552
1502660619,552,672
1502747074,672,1737
1502833570,1737,1216
1502920039,1216,72257
1503006498,72257,197360
1503092978,197360,66184
1503179432,66184,1393
1503265886,1393,26208
1503352376,26208,208
1503438842,208,2489
1503525316,2489,4560
1503611774,4560,1867
1503698246,1867,2456
1503871156,2456,411
1503957660,411,17201
1504044101,17201,19112
1504130551,19112,12136
1504217011,12136,131417
1504303484,131417,1418
1504389923,1418,11712
1504476380,11712,8631
1504562846,8631,12654
1504649305,12654,68227
1504735757,68227,148089
1504822216,148089,1136
1504908678,1136,66306
1504995134,66306,69416
1505081608,69416,1144
1505168074,1144,65968
1505254516,65968,131738
1505340988,131738,334
1505427434,0,0
1505523303,334,33264
1505609833,33264,67321
1505696309,67321,640
1505782782,640,66448
1505869241,66448,4776
1505955675,4776,4392
1506042139,4392,224
1506128599,224,1448
1506215063,1448,216
1506301527,216,1907
1506387995,1907,98
1506474435,98,136048
1507339045,136048,66281
1507425499,66281,68985
1507511976,68985,688
1507598414,688,224
1507684985,224,1825
1507771473,1825,66937
1507857932,66937,18819
1507944438,18819,1264
1508030932,1264,65888
1508117416,65888,197440
1508203925,197440,1138
1508290416,1138,2272
1508376861,2272,65928
1508463359,65928,65896
1508549839,65896,2688
1508636353,2688,1704
1508722815,1704,576
1508809273,576,10736
1508895771,10736,888
1508982274,888,67455
1509068710,67455,1400
1509155222,1400,523154
1509241806,523154,1288
1509328337,1288,768
1509414825,768,24960
1509501269,24960,712
1509587715,712,2697
1509674264,2697,1946
1509760733,1946,2176
1509847163,2176,4728
1509933622,4728,702
1510020072,702,4440
1510106533,4440,408
1510193023,408,4232
1510279461,4232,976
1510365923,976,1272
1510452423,1272,680
1510538890,680,968
1510625406,968,65610
1510711892,65610,158720
1510798331,158720,68769
1510884793,68769,66961
1510971310,66961,5576
1511057827,5576,2433
1511144350,2433,560
1511230808,560,673
1511317387,673,262656
1511403852,262656,65752
1511490328,65752,922
1511576797,922,2360
1511663236,2360,51784
1511749775,51784,66410
1511836209,66410,84081
1511922759,84081,67817
1512009190,67817,6424
1512095656,6424,2744
1512182130,2744,7690
1512268630,7690,66480
1512355148,66480,7042
1512441610,7042,16929
1512528114,16929,135616
1512614577,135616,993
1512701007,993,65592
1512787460,65592,97448
1512873910,97448,432
1512960401,432,2489
1513046891,2489,922
1513133457,922,1545
1513220047,1545,8000
1513306514,8000,1185268
1513393013,1185268,4545
1513479430,4545,11081
1513565950,11081,480
1513652474,480,384
1513738936,384,5224
1513825431,5224,10969
1513911852,10969,67289
1513998314,67289,131224
1514084772,65688,66266
1514171252,66266,100961
1514257688,100961,888
1514344152,888,577
1514430667,577,330273
1514517161,330273,7664
1514603607,7664,132224
1514690104,132224,672
1514776626,672,124401
1514863152,124401,2921
1514949610,2921,5698
1515036074,5698,66985
1515122529,66985,136968
1515209030,136968,2505
1515295454,2505,65024
1515381920,65024,4753
1515468405,4753,850
1515554868,850,66489
1515641289,66489,65889
1515727765,65889,8976
1515814266,8976,2505
1515900750,2505,35160
1515987215,35160,641
1516073647,641,135104
1516160265,135104,2272
1516246747,2272,2553
1516333287,2553,4473
1516419730,4473,1488
1516506304,1488,66408
1516592772,66408,5283
1516679241,5283,672
1516765747,672,4057
1516852263,4057,1048
1516938786,1048,383
1517025310,383,712
1517111797,712,65729
1517198272,65729,6600
1517284688,6600,624
1517371154,624,70840
1517457614,70840,1145
1517544130,1145,13081
1517630593,13081,69978
1517717063,69978,200801
1517803512,200801,1600
1517889975,1600,377
1517976440,377,426
1518062907,426,69464
1518149388,69464,983449
1518235818,983449,7025
1518322327,7025,984
1518408809,984,68432
1518495307,68432,9728
1518581827,9728,68465
1518668293,68465,1793
1518754813,1793,66184
1518841282,66184,69248
1518927736,69248,134225
1519014210,134225,8784
1519100656,8784,70672
1519187167,70672,1601
1519273628,1601,75408
1519360134,75408,66008
1519446606,66008,66936
1519533137,66936,3368
1519619646,3368,2497
1519706167,2500,36488
1519792663,36488,67004
1519879138,67001,68764
1519965614,68756,441
1520052085,449,70753
1520138627,70753,5809
1520225151,5809,3400
1520311579,3400,384
1520398056,384,1924
1520484508,1924,66528
1520570949,66528,880
1520657534,880,1072
1520744053,1072,8424
1520830511,8424,69817
1520916968,69817,704
1521003429,704,2112
1521089888,2112,128
1521176349,128,66545
1521262809,66545,432
1521349267,432,89255
1521435740,89255,983809
1521522196,983809,134619
1521608647,134619,664
1521695109,664,12824
1521781627,12824,74576
1521868150,74576,3152
1521954667,3152,8861
1522041153,8861,10968
1522127595,10968,67048
1522214050,67048,2248
1522300508,2248,656
1522473427,656,4912
1522559920,4912,527039
1522646393,527039,82274
1522732816,82274,65993
1522819268,65993,2544
1522905861,2544,65979
1522992312,65979,12545
1523078830,12545,497
1523165297,497,65976
1523251789,65976,3347
1523424836,3347,67128
1523511379,67128,666
1523597886,666,4440
1523684387,4440,860
1523770811,860,967
1523857342,967,78336
1523943835,78336,3194
1524030320,3194,1248
1524116808,22996,1715
1524203303,1723,68425
1524289789,68425,590570
1524376243,590570,940
1524462691,940,77912
1524549263,77912,1922
1524635710,1922,1976
1524722307,1976,66824
1524808769,66824,2252
1524895213,2252,8500
1524981669,8500,460
1525068130,460,1696
1525154591,1696,133359
1525241047,133359,2648
1525327509,2648,5776
1525414010,5776,2065
1525587066,2065,392
1525673703,392,65876
1525760227,65876,1545
1525846727,1545,67276
1525933268,67276,1132
1526019764,1132,1768
1526106217,1768,5061
1526192709,5061,132632
1526279210,132632,130846
1526365686,130846,16549
1526452162,16549,68552
1526538610,68552,66936
1526625068,66936,69116
1526711560,69116,66169
1526798046,66169,2325
1526884515,2325,1139
1526971052,1139,588
1527057605,588,69925
1527144134,69925,5465
1527230651,5465,2428
1527317109,2428,3516
1527403684,3516,66312
1527490180,66312,9228
1527576633,9228,79784
1527663113,79784,135264
1527835990,135264,66113
1527922460,66113,69612
