DateTime,AddedIPs,RemovedIPs
1440442222,131072,0
1440529203,1024,0
1440790202,262144,0
1440964327,65536,0
1441051203,0,256
1441225218,1024,0
1441399214,655360,0
1441486206,393216,0
1441573205,69632,0
1441660206,0,768
1441747206,65536,0
1441834203,0,512
1441921265,66560,0
1442356205,65536,0
1442530209,2048,256
1442617204,65536,0
1442704243,37888,0
1442878202,199168,0
1442965217,0,512
1443052281,140288,0
1443139202,5632,0
1443226231,6144,1024
1443313259,131072,0
1443487216,0,4096
1443748284,0,33280
1443835258,131072,0
1443922261,256,0
1444009541,65536,4096
1444096313,0,65536
1444270204,1024,0
1444357206,69632,256
1444444204,2048,0
1444531219,0,65536
1444792322,0,256
1444966203,327680,1280
1445053213,0,65536
1445140528,0,65536
1445575260,0,65536
1445923483,2048,0
1446010204,16777216,0
1446097328,0,17931520
1446184550,1024,1024
1446271202,0,4096
1446445496,256,0
1446532202,512,21504
1446706387,0,65536
1446880203,4096,0
1447054202,0,256
1447315202,0,512
1447489242,0,5376
1447924253,0,512
1448098202,0,256
1448272215,21504,0
1448533240,0,1280
1448707245,512,0
1448794291,256,0
1449142204,8192,0
1449229214,0,5376
1449664203,256,0
1449838346,32768,0
1452056381,0,4096
1452142802,5120,0
1452229819,77824,12288
1452316824,0,61440
1452664803,0,24576
1452838847,20480,0
1452925803,768,0
1453273817,1024,0
1453360811,1049600,6656
1453621815,1280,0
1453882836,1024,4096
1453969802,9216,0
1454056837,0,229376
1454230803,9216,0
1454317832,2048,0
1454404811,23808,32768
1454578826,1024,0
1454752803,0,5120
1455013802,32768,0
1455100914,0,256
1455448806,0,5120
1455622202,2048,256
1455796204,171264,0
1455883206,0,65536
1455970211,1024,0
1456231502,1024,1024
1456492205,0,65536
1456579261,264192,0
1456753206,328704,0
1456840201,25088,3328
1456927203,139264,32768
1457101329,1024,0
1457536211,7168,0
1457971203,67072,24576
1458058202,18432,9728
1458145220,0,393472
1458232203,0,65536
1458319500,21504,0
1458406209,256,0
1458667359,9216,0
1458928297,0,262144
1459015202,1792,0
1459102501,0,117760
1459363502,1024,0
1459537203,102400,200704
1459972501,0,2816
1460146203,3072,4096
1460320201,155648,4096
1460494501,8192,67584
1460581203,0,131072
1460842202,1024,16384
1461016458,1024,0
1461538501,1024,0
1461625203,256,0
1461712239,0,1280
1461799421,1024,4352
1462060501,0,2048
1462147204,0,1024
1462321316,25088,65536
1462408204,1024,131072
1462495502,0,65536
1462582236,4096,0
1462669203,0,5120
1462756357,65536,0
1462843278,2048,0
1462930202,0,65536
1463017201,0,2048
1463104230,0,65536
1463191201,4096,65536
1463278503,4352,0
1463452202,66560,0
1463798236,0,1024
1464057683,1024,256
1464144301,0,70400
1464230702,0,17408
1464317226,2048,1024
1464403703,1024,0
1464490201,1024,0
1464576901,8192,0
1464663371,0,4096
1464749848,0,7168
1464836302,0,256
1464922741,2048,5120
1465009203,8192,0
1465182165,4096,0
1465355100,0,16640
1465441576,21504,0
1465614759,0,73728
1465788001,0,256
1465874485,0,65536
1466047597,0,3072
1466134104,66560,3072
1466220568,0,1024
1466307002,0,1024
1466653500,3072,0
1466740024,4096,0
1466826500,4096,0
1467345665,0,2048
1467691631,69632,0
1468037770,0,1024
1468210801,0,1024
1468383845,0,16384
1468556770,62720,0
1468902602,65536,0
1469334960,0,65536
1469681100,256,0
1469767554,0,256
1469940423,0,1024
1470026963,65536,0
1470286669,1024,0
1470373121,66048,9216
1470459550,65536,512
1470633197,1024,0
1470719647,131072,0
1470979060,9472,0
1471152001,0,1024
1471325401,0,65536
1471498801,262144,65536
1471585501,256,256
