DateTime,Entries,UniqueIPs
1469707634,19947,739431064
1469794300,19954,739440280
1469880435,19964,739447192
1470139636,19969,739526552
1470226036,19969,739533720
1470312438,19976,739549848
1470398835,19977,739559064
1470485235,19983,739575448
1470744436,19986,739579544
1470830837,19996,739595672
1470917236,20007,739600792
1471003642,20008,739574424
1471090038,20013,739586712
1471349237,20023,739608216
1471435638,20028,739618456
1471522039,20032,739631768
1471608437,20033,739643032
1471694834,20041,739658392
1471954040,20047,739667864
1472040439,20056,739679640
1472126837,20062,739689880
1472213237,20067,739701912
1472299636,20069,739712152
1472558843,20071,739718296
1472645239,20074,739717784
1472731636,20077,739729560
1472818056,20084,739732632
1472904439,20089,739740312
1473163653,20091,739743384
1473250034,20097,739767960
1473336438,20098,739774360
1473422845,20099,739792792
1473509244,20106,739573656
1473768435,20111,739584920
1473854835,20117,739595160
1473941240,20128,739620504
1474027640,20138,739633304
1474114037,20144,739646616
1474459641,20153,739675288
1474546040,20158,739682456
1474632440,20175,739405976
1474718845,20180,739420312
1474978038,20191,739320728
1475064435,20204,739339928
1475150841,20209,739383960
1475237240,20212,739397272
1475323638,20216,739407512
1475582841,20221,739421592
1475669243,20227,739433880
1475755664,20235,739447192
1475842040,20241,739462552
1475928440,20246,739478936
1476187663,20249,739492248
1476274047,20263,739514776
1476360441,20265,739509656
1476446847,20274,739517848
1476533237,20277,739532184
1476792441,20281,739541400
1476878841,20286,739558808
1476965245,20287,739567768
1477051635,20291,739583128
1477138039,20294,739594392
1477397238,20301,739609240
1477483639,20307,739621528
1477570039,20314,739635864
1477656438,20328,739638680
1477742836,20334,739653016
1478002040,20335,739663256
1478088440,20338,739676568
1478174838,20348,739681432
1478261238,20353,739689624
1478347636,20362,739700376
1478606837,20371,739711128
1478693237,20378,739753624
1478779641,20383,739755672
1478866040,20393,739766680
1478952441,20403,739768472
1479211638,20411,739849368
1479298036,20417,739861400
1479384444,20425,739878040
1479470839,20427,739883928
1479557246,20435,739900056
1479816443,20438,739906968
1479902843,20440,739917208
1479989243,20444,739927448
1480075641,20452,739938712
1480162042,20454,739955096
1480421242,20465,740029592
1480507656,20480,740031384
1480594041,20485,740026264
1480680446,20488,740036504
1480766840,20496,740031384
1481026037,20501,740045720
1481112440,20504,740056984
1481198853,20510,740073368
1481285244,20517,740084632
1481371669,20526,740097688
1481630872,20532,740112792
1481717243,20549,740123800
1481803662,20552,740151448
1481890061,20569,740163736
1481976447,20575,740173208
1482235659,20578,740182936
1482322077,20606,740184216
1482408460,20608,740190104
1482494852,20605,740197272
1482581261,20607,740201880
1482926850,20608,740211096
1483013276,20613,740231832
1483099657,20622,740240792
1483186062,20626,740248984
1483445250,20631,740192408
1483531657,20638,740205720
1483618042,20639,740211864
1483704453,20639,740224152
1483790840,20640,740226200
1484050050,20646,740223384
1484136448,20654,740241816
1484222851,20658,740247704
1484309240,20665,740255384
1484395638,20673,740247960
1484654842,20685,740264024
1484741252,20689,740352088
1484827640,20703,740358488
1484914040,20708,740371544
1485000440,20714,740379736
1485259660,20717,740406104
1485346038,20725,740482904
1485432468,20738,740471128
1485518838,20742,740406616
1485605241,20747,740416856
1485864476,20758,740463448
1485950863,20762,740473944
1486037287,20775,740470616
1486123660,20789,740478296
1486210072,20790,740484696
1486469295,20794,740456792
1486555689,20794,740476248
1486642060,20803,740426584
1486728460,20814,740433752
1486814867,20816,740449112
1487074075,20819,740438872
1487160468,20823,740448856
1487246847,20825,740459096
1487333244,20828,740472408
1487419642,20828,740487512
1487678841,20833,740490328
1487765239,20843,740506200
1487851639,20845,740519512
1487938047,20849,740526680
1488024435,20849,740542296
1488283657,20851,740539224
1488370056,20856,740554584
1488456443,20862,740570456
1488542845,20874,740581720
